<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTLPKO80325.PL,5,20250709,103500,18.68,18.68,18.68,18.68,2000,0
INTLPKO80325.PL,5,20250711,094500,17,17,17,17,428,0
INTLPKO80325.PL,5,20250711,160000,17.48,17.48,17.48,17.48,20,0
INTLPKO80325.PL,5,20250714,133500,17.02,17.08,17.02,17.08,2000,0
INTLPKO80325.PL,5,20250721,122000,19.74,19.74,19.74,19.74,60,0
INTLPKO80325.PL,5,20250804,092500,19.32,19.32,19.32,19.32,72,0
INTLPKO80325.PL,5,20250805,091500,20.7,20.7,20.7,20.7,72,0
INTLPKO80325.PL,5,20250811,091000,26.75,26.75,26.75,26.75,100,0
INTLPKO80325.PL,5,20250811,160000,26.5,26.5,26.5,26.5,70,0
INTLPKO80325.PL,5,20250811,164000,26.7,26.7,26.7,26.7,170,0
INTLPKO80325.PL,5,20250812,112000,25.65,25.65,25.65,25.65,70,0
INTLPKO80325.PL,5,20250813,090500,29.35,29.35,29.35,29.35,70,0
INTLPKO80325.PL,5,20250813,145500,28.05,28.05,28.05,28.05,60,0
INTLPKO80325.PL,5,20250814,094500,26.85,26.85,26.85,26.85,50,0
INTLPKO80325.PL,5,20250814,161000,26,26,26,26,57,0
INTLPKO80325.PL,5,20250818,145500,25.05,25.05,25.05,25.05,50,0
INTLPKO80325.PL,5,20250819,091000,26,26,26,26,100,0
INTLPKO80325.PL,5,20250822,092000,20.9,20.9,20.9,20.9,100,0
INTLPKO80325.PL,5,20250822,094500,19.7,19.7,19.7,19.7,72,0
INTLPKO80325.PL,5,20250822,095500,19.2,19.2,19.2,19.2,75,0
INTLPKO80325.PL,5,20250822,100000,19.02,19.02,19.02,19.02,20,0
INTLPKO80325.PL,5,20250822,111500,20.15,20.15,20.15,20.15,147,0
INTLPKO80325.PL,5,20250822,122000,18.66,18.66,18.66,18.66,78,0
INTLPKO80325.PL,5,20250822,123500,19,19,19,19,78,0
INTLPKO80325.PL,5,20250822,143500,18,18,18,18,80,0
INTLPKO80325.PL,5,20250822,153500,18.16,18.16,18.16,18.16,1500,0
INTLPKO80325.PL,5,20250822,155000,17.38,17.38,17.38,17.38,500,0
INTLPKO80325.PL,5,20250822,160000,17.48,17.48,17.48,17.48,300,0
INTLPKO80325.PL,5,20250822,162000,17.16,17.16,17.16,17.16,200,0
INTLPKO80325.PL,5,20250827,113500,17.92,17.92,17.92,17.92,2500,0
INTLPKO80325.PL,5,20250827,144500,16.56,16.56,16.56,16.56,86,0
INTLPKO80325.PL,5,20250827,160500,16.86,16.86,16.86,16.86,86,0
INTLPKO80325.PL,5,20250828,162500,16.56,16.56,16.56,16.56,88,0
INTLPKO80325.PL,5,20250829,112500,15.04,15.04,15.04,15.04,1500,0
INTLPKO80325.PL,5,20250829,121500,14.94,14.94,14.94,14.94,100,0
INTLPKO80325.PL,5,20250829,125500,14.94,14.94,14.94,14.94,300,0
INTLPKO80325.PL,5,20250829,142500,14.58,14.58,14.58,14.58,135,0
INTLPKO80325.PL,5,20250829,144500,14.38,14.38,14.38,14.38,200,0
INTLPKO80325.PL,5,20250829,162500,14.24,14.24,14.24,14.24,250,0
INTLPKO80325.PL,5,20250829,164000,14.42,14.42,14.42,14.42,60,0
INTLPKO80325.PL,5,20250829,164500,13.98,13.98,13.98,13.98,250,0
INTLPKO80325.PL,5,20250901,090500,13.96,13.96,13.96,13.96,400,0
INTLPKO80325.PL,5,20250901,102000,14.36,14.36,14.36,14.36,200,0
INTLPKO80325.PL,5,20250901,121000,14.18,14.18,14.18,14.18,200,0
INTLPKO80325.PL,5,20250901,135000,13.3,13.3,13.3,13.3,268,0
INTLPKO80325.PL,5,20250901,140500,13.34,13.34,13.34,13.34,200,0
INTLPKO80325.PL,5,20250902,140500,12.94,12.94,12.94,12.94,150,0
INTLPKO80325.PL,5,20250903,114000,15.08,15.08,15.08,15.08,3000,0
INTLPKO80325.PL,5,20250903,114500,15.04,15.04,15.04,15.04,500,0
INTLPKO80325.PL,5,20250903,131500,14.74,14.74,14.74,14.74,200,0
INTLPKO80325.PL,5,20250903,134500,15,15,15,15,200,0
INTLPKO80325.PL,5,20250904,093500,14.42,14.42,14.42,14.42,137,0
INTLPKO80325.PL,5,20250904,142000,16.02,16.02,16.02,16.02,50,0
INTLPKO80325.PL,5,20250904,143000,16.08,16.08,16.08,16.08,137,0
INTLPKO80325.PL,5,20250905,090500,17.16,17.16,17.16,17.16,50,0
INTLPKO80325.PL,5,20250905,100500,17.32,17.32,17.32,17.32,150,0
INTLPKO80325.PL,5,20250905,111500,17.08,17.08,17.08,17.08,600,0
INTLPKO80325.PL,5,20250905,122000,16.32,16.32,16.32,16.32,150,0
INTLPKO80325.PL,5,20250905,160500,15.5,15.5,15.5,15.5,600,0
INTLPKO80325.PL,5,20250908,100000,16.32,16.32,16.32,16.32,150,0
INTLPKO80325.PL,5,20250908,144500,15.52,15.52,15.52,15.52,100,0
INTLPKO80325.PL,5,20250908,162500,16.24,16.24,16.24,16.24,100,0
INTLPKO80325.PL,5,20250909,091500,15.68,15.68,15.68,15.68,80,0
INTLPKO80325.PL,5,20250910,142500,14.54,14.54,14.54,14.54,140,0
INTLPKO80325.PL,5,20250911,160500,15.98,15.98,15.98,15.98,80,0
INTLPKO80325.PL,5,20250922,091000,12.1,12.1,12.1,12.1,140,0
INTLPKO80325.PL,5,20250924,154500,11.42,11.42,11.42,11.42,60,0
INTLPKO80325.PL,5,20250925,103500,12.02,12.02,12.02,12.02,60,0
INTLPKO80325.PL,5,20251007,090500,16.34,16.34,16.34,16.34,60,0
INTLPKO80325.PL,5,20251009,143000,16.7,16.7,16.7,16.7,100,0
INTLPKO80325.PL,5,20251016,094000,18.06,18.06,18.06,18.06,991,0
INTLPKO80325.PL,5,20251022,122500,18.64,18.64,18.64,18.64,30,0
INTLPKO80325.PL,5,20251022,162500,19.32,19.32,19.32,19.32,30,0
INTLPKO80325.PL,5,20251024,100000,20.2,20.2,20.2,20.2,135,0
INTLPKO80325.PL,5,20251029,090500,21,21,21,21,30,0
INTLPKO80325.PL,5,20251029,112000,19.4,19.4,19.4,19.4,991,0
INTLPKO80325.PL,5,20251110,095000,19.38,19.38,19.38,19.38,40,0
