<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTLPZU80648.PL,5,20250828,092000,12.54,12.54,12.54,12.54,1900,0
INTLPZU80648.PL,5,20250904,135000,11.26,11.26,11.26,11.26,90,0
INTLPZU80648.PL,5,20250923,111500,10.14,10.14,10.14,10.14,150,0
INTLPZU80648.PL,5,20250923,112000,10.2,10.2,10.18,10.18,350,0
INTLPZU80648.PL,5,20250923,133500,9.45,9.45,9.45,9.45,1000,0
INTLPZU80648.PL,5,20250923,134500,9.39,9.39,9.39,9.39,600,0
INTLPZU80648.PL,5,20250924,095000,9.44,9.44,9.44,9.44,2000,0
INTLPZU80648.PL,5,20250924,101000,9.58,9.58,9.58,9.58,478,0
INTLPZU80648.PL,5,20250925,112000,8.15,8.15,8.13,8.13,2450,0
INTLPZU80648.PL,5,20250925,133000,7.33,7.33,7.33,7.33,2000,0
INTLPZU80648.PL,5,20250925,133500,7.33,7.33,7.33,7.33,500,0
INTLPZU80648.PL,5,20250925,141500,7.07,7.07,7.07,7.07,290,0
INTLPZU80648.PL,5,20250925,155000,6.75,6.75,6.75,6.75,2000,0
INTLPZU80648.PL,5,20250926,093000,6.89,6.89,6.79,6.79,2100,0
INTLPZU80648.PL,5,20250926,093500,7.17,7.17,7.17,7.17,2000,0
INTLPZU80648.PL,5,20250926,094500,7.19,7.19,7.19,7.19,3000,0
INTLPZU80648.PL,5,20250926,100500,7.41,7.41,7.41,7.41,500,0
INTLPZU80648.PL,5,20250926,102500,7.21,7.21,7.21,7.21,200,0
INTLPZU80648.PL,5,20250926,164500,7.87,7.87,7.87,7.87,2000,0
INTLPZU80648.PL,5,20250929,094000,7.75,7.83,7.75,7.83,3000,0
INTLPZU80648.PL,5,20250929,095500,7.37,7.37,7.37,7.37,2000,0
INTLPZU80648.PL,5,20250930,095000,7.22,7.22,7.22,7.22,2000,0
INTLPZU80648.PL,5,20250930,161500,7.08,7.08,7.08,7.08,2000,0
INTLPZU80648.PL,5,20251001,110500,7.33,7.33,7.33,7.33,2000,0
INTLPZU80648.PL,5,20251001,135000,7.65,7.65,7.65,7.65,1000,0
INTLPZU80648.PL,5,20251001,135500,7.57,7.57,7.57,7.57,500,0
INTLPZU80648.PL,5,20251001,164500,8.07,8.07,8.05,8.05,840,0
INTLPZU80648.PL,5,20251002,090500,8.14,8.16,8.14,8.16,4000,0
INTLPZU80648.PL,5,20251002,091000,8.06,8.06,8.06,8.06,2000,0
INTLPZU80648.PL,5,20251002,131000,8.46,8.52,8.46,8.52,3950,0
INTLPZU80648.PL,5,20251002,145500,8.8,8.8,8.8,8.8,640,0
INTLPZU80648.PL,5,20251003,131000,7.81,7.81,7.81,7.81,500,0
INTLPZU80648.PL,5,20251003,134000,7.95,7.95,7.95,7.95,2000,0
INTLPZU80648.PL,5,20251003,154000,7.77,7.77,7.77,7.77,1000,0
INTLPZU80648.PL,5,20251006,090500,7.95,7.95,7.95,7.95,90,0
INTLPZU80648.PL,5,20251006,110000,8.05,8.05,8.05,8.05,125,0
INTLPZU80648.PL,5,20251006,140000,7.89,7.89,7.89,7.89,125,0
INTLPZU80648.PL,5,20251006,155500,7.13,7.13,7.13,7.13,90,0
INTLPZU80648.PL,5,20251006,160000,7.17,7.17,7.17,7.17,1000,0
INTLPZU80648.PL,5,20251007,090500,8.06,8.06,8.06,8.06,2000,0
INTLPZU80648.PL,5,20251007,100500,8.4,8.4,8.4,8.4,300,0
INTLPZU80648.PL,5,20251007,101500,8.48,8.48,8.48,8.48,280,0
INTLPZU80648.PL,5,20251007,111500,8.7,8.7,8.7,8.7,60,0
INTLPZU80648.PL,5,20251007,114000,8.92,8.92,8.92,8.92,3500,0
INTLPZU80648.PL,5,20251007,115000,8.76,8.76,8.76,8.76,270,0
INTLPZU80648.PL,5,20251007,132500,8.98,8.98,8.98,8.98,2000,0
INTLPZU80648.PL,5,20251007,134500,8.82,8.82,8.82,8.82,150,0
INTLPZU80648.PL,5,20251007,153500,9.04,9.04,9.04,9.04,1000,0
INTLPZU80648.PL,5,20251009,154500,8.28,8.28,8.28,8.28,1000,0
INTLPZU80648.PL,5,20251009,155500,8.1,8.1,8.1,8.1,1000,0
INTLPZU80648.PL,5,20251009,164500,8.14,8.14,8.14,8.14,3500,0
INTLPZU80648.PL,5,20251010,115500,7.75,7.75,7.75,7.75,1500,0
INTLPZU80648.PL,5,20251013,135500,7.66,7.66,7.66,7.66,2000,0
INTLPZU80648.PL,5,20251013,153500,7.48,7.48,7.48,7.48,60,0
INTLPZU80648.PL,5,20251014,105500,7.89,7.89,7.89,7.89,478,0
INTLPZU80648.PL,5,20251015,103500,8.66,8.66,8.66,8.66,1000,0
INTLPZU80648.PL,5,20251015,144500,8.4,8.4,8.4,8.4,2000,0
INTLPZU80648.PL,5,20251017,095500,7,7,7,7,1000,0
INTLPZU80648.PL,5,20251017,112000,6.56,6.56,6.56,6.56,1000,0
INTLPZU80648.PL,5,20251020,124000,7.36,7.36,7.36,7.36,2000,0
INTLPZU80648.PL,5,20251021,100500,7.49,7.49,7.49,7.49,2000,0
INTLPZU80648.PL,5,20251022,130500,8.52,8.6,8.52,8.6,3000,0
INTLPZU80648.PL,5,20251023,131500,9.35,9.35,9.35,9.35,120,0
INTLPZU80648.PL,5,20251023,161000,9.99,9.99,9.99,9.99,130,0
INTLPZU80648.PL,5,20251024,094500,9.64,9.64,9.64,9.64,2000,0
INTLPZU80648.PL,5,20251024,095000,9.64,9.64,9.64,9.64,1000,0
INTLPZU80648.PL,5,20251024,105500,9.46,9.46,9.46,9.46,4000,0
INTLPZU80648.PL,5,20251024,140000,9.74,9.74,9.74,9.74,5000,0
INTLPZU80648.PL,5,20251024,162500,9.8,9.8,9.8,9.8,3000,0
INTLPZU80648.PL,5,20251027,123500,9.95,9.95,9.91,9.91,4000,0
INTLPZU80648.PL,5,20251027,155500,9.87,9.87,9.87,9.87,230,0
