<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTLSLV31617.PL,5,20250714,092500,67.2,67.2,67.2,67.2,9,0
INTLSLV31617.PL,5,20250714,143500,66.8,66.8,66.8,66.8,3,0
INTLSLV31617.PL,5,20250721,163500,66.5,66.5,66.5,66.5,149,0
INTLSLV31617.PL,5,20250728,090500,64.1,64.1,64.1,64.1,230,0
INTLSLV31617.PL,5,20250730,102000,64.3,64.3,64.3,64.3,30,0
INTLSLV31617.PL,5,20250730,145000,63.8,63.8,63.8,63.8,25,0
INTLSLV31617.PL,5,20250804,163000,61.8,61.8,61.8,61.8,30,0
INTLSLV31617.PL,5,20250813,112500,64.8,64.8,64.8,64.8,3,0
INTLSLV31617.PL,5,20250818,090500,63.2,63.2,63.2,63.2,5,0
INTLSLV31617.PL,5,20250829,164500,67.1,67.1,67.1,67.1,30,0
INTLSLV31617.PL,5,20250902,155500,71.7,71.7,71.7,71.7,25,0
INTLSLV31617.PL,5,20250903,121500,72.9,72.9,72.9,72.9,25,0
INTLSLV31617.PL,5,20250905,102000,72.4,72.4,72.4,72.4,220,0
INTLSLV31617.PL,5,20250905,102500,72.5,72.5,72.5,72.5,14,0
INTLSLV31617.PL,5,20250905,144500,73.2,73.2,73.2,73.2,150,0
INTLSLV31617.PL,5,20250912,130500,77.5,77.5,77.5,77.5,25,0
INTLSLV31617.PL,5,20250917,092000,75.2,75.2,75.2,75.2,25,0
INTLSLV31617.PL,5,20250917,102000,74.7,74.7,74.7,74.7,124,0
INTLSLV31617.PL,5,20250918,110000,75.3,75.3,75.3,75.3,124,0
INTLSLV31617.PL,5,20250929,143500,93.8,93.8,93.8,93.8,12,0
INTLSLV31617.PL,5,20251001,162000,96.7,96.7,96.7,96.7,149,0
INTLSLV31617.PL,5,20251002,163500,93,93,93,93,18,0
INTLSLV31617.PL,5,20251002,164500,92.1,92.1,92.1,92.1,20,0
INTLSLV31617.PL,5,20251009,160000,107,107,107,107,20,0
INTLSLV31617.PL,5,20251014,143500,109.6,109.6,109.6,109.6,20,0
INTLSLV31617.PL,5,20251031,160500,103,103,103,103,15,0
INTLSLV31617.PL,5,20251202,123500,132,132,132,132,1,0
