<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTLSPO80853.PL,5,20250718,151500,89.5,89.5,89.5,89.5,25,0
INTLSPO80853.PL,5,20250729,143500,67.1,67.4,67,67.4,25,0
INTLSPO80853.PL,5,20250801,161000,61,61,61,61,39,0
INTLSPO80853.PL,5,20250811,162500,85,85,85,85,26,0
INTLSPO80853.PL,5,20250812,140000,80,80.1,80,80.1,29,0
INTLSPO80853.PL,5,20251009,092000,73.2,73.2,73.2,73.2,94,0
INTLSPO80853.PL,5,20251104,130500,69.7,69.7,69.7,69.7,25,0
INTLSPO80853.PL,5,20251104,153000,54,54,54,54,20,0
INTLSPO80853.PL,5,20251104,154500,54.2,54.2,54.2,54.2,20,0
INTLSPO80853.PL,5,20251106,144000,52,52,52,52,30,0
INTLSPO80853.PL,5,20251113,153000,65.7,65.7,65.7,65.7,30,0
INTLSPO80853.PL,5,20251113,153500,68.2,68.2,68.2,68.2,40,0
INTLSPO80853.PL,5,20251126,160500,43.2,43.2,43.2,43.2,5,0
INTLSPO80853.PL,5,20251201,153500,38.25,38.25,38.25,38.25,5,0
