<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTLSPX87452.PL,5,20251031,092000,25.7,25.7,25.7,25.7,57,0
INTLSPX87452.PL,5,20251031,094000,25.75,25.75,25.75,25.75,17,0
INTLSPX87452.PL,5,20251031,105000,25.8,25.8,25.8,25.8,79,0
INTLSPX87452.PL,5,20251103,115500,25.7,25.7,25.7,25.7,79,0
INTLSPX87452.PL,5,20251104,090500,22.55,22.55,22.55,22.55,200,0
INTLSPX87452.PL,5,20251104,110500,21.85,21.85,21.85,21.85,50,0
INTLSPX87452.PL,5,20251104,130000,22.5,22.5,22.5,22.5,25,0
INTLSPX87452.PL,5,20251104,151500,22.55,22.55,22.55,22.55,145,0
INTLSPX87452.PL,5,20251104,153500,22.15,22.15,22.15,22.15,60,0
INTLSPX87452.PL,5,20251104,164500,23.7,23.7,23.55,23.55,285,0
INTLSPX87452.PL,5,20251105,100500,22.15,22.15,22.15,22.15,100,0
INTLSPX87452.PL,5,20251105,103500,21.85,21.85,21.85,21.85,50,0
INTLSPX87452.PL,5,20251105,115500,21.3,21.3,21.3,21.3,200,0
INTLSPX87452.PL,5,20251105,120000,21.35,21.35,21.35,21.35,200,0
INTLSPX87452.PL,5,20251105,134500,21.8,21.8,21.8,21.8,25,0
INTLSPX87452.PL,5,20251105,155500,23,23,23,23,200,0
INTLSPX87452.PL,5,20251105,163000,23.15,23.15,23.15,23.15,100,0
INTLSPX87452.PL,5,20251106,164500,20.65,20.65,20.65,20.65,25,0
INTLSPX87452.PL,5,20251107,092000,20.65,20.65,20.65,20.65,200,0
INTLSPX87452.PL,5,20251107,121000,19.48,19.48,19.48,19.48,25,0
INTLSPX87452.PL,5,20251107,144000,19,19,19,19,70,0
INTLSPX87452.PL,5,20251107,154000,18.28,18.28,18.28,18.28,24,0
INTLSPX87452.PL,5,20251107,154500,18.26,18.26,18.26,18.26,80,0
INTLSPX87452.PL,5,20251107,163000,18.38,18.38,18.38,18.38,50,0
INTLSPX87452.PL,5,20251110,090500,22,22,22,22,50,0
INTLSPX87452.PL,5,20251110,092500,22,22,22,22,20,0
INTLSPX87452.PL,5,20251110,102000,22.6,22.6,22.6,22.6,100,0
INTLSPX87452.PL,5,20251110,105500,22.55,22.55,22.55,22.55,1350,0
INTLSPX87452.PL,5,20251110,124500,22.5,22.5,22.5,22.5,58,0
INTLSPX87452.PL,5,20251110,161500,23,23,23,23,16,0
INTLSPX87452.PL,5,20251112,090500,25.05,25.05,25.05,25.05,43,0
INTLSPX87452.PL,5,20251112,093500,25.15,25.15,25.15,25.15,104,0
INTLSPX87452.PL,5,20251112,095000,25.25,25.25,25.25,25.25,40,0
INTLSPX87452.PL,5,20251112,110500,25.4,25.4,25.4,25.4,260,0
INTLSPX87452.PL,5,20251112,140000,25.3,25.3,25.3,25.3,139,0
INTLSPX87452.PL,5,20251112,153000,25,25,25,25,33,0
INTLSPX87452.PL,5,20251113,122000,24.15,24.15,24.15,24.15,1350,0
INTLSPX87452.PL,5,20251113,150000,23.5,23.5,23.5,23.5,101,0
INTLSPX87452.PL,5,20251113,155500,22.9,22.9,22.9,22.9,101,0
INTLSPX87452.PL,5,20251114,092000,19.28,19.28,19.28,19.28,139,0
INTLSPX87452.PL,5,20251114,095000,19.48,19.48,19.48,19.48,60,0
INTLSPX87452.PL,5,20251114,104500,19.3,19.3,19.3,19.3,100,0
INTLSPX87452.PL,5,20251114,123000,18.64,18.64,18.64,18.64,70,0
INTLSPX87452.PL,5,20251114,130500,18.1,18.1,18.1,18.1,300,0
INTLSPX87452.PL,5,20251114,143000,17.5,17.5,17.5,17.5,50,0
INTLSPX87452.PL,5,20251117,094500,21.5,21.5,21.5,21.5,130,0
INTLSPX87452.PL,5,20251118,090500,16.7,16.78,16.7,16.78,305,0
INTLSPX87452.PL,5,20251118,091000,16.78,16.78,16.78,16.78,170,0
INTLSPX87452.PL,5,20251118,131500,16.74,16.74,16.74,16.74,65,0
INTLSPX87452.PL,5,20251118,133500,16.7,16.7,16.7,16.7,65,0
INTLSPX87452.PL,5,20251118,135000,16.28,16.28,16.28,16.28,160,0
INTLSPX87452.PL,5,20251118,135500,16.1,16.1,16.1,16.1,200,0
INTLSPX87452.PL,5,20251118,163000,15.2,15.2,15.2,15.2,300,0
INTLSPX87452.PL,5,20251119,090500,15.92,15.92,15.92,15.92,64,0
INTLSPX87452.PL,5,20251119,094500,16.06,16.06,16.06,16.06,28,0
INTLSPX87452.PL,5,20251119,095000,16,16,16,16,7,0
INTLSPX87452.PL,5,20251119,125500,16.58,16.58,16.58,16.58,30,0
INTLSPX87452.PL,5,20251119,155000,17.28,17.28,17.28,17.28,100,0
INTLSPX87452.PL,5,20251119,160500,17.9,17.9,17.9,17.9,100,0
INTLSPX87452.PL,5,20251119,163500,17.88,17.88,17.84,17.84,35,0
INTLSPX87452.PL,5,20251120,090500,19.76,19.76,19.76,19.76,101,0
