<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTLTSL87619.PL,5,20251107,153000,21.9,21.9,21.9,21.9,50,0
INTLTSL87619.PL,5,20251107,153500,18.96,18.96,17.18,17.18,100,0
INTLTSL87619.PL,5,20251107,162500,20.95,20.95,20.95,20.95,99,0
INTLTSL87619.PL,5,20251110,090500,23.05,23.05,23,23,261,0
INTLTSL87619.PL,5,20251110,091000,23,23,23,23,150,0
INTLTSL87619.PL,5,20251110,113000,22.75,22.75,22.75,22.75,36,0
INTLTSL87619.PL,5,20251110,153500,21,21,21,21,10,0
INTLTSL87619.PL,5,20251112,163500,19.3,19.3,19.3,19.3,10,0
INTLTSL87619.PL,5,20251113,090500,19.18,19.18,19.18,19.18,50,0
INTLTSL87619.PL,5,20251113,102000,18.2,18.2,18.2,18.2,50,0
INTLTSL87619.PL,5,20251113,143500,17.2,17.2,17.2,17.2,162,0
INTLTSL87619.PL,5,20251113,153000,16.36,16.36,16.36,16.36,60,0
INTLTSL87619.PL,5,20251113,155000,14.24,14.24,14.24,14.24,40,0
INTLTSL87619.PL,5,20251113,160000,12.1,12.1,12.1,12.1,100,0
INTLTSL87619.PL,5,20251113,160500,12.38,12.38,12.38,12.38,20,0
INTLTSL87619.PL,5,20251113,162000,12.24,12.24,12.24,12.24,100,0
INTLTSL87619.PL,5,20251113,162500,11.02,11.02,11.02,11.02,400,0
