<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTLUSD77545.PL,5,20250707,145500,35.3,35.3,35.3,35.3,30,0
INTLUSD77545.PL,5,20250715,162500,39,39,39,39,137,0
INTLUSD77545.PL,5,20250724,152500,34,34,34,34,6,0
INTLUSD77545.PL,5,20250729,090500,42,42,42,42,20,0
INTLUSD77545.PL,5,20250730,164000,44.3,44.3,44.3,44.3,100,0
INTLUSD77545.PL,5,20250731,154000,46.5,46.5,46.5,46.5,100,0
INTLUSD77545.PL,5,20250731,155000,46.65,46.65,46.65,46.65,100,0
INTLUSD77545.PL,5,20250731,160500,46.75,46.75,46.75,46.75,100,0
INTLUSD77545.PL,5,20250801,101500,47,47,47,47,30,0
INTLUSD77545.PL,5,20250801,154000,41,41,41,41,10,0
INTLUSD77545.PL,5,20250811,090500,35.8,35.8,35.8,35.8,692,0
INTLUSD77545.PL,5,20250811,162500,38.35,38.35,38.35,38.35,550,0
INTLUSD77545.PL,5,20250812,160500,36.75,36.75,36.75,36.75,232,0
INTLUSD77545.PL,5,20250818,090500,35.45,35.45,35.45,35.45,232,0
INTLUSD77545.PL,5,20250820,102500,36.6,36.6,36.6,36.6,10,0
INTLUSD77545.PL,5,20250902,090500,34.65,34.65,34.65,34.65,20,0
INTLUSD77545.PL,5,20250908,161000,32.15,32.15,32.15,32.15,500,0
INTLUSD77545.PL,5,20250909,091000,31.55,31.55,31.55,31.55,50,0
INTLUSD77545.PL,5,20250909,114500,31.85,31.85,31.85,31.85,200,0
INTLUSD77545.PL,5,20250909,132000,32.55,32.55,32.55,32.55,700,0
INTLUSD77545.PL,5,20250911,093500,35.35,35.35,35.35,35.35,30,0
INTLUSD77545.PL,5,20250916,162000,29.15,29.15,29.15,29.15,30,0
INTLUSD77545.PL,5,20250917,104000,29.45,29.45,29.45,29.45,50,0
INTLUSD77545.PL,5,20250917,152500,29.2,29.2,29.2,29.2,25,0
INTLUSD77545.PL,5,20250918,155500,32.45,32.45,32.45,32.45,25,0
INTLUSD77545.PL,5,20250926,153000,35.7,35.7,35.7,35.7,55,0
INTLUSD77545.PL,5,20250929,091000,33.5,33.5,33.5,33.5,59,0
INTLUSD77545.PL,5,20251002,125500,32,32,32,32,62,0
INTLUSD77545.PL,5,20251006,093500,32.5,32.5,32.5,32.5,76,0
INTLUSD77545.PL,5,20251007,155500,34,34,34,34,100,0
INTLUSD77545.PL,5,20251008,092000,36.1,36.1,36.1,36.1,20,0
INTLUSD77545.PL,5,20251008,105500,35.5,35.75,35.5,35.75,92,0
INTLUSD77545.PL,5,20251010,104500,37,37,37,37,100,0
INTLUSD77545.PL,5,20251010,122000,37,37,37,37,20,0
INTLUSD77545.PL,5,20251014,102000,38.2,38.2,38.2,38.2,80,0
INTLUSD77545.PL,5,20251014,113000,38.05,38.05,38.05,38.05,70,0
INTLUSD77545.PL,5,20251014,144500,38.5,38.5,38.5,38.5,50,0
INTLUSD77545.PL,5,20251016,164000,32.9,32.9,32.9,32.9,42,0
INTLUSD77545.PL,5,20251016,164500,32.85,32.85,32.85,32.85,50,0
INTLUSD77545.PL,5,20251017,095000,32.5,32.5,32.5,32.5,100,0
INTLUSD77545.PL,5,20251021,144000,34.2,34.2,34.2,34.2,20,0
INTLUSD77545.PL,5,20251022,143500,34.1,34.1,34.1,34.1,50,0
INTLUSD77545.PL,5,20251030,140000,36,36,36,36,350,0
INTLUSD77545.PL,5,20251104,115500,38.55,38.55,38.55,38.55,100,0
INTLUSD77545.PL,5,20251104,120000,38.55,38.55,38.55,38.55,100,0
INTLUSD77545.PL,5,20251106,092500,37.6,37.6,37.6,37.6,100,0
INTLUSD77545.PL,5,20251106,101500,37.75,37.75,37.75,37.75,120,0
INTLUSD77545.PL,5,20251107,114500,36.25,36.25,36.25,36.25,6,0
INTLUSD77545.PL,5,20251118,125000,34.25,34.25,34.25,34.25,44,0
INTLUSD77545.PL,5,20251125,092000,34.6,34.6,34.6,34.6,100,0
