<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTLW2083840.PL,5,20250801,103500,2.75,2.75,2.75,2.75,500,0
INTLW2083840.PL,5,20250801,154500,2.69,2.69,2.69,2.69,639,0
INTLW2083840.PL,5,20250801,160000,2.59,2.59,2.59,2.59,1000,0
INTLW2083840.PL,5,20250804,091000,2.65,2.65,2.65,2.65,1000,0
INTLW2083840.PL,5,20250804,092500,2.55,2.55,2.52,2.52,4000,0
INTLW2083840.PL,5,20250804,100000,2.5,2.5,2.5,2.5,2596,0
INTLW2083840.PL,5,20250804,101000,2.48,2.48,2.48,2.48,3000,0
INTLW2083840.PL,5,20250805,090500,3.01,3.03,3.01,3.03,12735,0
INTLW2083840.PL,5,20250805,093500,3,3,3,3,300,0
INTLW2083840.PL,5,20250807,104500,3.8,3.8,3.8,3.8,300,0
INTLW2083840.PL,5,20250811,154500,4.06,4.06,4.06,4.06,244,0
INTLW2083840.PL,5,20250812,122000,4.11,4.11,4.11,4.11,241,0
INTLW2083840.PL,5,20250813,093000,4.27,4.27,4.27,4.27,244,0
INTLW2083840.PL,5,20250813,094500,4.25,4.25,4.25,4.25,2989,0
INTLW2083840.PL,5,20250813,105000,4.09,4.09,4.09,4.09,1259,0
INTLW2083840.PL,5,20250813,113000,4.07,4.07,4.07,4.07,1866,0
INTLW2083840.PL,5,20250813,123500,4.04,4.04,4.04,4.04,1986,0
INTLW2083840.PL,5,20250813,145000,3.95,3.95,3.93,3.93,5674,0
INTLW2083840.PL,5,20250813,150000,3.92,3.92,3.92,3.92,4189,0
INTLW2083840.PL,5,20250814,091000,3.88,3.88,3.88,3.88,256,0
INTLW2083840.PL,5,20250814,093000,3.92,3.92,3.92,3.92,4221,0
INTLW2083840.PL,5,20250814,135000,3.71,3.71,3.71,3.71,241,0
INTLW2083840.PL,5,20250814,150500,3.54,3.54,3.54,3.54,280,0
INTLW2083840.PL,5,20250819,092000,3.9,3.9,3.9,3.9,536,0
INTLW2083840.PL,5,20250819,152500,4.25,4.25,4.25,4.25,1253,0
INTLW2083840.PL,5,20250820,091000,3.77,3.77,3.77,3.77,1404,0
INTLW2083840.PL,5,20250820,093500,3.88,3.88,3.88,3.88,256,0
INTLW2083840.PL,5,20250820,155500,4.1,4.1,4.1,4.1,350,0
INTLW2083840.PL,5,20250820,161500,4.08,4.08,4.08,4.08,256,0
INTLW2083840.PL,5,20250822,111000,3.4,3.4,3.4,3.4,410,0
INTLW2083840.PL,5,20250822,112500,3.38,3.38,3.38,3.38,500,0
INTLW2083840.PL,5,20250822,113000,3.36,3.36,3.35,3.35,920,0
INTLW2083840.PL,5,20250822,122000,3.28,3.28,3.28,3.28,930,0
INTLW2083840.PL,5,20250822,124000,3.28,3.28,3.28,3.28,303,0
INTLW2083840.PL,5,20250822,131500,3.2,3.2,3.2,3.2,440,0
INTLW2083840.PL,5,20250822,132000,3.15,3.15,3.15,3.15,500,0
INTLW2083840.PL,5,20250822,132500,3.05,3.05,3.05,3.05,470,0
INTLW2083840.PL,5,20250822,143000,3.1,3.1,3.1,3.1,400,0
INTLW2083840.PL,5,20250822,150000,3.1,3.1,3.1,3.1,321,0
INTLW2083840.PL,5,20250822,164000,3.08,3.08,3.08,3.08,353,0
INTLW2083840.PL,5,20250825,094500,3.23,3.23,3.23,3.23,500,0
INTLW2083840.PL,5,20250825,104000,3.32,3.32,3.32,3.32,500,0
INTLW2083840.PL,5,20250825,115000,3.2,3.2,3.2,3.2,500,0
INTLW2083840.PL,5,20250825,131000,3.31,3.31,3.31,3.31,500,0
INTLW2083840.PL,5,20250825,131500,3.35,3.35,3.35,3.35,500,0
INTLW2083840.PL,5,20250825,153500,3.4,3.4,3.4,3.4,500,0
INTLW2083840.PL,5,20250825,160500,3.32,3.32,3.32,3.32,624,0
INTLW2083840.PL,5,20250826,093500,3.02,3.02,3.02,3.02,500,0
INTLW2083840.PL,5,20250826,094000,3.01,3.01,3.01,3.01,662,0
INTLW2083840.PL,5,20250826,115000,3.14,3.14,3.14,3.14,500,0
INTLW2083840.PL,5,20250826,155500,3.32,3.32,3.32,3.32,662,0
INTLW2083840.PL,5,20250827,093500,3.24,3.24,3.24,3.24,500,0
INTLW2083840.PL,5,20250827,094000,3.26,3.26,3.26,3.26,603,0
INTLW2083840.PL,5,20250827,100500,3.18,3.18,3.18,3.18,440,0
INTLW2083840.PL,5,20250827,102500,3.07,3.07,3.07,3.07,500,0
INTLW2083840.PL,5,20250827,123500,3,3,3,3,460,0
INTLW2083840.PL,5,20250827,124000,2.99,2.99,2.99,2.99,331,0
INTLW2083840.PL,5,20250827,145000,2.78,2.78,2.78,2.78,346,0
INTLW2083840.PL,5,20250827,163000,2.78,2.78,2.78,2.78,236,0
INTLW2083840.PL,5,20250828,094500,2.95,2.95,2.95,2.95,1350,0
INTLW2083840.PL,5,20250828,164500,2.56,2.56,2.56,2.56,22335,0
INTLW2083840.PL,5,20250829,151500,2.3,2.3,2.3,2.3,3761,0
INTLW2083840.PL,5,20250829,162500,2.16,2.16,2.16,2.16,353,0
INTLW2083840.PL,5,20250901,092500,2.4,2.4,2.4,2.4,397,0
INTLW2083840.PL,5,20250901,094000,2.47,2.47,2.47,2.47,5745,0
INTLW2083840.PL,5,20250901,100500,2.37,2.37,2.37,2.37,500,0
INTLW2083840.PL,5,20250901,124000,2.13,2.13,2.13,2.13,500,0
INTLW2083840.PL,5,20250901,164500,1.83,1.83,1.83,1.83,1000,0
INTLW2083840.PL,5,20250902,090500,1.91,1.91,1.91,1.91,1000,0
INTLW2083840.PL,5,20250902,093000,1.67,1.67,1.67,1.67,500,0
INTLW2083840.PL,5,20250902,094000,1.6,1.6,1.6,1.6,500,0
INTLW2083840.PL,5,20250902,133500,1.8,1.8,1.8,1.8,500,0
INTLW2083840.PL,5,20250902,162000,2,2,2,2,500,0
INTLW2083840.PL,5,20250902,162500,1.96,1.96,1.96,1.96,500,0
INTLW2083840.PL,5,20250902,163000,1.97,1.97,1.97,1.97,500,0
INTLW2083840.PL,5,20250902,164500,1.96,1.96,1.91,1.91,2000,0
INTLW2083840.PL,5,20250903,102000,2.15,2.15,2.15,2.15,500,0
INTLW2083840.PL,5,20250903,104000,2.17,2.17,2.17,2.17,500,0
INTLW2083840.PL,5,20250903,114000,2.22,2.22,2.22,2.22,500,0
INTLW2083840.PL,5,20250903,120500,2.26,2.26,2.26,2.26,500,0
INTLW2083840.PL,5,20250903,124000,2.21,2.21,2.21,2.21,500,0
INTLW2083840.PL,5,20250903,124500,2.14,2.14,2.14,2.14,2000,0
INTLW2083840.PL,5,20250903,125000,2.19,2.19,2.19,2.19,2000,0
INTLW2083840.PL,5,20250903,125500,2.17,2.17,2.17,2.17,228,0
INTLW2083840.PL,5,20250903,130000,2.13,2.13,2.13,2.13,500,0
INTLW2083840.PL,5,20250903,142500,2.23,2.23,2.23,2.23,500,0
