<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTLXTB79566.PL,5,20250707,091000,1.63,1.63,1.63,1.63,500,0
INTLXTB79566.PL,5,20250707,100500,1.54,1.54,1.54,1.54,1900,0
INTLXTB79566.PL,5,20250707,102000,1.53,1.53,1.53,1.53,1000,0
INTLXTB79566.PL,5,20250707,103000,1.58,1.58,1.58,1.58,1800,0
INTLXTB79566.PL,5,20250707,113500,1.4,1.4,1.4,1.4,2000,0
INTLXTB79566.PL,5,20250707,133000,1.43,1.43,1.43,1.43,500,0
INTLXTB79566.PL,5,20250707,134500,1.4,1.4,1.4,1.4,800,0
INTLXTB79566.PL,5,20250707,151500,1.36,1.36,1.36,1.36,500,0
INTLXTB79566.PL,5,20250707,164500,1.35,1.35,1.35,1.35,1000,0
INTLXTB79566.PL,5,20250708,090500,1.52,1.52,1.52,1.52,2000,0
INTLXTB79566.PL,5,20250708,091000,1.49,1.49,1.49,1.49,2000,0
INTLXTB79566.PL,5,20250708,092500,1.54,1.54,1.54,1.54,1900,0
INTLXTB79566.PL,5,20250708,093000,1.56,1.56,1.56,1.56,1500,0
INTLXTB79566.PL,5,20250708,115000,1.53,1.53,1.53,1.53,3907,0
INTLXTB79566.PL,5,20250709,090500,1.67,1.67,1.67,1.67,12487,0
INTLXTB79566.PL,5,20250709,091500,1.59,1.59,1.59,1.59,12500,0
INTLXTB79566.PL,5,20250709,101500,1.55,1.55,1.55,1.55,12500,0
INTLXTB79566.PL,5,20250709,102000,1.5,1.5,1.5,1.5,12500,0
INTLXTB79566.PL,5,20250714,144500,1.55,1.55,1.55,1.55,3907,0
INTLXTB79566.PL,5,20250715,153500,1.49,1.49,1.49,1.49,4035,0
INTLXTB79566.PL,5,20250718,102000,1.53,1.53,1.53,1.53,4035,0
INTLXTB79566.PL,5,20250718,134000,1.63,1.63,1.63,1.63,1300,0
INTLXTB79566.PL,5,20250721,092000,1.7,1.7,1.7,1.7,1173,0
INTLXTB79566.PL,5,20250721,092500,1.66,1.66,1.66,1.66,14416,0
INTLXTB79566.PL,5,20250722,154000,1.46,1.46,1.46,1.46,7000,0
INTLXTB79566.PL,5,20250723,131000,1.48,1.48,1.48,1.48,8589,0
INTLXTB79566.PL,5,20250728,123500,1.6,1.6,1.6,1.6,2000,0
INTLXTB79566.PL,5,20250731,163000,1.82,1.82,1.82,1.82,2819,0
INTLXTB79566.PL,5,20250801,091000,1.5,1.5,1.5,1.5,1500,0
INTLXTB79566.PL,5,20250801,091500,1.4,1.4,1.4,1.4,1200,0
