<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTSBCO48744.PL,5,20250715,092000,110,110,110,110,11,0
INTSBCO48744.PL,5,20250728,164000,105.8,105.8,105.8,105.8,11,0
INTSBCO48744.PL,5,20250730,091000,97.2,97.2,97.2,97.2,12,0
INTSBCO48744.PL,5,20250801,164500,104.4,104.4,104.4,104.4,23,0
INTSBCO48744.PL,5,20250811,162500,115,115,115,115,33,0
INTSBCO48744.PL,5,20250909,164500,108.8,108.8,108.8,108.8,11,0
INTSBCO48744.PL,5,20250912,095000,112,112,112,112,11,0
INTSBCO48744.PL,5,20250912,164500,107.8,107.8,107.8,107.8,11,0
INTSBCO48744.PL,5,20250926,163500,97.8,97.8,97.8,97.8,12,0
INTSBCO48744.PL,5,20250929,160500,104.6,104.6,104.6,104.6,23,0
INTSBCO48744.PL,5,20251024,091500,112.8,112.8,112.8,112.8,11,0
INTSBCO48744.PL,5,20251024,164500,110.2,110.2,110.2,110.2,12,0
INTSBCO48744.PL,5,20251027,100000,113.8,113.8,113.8,113.8,23,0
