<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTSCCC82834.PL,5,20250708,150500,5.83,5.83,5.83,5.83,300,0
INTSCCC82834.PL,5,20250718,145500,4.64,4.64,4.64,4.64,500,0
INTSCCC82834.PL,5,20250721,114500,4.73,4.73,4.73,4.73,500,0
INTSCCC82834.PL,5,20250721,154000,5.05,5.05,5.05,5.05,300,0
INTSCCC82834.PL,5,20250721,160500,5.04,5.04,5.04,5.04,300,0
INTSCCC82834.PL,5,20250721,164500,5,5,5,5,400,0
INTSCCC82834.PL,5,20250728,132000,5.41,5.41,5.41,5.41,1000,0
INTSCCC82834.PL,5,20251015,145000,10.5,10.5,10.5,10.5,100,0
INTSCCC82834.PL,5,20251016,094500,11.22,11.22,11.22,11.22,100,0
INTSCCC82834.PL,5,20251016,162000,11.4,11.4,11.4,11.4,100,0
INTSCCC82834.PL,5,20251017,113500,11.08,11.08,11.08,11.08,100,0
INTSCCC82834.PL,5,20251022,140500,11.92,11.92,11.92,11.92,150,0
INTSCCC82834.PL,5,20251022,162000,11.86,11.86,11.86,11.86,100,0
INTSCCC82834.PL,5,20251030,164500,10.8,10.8,10.8,10.8,100,0
INTSCCC82834.PL,5,20251107,093000,11.6,11.6,11.6,11.6,300,0
INTSCCC82834.PL,5,20251107,122500,12.02,12.02,12.02,12.02,150,0
INTSCCC82834.PL,5,20251107,135000,11.78,11.78,11.78,11.78,150,0
INTSCCC82834.PL,5,20251107,153500,11.96,11.96,11.96,11.96,150,0
INTSCCC82834.PL,5,20251107,162500,11.9,11.9,11.9,11.9,500,0
INTSCCC82834.PL,5,20251110,144000,11.84,11.84,11.84,11.84,150,0
INTSCCC82834.PL,5,20251112,112000,12.06,12.06,12.06,12.06,150,0
