<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTSDAX76190.PL,5,20250707,091000,52.9,52.9,52.9,52.9,740,0
INTSDAX76190.PL,5,20250707,155000,46.3,46.3,46.3,46.3,1500,0
INTSDAX76190.PL,5,20250707,164000,46.2,46.2,46.2,46.2,240,0
INTSDAX76190.PL,5,20250708,095500,42.85,42.85,42.85,42.85,100,0
INTSDAX76190.PL,5,20250708,100500,42.45,42.45,42.45,42.45,10,0
INTSDAX76190.PL,5,20250708,101000,43.15,43.15,43.15,43.15,15,0
INTSDAX76190.PL,5,20250708,102000,43.3,43.3,43.3,43.3,15,0
INTSDAX76190.PL,5,20250708,111500,41.05,41.05,41.05,41.05,100,0
INTSDAX76190.PL,5,20250709,091000,36.15,36.15,36.15,36.15,10,0
INTSDAX76190.PL,5,20250709,100000,33.2,33.2,32.95,32.95,450,0
INTSDAX76190.PL,5,20250709,100500,32.55,32.55,32,32.2,250,0
INTSDAX76190.PL,5,20250709,101000,31.7,31.7,31.7,31.7,200,0
INTSDAX76190.PL,5,20250709,101500,30.8,30.8,30.4,30.4,200,0
INTSDAX76190.PL,5,20250709,103500,31.7,31.7,31.3,31.3,247,0
INTSDAX76190.PL,5,20250709,105000,31.9,31.9,31.9,31.9,15,0
INTSDAX76190.PL,5,20250709,111000,30,30,30,30,100,0
INTSDAX76190.PL,5,20250709,112000,28.9,29,28.9,29,140,0
INTSDAX76190.PL,5,20250709,112500,28.8,28.8,28.8,28.8,120,0
INTSDAX76190.PL,5,20250709,113000,28.55,28.55,28.55,28.55,30,0
INTSDAX76190.PL,5,20250709,113500,28.2,28.2,28,28,58,0
INTSDAX76190.PL,5,20250709,114500,27.7,27.7,27.6,27.6,165,0
INTSDAX76190.PL,5,20250709,123000,28.65,28.65,28.65,28.65,41,0
INTSDAX76190.PL,5,20250709,124000,29,29,28.95,28.95,120,0
INTSDAX76190.PL,5,20250709,132500,26.65,26.65,26.65,26.65,65,0
INTSDAX76190.PL,5,20250709,141000,26.05,26.05,26.05,26.05,100,0
INTSDAX76190.PL,5,20250709,141500,26.55,26.55,26.45,26.45,850,0
INTSDAX76190.PL,5,20250709,145000,25.85,25.85,25.35,25.35,315,0
INTSDAX76190.PL,5,20250709,150000,25.3,25.3,25.2,25.2,690,0
INTSDAX76190.PL,5,20250709,150500,24.5,24.5,24.5,24.5,14,0
INTSDAX76190.PL,5,20250709,151000,24.55,24.55,24.55,24.55,100,0
INTSDAX76190.PL,5,20250709,151500,23.9,23.9,23.55,23.55,240,0
INTSDAX76190.PL,5,20250709,152000,24,24,24,24,208,0
INTSDAX76190.PL,5,20250709,152500,23.05,23.05,22.75,22.75,238,0
INTSDAX76190.PL,5,20250709,153000,23.3,23.3,23.3,23.3,135,0
INTSDAX76190.PL,5,20250709,153500,24,24,23.95,23.95,200,0
INTSDAX76190.PL,5,20250709,154000,23.5,23.5,23.5,23.5,100,0
INTSDAX76190.PL,5,20250709,154500,22.8,23,22.55,22.55,403,0
INTSDAX76190.PL,5,20250709,155000,22,22.05,21.7,22.05,2563,0
INTSDAX76190.PL,5,20250709,155500,22.9,22.9,22.9,22.9,55,0
INTSDAX76190.PL,5,20250709,160000,23.2,23.2,23.2,23.2,55,0
INTSDAX76190.PL,5,20250709,161000,24.3,24.3,24.3,24.3,100,0
INTSDAX76190.PL,5,20250709,162500,24.4,24.4,24.25,24.4,770,0
INTSDAX76190.PL,5,20250709,163000,25.4,25.4,25.4,25.4,1,0
INTSDAX76190.PL,5,20250709,163500,25.3,25.3,25.3,25.3,100,0
INTSDAX76190.PL,5,20250709,164000,24.5,24.5,24.5,24.5,50,0
INTSDAX76190.PL,5,20250709,164500,25.4,25.4,25.4,25.4,149,0
