<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTSEUR74781.PL,5,20250729,090500,14.32,14.32,14.32,14.32,80,0
INTSEUR74781.PL,5,20250729,164000,12.58,12.58,12.58,12.58,90,0
INTSEUR74781.PL,5,20250730,102000,13.46,13.46,13.46,13.46,170,0
INTSEUR74781.PL,5,20250806,155500,13,13,13,13,160,0
INTSEUR74781.PL,5,20250808,161000,16,16,16,16,160,0
INTSEUR74781.PL,5,20250812,144500,15.16,15.16,15.16,15.16,140,0
INTSEUR74781.PL,5,20250814,092500,14.74,14.74,14.74,14.74,140,0
INTSEUR74781.PL,5,20250822,092500,14.58,14.58,14.58,14.58,20,0
INTSEUR74781.PL,5,20250902,102000,14,14,14,14,150,0
INTSEUR74781.PL,5,20250903,162500,15.04,15.04,15.04,15.04,150,0
INTSEUR74781.PL,5,20250910,113000,14.9,14.9,14.9,14.9,140,0
INTSEUR74781.PL,5,20251008,141500,15.38,15.38,15.38,15.38,100,0
INTSEUR74781.PL,5,20251008,154000,14.6,14.6,14.6,14.6,100,0
INTSEUR74781.PL,5,20251015,092000,14.42,14.42,14.42,14.42,140,0
INTSEUR74781.PL,5,20251017,163000,15.88,15.88,15.88,15.88,280,0
INTSEUR74781.PL,5,20251029,152000,16.3,16.3,16.3,16.3,70,0
INTSEUR74781.PL,5,20251030,093500,16.14,16.14,16.14,16.14,200,0
INTSEUR74781.PL,5,20251030,130000,15.68,15.68,15.68,15.68,270,0
INTSEUR74781.PL,5,20251114,133000,16.48,16.48,16.48,16.48,39,0
INTSEUR74781.PL,5,20251121,130500,15.26,15.26,15.26,15.26,55,0
INTSEUR74781.PL,5,20251124,154500,16.56,16.56,16.56,16.56,55,0
INTSEUR74781.PL,5,20251126,124000,16.88,16.88,16.88,16.88,100,0
INTSEUR74781.PL,5,20251127,091500,16.44,16.44,16.44,16.44,100,0
INTSEUR74781.PL,5,20251127,102000,16.9,16.9,16.9,16.9,100,0
INTSEUR74781.PL,5,20251127,155000,16.62,16.62,16.62,16.62,50,0
INTSEUR74781.PL,5,20251201,131500,16.78,16.78,16.78,16.78,150,0
INTSEUR74781.PL,5,20251202,100500,16.2,16.2,16.2,16.2,100,0
INTSEUR74781.PL,5,20251202,114500,15.72,15.72,15.72,15.72,50,0
