<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTSGLD85498.PL,5,20250904,132000,15.04,15.04,15.04,15.04,500,0
INTSGLD85498.PL,5,20250904,152500,14.52,14.52,14.52,14.52,300,0
INTSGLD85498.PL,5,20250905,113000,14.66,14.66,14.66,14.66,100,0
INTSGLD85498.PL,5,20250905,142000,14.52,14.52,14.52,14.52,300,0
INTSGLD85498.PL,5,20250905,145000,13.5,13.5,13.5,13.5,500,0
INTSGLD85498.PL,5,20250905,151000,13.4,13.4,13.4,13.4,400,0
INTSGLD85498.PL,5,20250908,093500,12.34,12.34,12.34,12.34,1045,0
INTSGLD85498.PL,5,20250908,094500,12.34,12.34,12.34,12.34,200,0
INTSGLD85498.PL,5,20250908,105500,12.34,12.34,12.34,12.34,200,0
INTSGLD85498.PL,5,20250908,110500,12.3,12.3,12.3,12.3,147,0
INTSGLD85498.PL,5,20250908,142000,12.16,12.16,12.16,12.16,137,0
INTSGLD85498.PL,5,20250908,151500,11.78,11.78,11.78,11.78,200,0
INTSGLD85498.PL,5,20250908,152000,11.84,11.84,11.84,11.84,350,0
INTSGLD85498.PL,5,20250908,153000,11.9,11.9,11.9,11.9,200,0
INTSGLD85498.PL,5,20250908,153500,11.78,11.78,11.78,11.78,200,0
INTSGLD85498.PL,5,20250908,155500,11.62,11.62,11.62,11.62,200,0
INTSGLD85498.PL,5,20250908,160000,11.54,11.54,11.54,11.54,150,0
INTSGLD85498.PL,5,20250909,090500,11,11.08,11,11.08,300,0
INTSGLD85498.PL,5,20250909,101500,11.14,11.14,11.14,11.14,60,0
INTSGLD85498.PL,5,20250909,153500,10.4,10.4,10.36,10.36,400,0
INTSGLD85498.PL,5,20250909,154000,10.46,10.46,10.46,10.46,100,0
INTSGLD85498.PL,5,20250909,155500,10.3,10.3,10.3,10.3,200,0
INTSGLD85498.PL,5,20250909,161500,10.82,10.82,10.82,10.82,100,0
INTSGLD85498.PL,5,20250909,163500,11.42,11.42,11.42,11.42,600,0
INTSGLD85498.PL,5,20250910,133000,10.84,10.84,10.84,10.84,200,0
INTSGLD85498.PL,5,20250910,134000,10.94,10.94,10.94,10.94,200,0
INTSGLD85498.PL,5,20250910,143000,10.88,10.88,10.88,10.88,200,0
INTSGLD85498.PL,5,20250910,163000,10.8,10.8,10.8,10.8,200,0
INTSGLD85498.PL,5,20250911,090500,11.76,11.8,11.76,11.8,1400,0
INTSGLD85498.PL,5,20250912,093000,10.9,10.9,10.9,10.9,200,0
INTSGLD85498.PL,5,20250912,101500,11.16,11.16,11.16,11.16,200,0
INTSGLD85498.PL,5,20250912,132500,11.04,11.04,11.04,11.04,200,0
INTSGLD85498.PL,5,20250912,150000,11.08,11.08,11.08,11.08,200,0
INTSGLD85498.PL,5,20250915,150000,11,11,11,11,200,0
INTSGLD85498.PL,5,20250915,152000,10.88,10.88,10.88,10.88,200,0
INTSGLD85498.PL,5,20250915,153000,10.78,10.78,10.78,10.78,200,0
