<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTSGOG85589.PL,5,20250916,091500,19.78,19.78,19.78,19.78,1000,0
INTSGOG85589.PL,5,20250916,093000,19.72,19.72,19.72,19.72,150,0
INTSGOG85589.PL,5,20250916,100500,19.52,19.52,19.52,19.52,40,0
INTSGOG85589.PL,5,20250916,150500,19.68,19.68,19.68,19.68,250,0
INTSGOG85589.PL,5,20250917,100000,20.1,20.1,20.1,20.1,120,0
INTSGOG85589.PL,5,20250917,103500,20.15,20.15,20.15,20.15,500,0
INTSGOG85589.PL,5,20250917,113500,19.7,19.7,19.7,19.7,160,0
INTSGOG85589.PL,5,20250917,121500,19.84,19.84,19.84,19.84,200,0
INTSGOG85589.PL,5,20250917,162000,20.65,20.65,20.65,20.65,1700,0
INTSGOG85589.PL,5,20250918,092500,19.82,19.82,19.82,19.82,150,0
INTSGOG85589.PL,5,20250918,105500,19.42,19.42,19.42,19.42,130,0
INTSGOG85589.PL,5,20250918,161500,19.68,19.68,19.68,19.68,40,0
INTSGOG85589.PL,5,20250922,090500,19.58,19.58,19.58,19.58,800,0
INTSGOG85589.PL,5,20250922,120000,19.44,19.44,19.44,19.44,300,0
INTSGOG85589.PL,5,20250922,162000,19.08,19.08,19.08,19.08,150,0
INTSGOG85589.PL,5,20250924,153500,20.6,20.6,20.6,20.6,1250,0
INTSGOG85589.PL,5,20251013,123000,24.45,24.45,24.45,24.45,46,0
INTSGOG85589.PL,5,20251017,092500,21.7,21.7,21.7,21.7,46,0
INTSGOG85589.PL,5,20251030,101500,4.09,4.09,4.09,4.09,1250,0
INTSGOG85589.PL,5,20251030,103500,4.51,4.51,4.51,4.51,2701,0
INTSGOG85589.PL,5,20251030,110500,5.08,5.08,5.08,5.08,2701,0
INTSGOG85589.PL,5,20251030,130000,3.16,3.16,3.16,3.16,1600,0
INTSGOG85589.PL,5,20251030,133000,3.79,3.79,3.79,3.79,60,0
INTSGOG85589.PL,5,20251030,135500,4.32,4.32,4.32,4.32,60,0
INTSGOG85589.PL,5,20251030,140500,4.24,4.24,4.24,4.24,2850,0
