<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTSNAG84780.PL,5,20250807,161000,2.27,2.27,2.27,2.27,500,0
INTSNAG84780.PL,5,20250808,131500,2.32,2.32,2.32,2.32,500,0
INTSNAG84780.PL,5,20250813,091500,3.17,3.17,3.17,3.17,30,0
INTSNAG84780.PL,5,20250828,100500,3.34,3.34,3.34,3.34,30,0
INTSNAG84780.PL,5,20250908,141500,2.41,2.41,2.41,2.41,1211,0
INTSNAG84780.PL,5,20250908,142000,2.4,2.4,2.36,2.36,10320,0
INTSNAG84780.PL,5,20250908,144000,2.36,2.36,2.36,2.36,5698,0
INTSNAG84780.PL,5,20250908,150500,2.26,2.26,2.23,2.23,12972,0
INTSNAG84780.PL,5,20250908,163500,2.38,2.38,2.38,2.38,4817,0
INTSNAG84780.PL,5,20250909,093500,2.34,2.34,2.34,2.34,2713,0
INTSNAG84780.PL,5,20250910,135000,2.61,2.63,2.61,2.63,16622,0
INTSNAG84780.PL,5,20250910,135500,2.64,2.64,2.64,2.64,21109,0
INTSNAG84780.PL,5,20250925,120500,3.3,3.3,3.3,3.3,604,0
INTSNAG84780.PL,5,20250926,161500,3.39,3.39,3.39,3.39,604,0
INTSNAG84780.PL,5,20251002,100000,2.31,2.31,2.31,2.31,300,0
INTSNAG84780.PL,5,20251002,144500,2.07,2.07,2.07,2.07,5000,0
INTSNAG84780.PL,5,20251002,161500,2.1,2.1,2.1,2.1,5000,0
INTSNAG84780.PL,5,20251003,091000,2.34,2.34,2.34,2.34,2500,0
INTSNAG84780.PL,5,20251006,091000,2.14,2.14,2.14,2.14,2500,0
INTSNAG84780.PL,5,20251006,093500,2.12,2.12,2.12,2.12,300,0
INTSNAG84780.PL,5,20251006,150000,2.35,2.35,2.35,2.35,400,0
INTSNAG84780.PL,5,20251006,163500,2.54,2.54,2.54,2.54,5000,0
INTSNAG84780.PL,5,20251008,091000,1.97,1.97,1.97,1.97,400,0
INTSNAG84780.PL,5,20251008,121500,2.09,2.09,2.09,2.09,5000,0
INTSNAG84780.PL,5,20251008,123500,2.03,2.03,2.03,2.03,2000,0
INTSNAG84780.PL,5,20251008,130000,1.96,1.96,1.96,1.96,2000,0
INTSNAG84780.PL,5,20251008,132500,1.97,1.97,1.93,1.93,26392,0
INTSNAG84780.PL,5,20251008,133000,1.93,1.93,1.93,1.93,39615,0
INTSNAG84780.PL,5,20251008,133500,1.9,1.9,1.9,1.9,9000,0
INTSNAG84780.PL,5,20251008,145500,2.2,2.22,2.2,2.22,66007,0
INTSNAG84780.PL,5,20251021,163500,2.66,2.66,2.66,2.66,1000,0
INTSNAG84780.PL,5,20251021,164000,2.65,2.65,2.65,2.65,1500,0
INTSNAG84780.PL,5,20251021,164500,2.7,2.72,2.7,2.71,6500,0
INTSNAG84780.PL,5,20251022,092500,2.61,2.61,2.61,2.61,1000,0
INTSNAG84780.PL,5,20251022,143000,2.42,2.42,2.42,2.42,4000,0
INTSNAG84780.PL,5,20251022,151000,2.4,2.4,2.4,2.4,250,0
INTSNAG84780.PL,5,20251022,153500,2.4,2.4,2.4,2.4,1000,0
INTSNAG84780.PL,5,20251022,164000,2.4,2.4,2.4,2.4,60,0
INTSNAG84780.PL,5,20251023,125500,2.48,2.48,2.48,2.48,1000,0
INTSNAG84780.PL,5,20251023,135000,2.37,2.37,2.37,2.37,8000,0
INTSNAG84780.PL,5,20251023,140500,2.3,2.3,2.3,2.3,40,0
INTSNAG84780.PL,5,20251023,162500,2.56,2.56,2.56,2.56,1250,0
INTSNAG84780.PL,5,20251023,164500,2.67,2.67,2.67,2.67,1000,0
INTSNAG84780.PL,5,20251024,100000,2.65,2.65,2.65,2.65,751,0
INTSNAG84780.PL,5,20251024,113500,2.68,2.68,2.68,2.68,2000,0
INTSNAG84780.PL,5,20251024,135500,2.73,2.73,2.73,2.73,7000,0
INTSNAG84780.PL,5,20251024,150500,2.63,2.63,2.63,2.63,2000,0
INTSNAG84780.PL,5,20251024,163000,2.92,2.92,2.92,2.92,100,0
INTSNAG84780.PL,5,20251027,091000,2.85,2.85,2.85,2.85,150,0
INTSNAG84780.PL,5,20251027,105500,2.95,2.95,2.95,2.95,100,0
INTSNAG84780.PL,5,20251027,110000,2.96,2.96,2.96,2.96,2001,0
INTSNAG84780.PL,5,20251027,121500,2.9,2.9,2.9,2.9,2000,0
INTSNAG84780.PL,5,20251027,123500,2.94,2.94,2.94,2.94,240,0
INTSNAG84780.PL,5,20251027,142000,2.76,2.76,2.76,2.76,4000,0
INTSNAG84780.PL,5,20251027,162500,2.6,2.6,2.6,2.6,120,0
INTSNAG84780.PL,5,20251027,163000,2.6,2.6,2.6,2.6,2000,0
INTSNAG84780.PL,5,20251028,091500,3.2,3.2,3.2,3.2,120,0
INTSNAG84780.PL,5,20251028,110000,3.16,3.16,3.16,3.16,240,0
INTSNAG84780.PL,5,20251031,125500,2.32,2.32,2.32,2.32,2001,0
INTSNAG84780.PL,5,20251031,132500,2.47,2.47,2.47,2.47,2000,0
INTSNAG84780.PL,5,20251031,133000,2.33,2.33,2.33,2.33,2001,0
INTSNAG84780.PL,5,20251031,143000,2.47,2.47,2.47,2.47,2001,0
INTSNAG84780.PL,5,20251103,101500,1.75,1.75,1.75,1.75,2322,0
INTSNAG84780.PL,5,20251103,102000,1.77,1.79,1.77,1.77,60581,0
INTSNAG84780.PL,5,20251103,102500,1.78,1.78,1.78,1.78,14398,0
