<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTSNDX86892.PL,5,20251016,111500,176,176,176,176,20,0
INTSNDX86892.PL,5,20251016,130000,174.8,174.8,174.8,174.8,10,0
INTSNDX86892.PL,5,20251017,091000,193.6,193.6,193.6,193.6,30,0
INTSNDX86892.PL,5,20251027,113000,144.8,144.8,144.8,144.8,4,0
INTSNDX86892.PL,5,20251028,091000,140.8,140.8,140.8,140.8,35,0
INTSNDX86892.PL,5,20251028,160500,136.8,136.8,136.8,136.8,29,0
INTSNDX86892.PL,5,20251028,161500,137.2,137.2,137.2,137.2,120,0
INTSNDX86892.PL,5,20251029,110500,130.6,130.6,130.6,130.6,15,0
INTSNDX86892.PL,5,20251029,111000,130.2,130.2,130.2,130.2,120,0
INTSNDX86892.PL,5,20251029,114500,130,130,130,130,130,0
INTSNDX86892.PL,5,20251029,123500,128.6,128.6,128.6,128.6,130,0
INTSNDX86892.PL,5,20251029,133500,130.2,130.2,130.2,130.2,50,0
INTSNDX86892.PL,5,20251029,154000,128.4,128.4,128.4,128.4,50,0
INTSNDX86892.PL,5,20251029,154500,129.6,129.6,129.6,129.6,50,0
INTSNDX86892.PL,5,20251029,155000,130.2,130.2,130.2,130.2,50,0
INTSNDX86892.PL,5,20251030,144500,140.6,140.6,140.6,140.6,28,0
INTSNDX86892.PL,5,20251030,154000,138,138,138,138,100,0
INTSNDX86892.PL,5,20251031,162500,136.2,136.2,136.2,136.2,117,0
INTSNDX86892.PL,5,20251103,103000,135.2,135.2,135.2,135.2,117,0
INTSNDX86892.PL,5,20251103,163000,140,140,140,140,35,0
INTSNDX86892.PL,5,20251104,091000,149.8,149.8,149.8,149.8,35,0
INTSNDX86892.PL,5,20251104,100000,149.4,149.4,149.4,149.4,40,0
INTSNDX86892.PL,5,20251104,112500,151.6,151.6,151.6,151.6,13,0
INTSNDX86892.PL,5,20251105,102500,159,159,159,159,54,0
INTSNDX86892.PL,5,20251106,094000,153.2,153.2,153.2,153.2,70,0
INTSNDX86892.PL,5,20251106,101000,150.8,150.8,150.8,150.8,70,0
INTSNDX86892.PL,5,20251106,152500,151.6,151.6,151.6,151.6,30,0
INTSNDX86892.PL,5,20251106,153000,153.6,153.6,153.6,153.6,62,0
INTSNDX86892.PL,5,20251106,163500,164,164,164,164,20,0
INTSNDX86892.PL,5,20251110,091500,158.2,158.2,158.2,158.2,20,0
INTSNDX86892.PL,5,20251110,093500,156.2,156.2,156.2,156.2,62,0
INTSNDX86892.PL,5,20251110,130500,156,156,156,156,20,0
INTSNDX86892.PL,5,20251112,114000,146.2,146.2,146.2,146.2,70,0
INTSNDX86892.PL,5,20251112,121500,146.2,146.2,146.2,146.2,60,0
INTSNDX86892.PL,5,20251119,112500,185.2,185.2,185.2,185.2,130,0
INTSNDX86892.PL,5,20251120,102500,170.8,170.8,170.8,170.8,100,0
INTSNDX86892.PL,5,20251120,115500,170,170,170,170,100,0
INTSNDX86892.PL,5,20251120,120000,171.4,171.4,171.4,171.4,100,0
INTSNDX86892.PL,5,20251120,134000,170.2,170.2,170.2,170.2,100,0
INTSNDX86892.PL,5,20251120,135500,169.2,169.2,169.2,169.2,108,0
INTSNDX86892.PL,5,20251121,094500,205,205,205,205,50,0
INTSNDX86892.PL,5,20251121,160500,205.5,205.5,205.5,205.5,60,0
INTSNDX86892.PL,5,20251124,110000,195.8,195.8,195.8,195.8,50,0
INTSNDX86892.PL,5,20251125,113000,179.4,179.4,179.4,179.4,40,0
INTSNDX86892.PL,5,20251125,131000,176.4,176.4,176.4,176.4,138,0
INTSNDX86892.PL,5,20251125,144000,178,178,178,178,140,0
INTSNDX86892.PL,5,20251126,153000,163.8,163.8,163.8,163.8,140,0
INTSNDX86892.PL,5,20251126,153500,165.6,165.6,165.6,165.6,140,0
INTSNDX86892.PL,5,20251126,154500,164,164,164,164,140,0
INTSNDX86892.PL,5,20251127,102000,162,162,162,162,140,0
INTSNDX86892.PL,5,20251127,110500,161.4,161.4,161.4,161.4,30,0
INTSNDX86892.PL,5,20251127,164000,161.6,161.6,161.6,161.6,140,0
INTSNDX86892.PL,5,20251201,091500,160.2,160.2,160.2,160.2,20,0
INTSNDX86892.PL,5,20251201,104000,161.8,161.8,161.8,161.8,140,0
INTSNDX86892.PL,5,20251201,114500,160.4,160.4,160.4,160.4,140,0
INTSNDX86892.PL,5,20251201,115500,161,161,161,161,140,0
INTSNDX86892.PL,5,20251202,153500,152.6,152.6,152.6,152.6,140,0
