<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTSPAL85282.PL,5,20250910,144500,4.89,4.89,4.89,4.89,20,0
INTSPAL85282.PL,5,20250910,164500,4.59,4.59,4.59,4.59,208,0
INTSPAL85282.PL,5,20250911,091500,5.21,5.21,5.21,5.21,208,0
INTSPAL85282.PL,5,20250911,140500,5.1,5.1,5.1,5.1,20,0
INTSPAL85282.PL,5,20250912,140000,3.43,3.43,3.43,3.43,872,0
INTSPAL85282.PL,5,20250912,141000,3.61,3.61,3.61,3.61,1,0
INTSPAL85282.PL,5,20250912,155500,3.45,3.45,3.45,3.45,400,0
INTSPAL85282.PL,5,20250912,160000,3.4,3.4,3.4,3.4,586,0
INTSPAL85282.PL,5,20250912,161000,3.05,3.05,3.05,3.05,325,0
INTSPAL85282.PL,5,20250912,161500,3.1,3.1,3.1,3.1,1000,0
INTSPAL85282.PL,5,20250912,162000,3.1,3.1,3.08,3.08,2000,0
INTSPAL85282.PL,5,20250912,162500,3.05,3.05,3.05,3.05,1000,0
INTSPAL85282.PL,5,20250912,163500,3.43,3.43,3.43,3.43,1,0
INTSPAL85282.PL,5,20250912,164500,3.63,3.63,3.63,3.63,1,0
INTSPAL85282.PL,5,20250915,100500,3.84,3.84,3.84,3.84,1,0
INTSPAL85282.PL,5,20250915,112500,4.07,4.07,4.07,4.07,1,0
INTSPAL85282.PL,5,20250915,141500,4.36,4.36,4.36,4.36,1,0
INTSPAL85282.PL,5,20250915,143500,4.5,4.5,4.5,4.5,2183,0
INTSPAL85282.PL,5,20250915,150500,4.68,4.68,4.68,4.68,400,0
INTSPAL85282.PL,5,20250915,151000,4.79,4.79,4.79,4.79,600,0
INTSPAL85282.PL,5,20250915,155500,5.01,5.01,5.01,5.01,1000,0
INTSPAL85282.PL,5,20250915,161500,5.16,5.16,5.16,5.16,400,0
INTSPAL85282.PL,5,20250917,090500,5.51,5.51,5.51,5.51,600,0
INTSPAL85282.PL,5,20250917,101500,5.95,5.95,5.95,5.95,400,0
INTSPAL85282.PL,5,20250917,114000,6.05,6.05,6.05,6.05,500,0
INTSPAL85282.PL,5,20250919,091500,6.08,6.08,6.08,6.08,90,0
INTSPAL85282.PL,5,20250922,154500,5.02,5.02,5.02,5.02,600,0
INTSPAL85282.PL,5,20250922,161500,4.87,5,4.87,5,600,0
INTSPAL85282.PL,5,20250924,091000,3.24,3.24,3.24,3.24,615,0
INTSPAL85282.PL,5,20250925,102000,3.16,3.16,3.16,3.16,400,0
INTSPAL85282.PL,5,20250925,141500,2.65,2.65,2.65,2.65,2749,0
INTSPAL85282.PL,5,20250925,163500,2.43,2.43,2.43,2.43,573,0
INTSPAL85282.PL,5,20250925,164500,2.38,2.38,2.38,2.38,1000,0
INTSPAL85282.PL,5,20250926,090500,2.09,2.09,2.09,2.09,1131,0
INTSPAL85282.PL,5,20250926,091000,1.97,1.97,1.97,1.97,573,0
INTSPAL85282.PL,5,20250926,103000,2.4,2.4,2.4,2.4,200,0
