<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTSPKO82560.PL,5,20250708,124000,8.89,8.89,8.89,8.89,100,0
INTSPKO82560.PL,5,20250711,094500,9.35,9.45,9.35,9.45,351,0
INTSPKO82560.PL,5,20250711,140500,9.41,9.41,9.41,9.41,141,0
INTSPKO82560.PL,5,20250716,093500,9.17,9.17,9.17,9.17,200,0
INTSPKO82560.PL,5,20250716,095000,9.11,9.11,9.11,9.11,10,0
INTSPKO82560.PL,5,20250716,155000,8.41,8.41,8.41,8.41,100,0
INTSPKO82560.PL,5,20250716,160000,8.21,8.21,8.21,8.21,100,0
INTSPKO82560.PL,5,20250717,092000,7.59,7.59,7.59,7.59,400,0
INTSPKO82560.PL,5,20250717,093500,7.59,7.59,7.59,7.59,430,0
INTSPKO82560.PL,5,20250717,131500,7.77,7.77,7.77,7.77,280,0
INTSPKO82560.PL,5,20250717,150000,6.85,6.85,6.85,6.85,150,0
INTSPKO82560.PL,5,20250717,151500,7.01,7.01,6.99,6.99,1230,0
