<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTSSLV85779.PL,5,20250922,095000,37.45,37.45,37.45,37.45,26,0
INTSSLV85779.PL,5,20250925,101000,33.2,33.2,33.2,33.2,53,0
INTSSLV85779.PL,5,20250925,160000,34.75,34.75,34.75,34.75,53,0
INTSSLV85779.PL,5,20250926,152000,30.75,30.75,30.75,30.75,110,0
INTSSLV85779.PL,5,20250926,154000,31.2,31.2,31.2,31.2,200,0
INTSSLV85779.PL,5,20250926,155000,30.6,30.6,30.6,30.6,30,0
INTSSLV85779.PL,5,20250926,155500,30.6,30.6,30.6,30.6,30,0
INTSSLV85779.PL,5,20250926,160500,30.5,30.5,30.5,30.5,150,0
INTSSLV85779.PL,5,20250926,162000,30.1,30.1,30,30,100,0
INTSSLV85779.PL,5,20250926,163500,29.9,29.9,29.9,29.9,30,0
INTSSLV85779.PL,5,20250929,123000,25.35,25.35,25.35,25.35,100,0
INTSSLV85779.PL,5,20250929,163000,25.5,25.5,25.45,25.45,135,0
INTSSLV85779.PL,5,20250930,111500,28.4,28.55,28.4,28.55,190,0
INTSSLV85779.PL,5,20250930,160000,28.1,28.1,28.1,28.1,100,0
INTSSLV85779.PL,5,20250930,164500,25.95,25.95,25.95,25.95,100,0
INTSSLV85779.PL,5,20251001,092500,24.7,24.7,24.7,24.7,100,0
INTSSLV85779.PL,5,20251001,093000,24.5,24.5,24.5,24.5,100,0
INTSSLV85779.PL,5,20251001,100000,23.8,23.8,23.8,23.8,100,0
INTSSLV85779.PL,5,20251001,103000,23.85,23.85,23.85,23.85,150,0
INTSSLV85779.PL,5,20251001,153000,23,23,23,23,200,0
INTSSLV85779.PL,5,20251001,154500,22.55,22.55,22.55,22.55,70,0
INTSSLV85779.PL,5,20251001,160500,22.6,22.6,22.6,22.6,70,0
INTSSLV85779.PL,5,20251001,161500,22.5,22.5,22.5,22.5,60,0
INTSSLV85779.PL,5,20251001,163000,22.35,22.35,22.15,22.15,557,0
INTSSLV85779.PL,5,20251001,163500,22.2,22.2,22.2,22.2,500,0
INTSSLV85779.PL,5,20251002,111500,23.2,23.2,23.2,23.2,100,0
INTSSLV85779.PL,5,20251002,132000,23.2,23.2,23.2,23.2,500,0
INTSSLV85779.PL,5,20251002,140500,22.45,22.45,22.45,22.45,50,0
INTSSLV85779.PL,5,20251002,144000,22,22,22,22,500,0
INTSSLV85779.PL,5,20251002,151000,21.6,21.6,21.6,21.6,300,0
INTSSLV85779.PL,5,20251002,151500,21.45,21.45,21.45,21.45,100,0
INTSSLV85779.PL,5,20251002,152500,21.45,21.45,21.45,21.45,100,0
INTSSLV85779.PL,5,20251002,154000,23.05,23.05,23.05,23.05,100,0
INTSSLV85779.PL,5,20251002,161000,23.8,23.8,23.8,23.8,500,0
INTSSLV85779.PL,5,20251002,161500,24.4,24.5,24.4,24.5,920,0
INTSSLV85779.PL,5,20251003,143500,22.6,22.6,22.6,22.6,500,0
INTSSLV85779.PL,5,20251003,145500,22,22,22,22,100,0
INTSSLV85779.PL,5,20251003,162500,22.65,22.65,22.65,22.65,50,0
INTSSLV85779.PL,5,20251003,164000,22.35,22.35,22.35,22.35,50,0
INTSSLV85779.PL,5,20251006,091500,19,19,19,19,80,0
INTSSLV85779.PL,5,20251006,094000,18.98,18.98,18.98,18.98,500,0
INTSSLV85779.PL,5,20251006,102000,19.1,19.1,19.1,19.1,50,0
INTSSLV85779.PL,5,20251006,163500,19.04,19.04,19.04,19.04,90,0
INTSSLV85779.PL,5,20251006,164000,18.98,18.98,18.98,18.98,60,0
INTSSLV85779.PL,5,20251007,091000,20.65,20.65,20.65,20.65,50,0
INTSSLV85779.PL,5,20251007,091500,21.35,21.35,21.35,21.35,80,0
INTSSLV85779.PL,5,20251007,093000,21.1,21.1,20.75,20.75,615,0
INTSSLV85779.PL,5,20251007,093500,20.7,20.7,20.7,20.7,200,0
INTSSLV85779.PL,5,20251007,111500,20.2,20.2,20.2,20.2,300,0
INTSSLV85779.PL,5,20251007,142000,19.86,19.86,19.86,19.86,457,0
INTSSLV85779.PL,5,20251007,144000,19.9,19.9,19.9,19.9,10,0
INTSSLV85779.PL,5,20251008,091500,19.22,19.22,19.22,19.22,75,0
INTSSLV85779.PL,5,20251008,100500,18.76,18.76,18.76,18.76,100,0
INTSSLV85779.PL,5,20251008,114500,18.06,18.06,18.06,18.06,300,0
INTSSLV85779.PL,5,20251008,133500,18.6,18.6,18.6,18.6,120,0
INTSSLV85779.PL,5,20251008,141000,17.72,17.72,17.72,17.72,150,0
INTSSLV85779.PL,5,20251008,142500,18.5,18.5,18.5,18.5,115,0
INTSSLV85779.PL,5,20251008,163000,17.72,17.72,17.72,17.72,109,0
INTSSLV85779.PL,5,20251009,090500,17.72,17.72,17.72,17.72,200,0
INTSSLV85779.PL,5,20251009,121000,15.64,15.64,15.64,15.64,35,0
INTSSLV85779.PL,5,20251009,141500,15,15,15,15,100,0
INTSSLV85779.PL,5,20251009,143000,14.6,14.6,14.6,14.6,1000,0
INTSSLV85779.PL,5,20251009,144500,14.32,14.32,14.32,14.32,1000,0
INTSSLV85779.PL,5,20251009,145000,12.9,12.9,12.9,12.9,115,0
INTSSLV85779.PL,5,20251009,145500,11.98,11.98,11.98,11.98,82,0
INTSSLV85779.PL,5,20251009,150000,11.2,11.2,11,11,2086,0
INTSSLV85779.PL,5,20251009,150500,10.62,10.62,10.28,10.28,2569,0
