<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTSSPX70359.PL,5,20250707,095000,25.4,25.4,25.4,25.4,87,0
INTSSPX70359.PL,5,20250707,154500,25.2,25.2,25.2,25.2,876,0
INTSSPX70359.PL,5,20250711,090500,25.1,25.1,25.1,25.1,24,0
INTSSPX70359.PL,5,20250711,102000,25.7,25.7,25.7,25.7,27,0
INTSSPX70359.PL,5,20250715,093500,24.15,24.15,24.15,24.15,61,0
INTSSPX70359.PL,5,20250715,133000,23.9,23.9,23.9,23.9,15,0
INTSSPX70359.PL,5,20250715,145000,23.9,23.9,23.9,23.9,30,0
INTSSPX70359.PL,5,20250715,161000,24.55,24.55,24.55,24.55,20,0
INTSSPX70359.PL,5,20250716,102000,26.2,26.2,26.2,26.2,62,0
INTSSPX70359.PL,5,20250716,164500,25.7,25.7,25.7,25.7,40,0
INTSSPX70359.PL,5,20250717,155500,24.65,24.65,24.65,24.65,66,0
INTSSPX70359.PL,5,20250717,162500,24.9,24.9,24.9,24.9,20,0
INTSSPX70359.PL,5,20250718,091500,23.4,23.4,23.4,23.4,90,0
INTSSPX70359.PL,5,20250718,100000,23.45,23.45,23.45,23.45,15,0
INTSSPX70359.PL,5,20250721,135500,23.25,23.25,23.25,23.25,250,0
INTSSPX70359.PL,5,20250721,143500,23.2,23.2,23.2,23.2,500,0
INTSSPX70359.PL,5,20250721,153500,23.15,23.15,23.15,23.15,250,0
INTSSPX70359.PL,5,20250722,111000,23.6,23.6,23.6,23.6,100,0
INTSSPX70359.PL,5,20250722,122500,23.6,23.6,23.6,23.6,76,0
INTSSPX70359.PL,5,20250722,155000,24.25,24.25,24.25,24.25,100,0
INTSSPX70359.PL,5,20250722,163500,23.6,23.6,23.6,23.6,100,0
INTSSPX70359.PL,5,20250723,093000,22.6,22.6,22.6,22.6,100,0
INTSSPX70359.PL,5,20250723,154500,22.8,22.8,22.8,22.8,50,0
INTSSPX70359.PL,5,20250723,163000,22.7,22.7,22.7,22.7,7,0
INTSSPX70359.PL,5,20250723,163500,22.8,22.8,22.8,22.8,160,0
INTSSPX70359.PL,5,20250724,091500,21.3,21.3,21.3,21.3,160,0
INTSSPX70359.PL,5,20250724,092000,21.35,21.35,21.35,21.35,57,0
INTSSPX70359.PL,5,20250724,095500,21.35,21.35,21.35,21.35,100,0
INTSSPX70359.PL,5,20250724,101000,21.25,21.25,21.25,21.25,300,0
INTSSPX70359.PL,5,20250724,142000,21.15,21.15,21.15,21.15,380,0
INTSSPX70359.PL,5,20250724,153000,21.05,21.05,21.05,21.05,300,0
INTSSPX70359.PL,5,20250724,154500,20.9,20.9,20.9,20.9,380,0
INTSSPX70359.PL,5,20250724,164000,20.9,20.9,20.9,20.9,150,0
INTSSPX70359.PL,5,20250725,105500,21,21,21,21,20,0
INTSSPX70359.PL,5,20250725,124500,20.9,20.9,20.9,20.9,152,0
INTSSPX70359.PL,5,20250725,134000,21.05,21.05,21.05,21.05,20,0
INTSSPX70359.PL,5,20250725,141500,21.05,21.05,21.05,21.05,10,0
INTSSPX70359.PL,5,20250725,142000,21,21,21,21,10,0
INTSSPX70359.PL,5,20250728,091500,19.44,19.44,19.42,19.42,30,0
INTSSPX70359.PL,5,20250728,092000,19.4,19.4,19.4,19.4,152,0
INTSSPX70359.PL,5,20250728,104500,19.66,19.66,19.66,19.66,100,0
INTSSPX70359.PL,5,20250729,160500,20.6,20.6,20.6,20.6,17,0
INTSSPX70359.PL,5,20250730,114000,21.2,21.2,21.2,21.2,100,0
INTSSPX70359.PL,5,20250730,150000,21.3,21.3,21.3,21.3,100,0
INTSSPX70359.PL,5,20250731,090500,19.68,19.68,19.68,19.68,150,0
INTSSPX70359.PL,5,20250731,093000,19.4,19.4,19.4,19.4,370,0
INTSSPX70359.PL,5,20250731,094000,19.3,19.3,19.3,19.3,530,0
INTSSPX70359.PL,5,20250731,094500,19.18,19.18,19.18,19.18,415,0
INTSSPX70359.PL,5,20250731,095000,19.24,19.24,19.24,19.24,200,0
INTSSPX70359.PL,5,20250731,095500,19.2,19.2,19.2,19.2,250,0
INTSSPX70359.PL,5,20250731,101500,19.36,19.36,19.36,19.36,5,0
INTSSPX70359.PL,5,20250731,112500,19.44,19.44,19.44,19.44,15,0
INTSSPX70359.PL,5,20250731,132500,19.8,19.8,19.8,19.8,30,0
INTSSPX70359.PL,5,20250731,155000,20.4,20.4,20.4,20.4,341,0
INTSSPX70359.PL,5,20250801,090500,23.75,23.85,23.75,23.85,1091,0
INTSSPX70359.PL,5,20250801,091500,24,24,24,24,300,0
INTSSPX70359.PL,5,20250801,094000,24.75,24.75,24.75,24.75,450,0
INTSSPX70359.PL,5,20250801,095000,24.9,24.9,24.75,24.75,365,0
INTSSPX70359.PL,5,20250801,103500,25.15,25.3,25.15,25.3,500,0
INTSSPX70359.PL,5,20250801,105500,25,25,24.95,24.95,326,0
INTSSPX70359.PL,5,20250801,134500,25,25,25,25,750,0
INTSSPX70359.PL,5,20250801,135000,25,25,25,25,500,0
INTSSPX70359.PL,5,20250801,154000,26.2,26.2,26.2,26.2,209,0
INTSSPX70359.PL,5,20250801,162500,25.8,25.8,25.8,25.8,100,0
INTSSPX70359.PL,5,20250804,090500,25.4,25.4,25.4,25.4,17,0
INTSSPX70359.PL,5,20250804,093500,25.05,25.05,25.05,25.05,320,0
INTSSPX70359.PL,5,20250804,160500,23.65,23.65,23.65,23.65,12,0
INTSSPX70359.PL,5,20250804,162000,23.6,23.6,23.6,23.6,220,0
INTSSPX70359.PL,5,20250805,092500,22.5,22.5,22.5,22.5,12,0
INTSSPX70359.PL,5,20250805,162000,23.55,23.55,23.55,23.55,500,0
INTSSPX70359.PL,5,20250805,163000,23.45,23.7,23.45,23.7,1050,0
INTSSPX70359.PL,5,20250805,164000,24.05,24.05,24.05,24.05,550,0
INTSSPX70359.PL,5,20250806,103500,23.2,23.2,23.2,23.2,40,0
INTSSPX70359.PL,5,20250806,125500,23.5,23.5,23.5,23.5,85,0
INTSSPX70359.PL,5,20250806,135000,23.45,23.45,23.45,23.45,70,0
INTSSPX70359.PL,5,20250807,090500,21.6,21.6,21.5,21.5,133,0
INTSSPX70359.PL,5,20250807,095000,21.3,21.3,21.3,21.3,150,0
INTSSPX70359.PL,5,20250807,113500,20.6,20.6,20.6,20.6,5,0
