<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTSTNF79202.PL,5,20250707,143000,33.15,33.15,33.15,33.15,8,0
INTSTNF79202.PL,5,20250709,134000,35.95,35.95,35.95,35.95,6,0
INTSTNF79202.PL,5,20250710,094000,32.4,32.4,32.4,32.4,10,0
INTSTNF79202.PL,5,20250710,100500,32.15,32.15,32.15,32.15,2,0
INTSTNF79202.PL,5,20250710,143500,32,32,32,32,18,0
INTSTNF79202.PL,5,20250903,121500,33.2,33.2,33.2,33.2,30,0
INTSTNF79202.PL,5,20250903,125000,33.1,33.1,33.1,33.1,3,0
INTSTNF79202.PL,5,20250903,163500,28.65,28.65,28.65,28.65,16,0
INTSTNF79202.PL,5,20250904,093000,28.1,28.1,28.1,28.1,17,0
INTSTNF79202.PL,5,20250908,152000,19.12,19.12,19.02,19.02,500,0
INTSTNF79202.PL,5,20250912,144500,18.06,18.06,18.06,18.06,250,0
INTSTNF79202.PL,5,20250912,150500,18.02,18.02,18.02,18.02,536,0
INTSTNF79202.PL,5,20250912,163000,18.38,18.38,18.38,18.38,250,0
INTSTNF79202.PL,5,20250917,132500,14.06,14.06,14.06,14.06,536,0
INTSTNF79202.PL,5,20250918,141000,17.06,17.06,17.06,17.06,14,0
INTSTNF79202.PL,5,20250918,141500,17.06,17.06,16.94,16.94,13,0
INTSTNF79202.PL,5,20250918,143500,17.88,17.88,17.88,17.88,13,0
INTSTNF79202.PL,5,20250918,144000,17.86,17.86,17.86,17.86,5,0
INTSTNF79202.PL,5,20250918,150000,19.36,19.36,19.36,19.36,15,0
INTSTNF79202.PL,5,20250918,161000,19.84,19.84,19.84,19.84,30,0
INTSTNF79202.PL,5,20250918,164000,20.4,20.4,20.4,20.4,10,0
INTSTNF79202.PL,5,20250919,094000,20.95,20.95,20.95,20.95,33,0
INTSTNF79202.PL,5,20250922,102500,20.3,20.3,20.3,20.3,103,0
INTSTNF79202.PL,5,20250922,123500,20.7,20.7,20.7,20.7,30,0
INTSTNF79202.PL,5,20251003,091000,17.9,17.9,17.9,17.9,500,0
INTSTNF79202.PL,5,20251006,090500,20.55,20.55,20.55,20.55,500,0
INTSTNF79202.PL,5,20251006,163500,19.74,19.74,19.74,19.74,20,0
INTSTNF79202.PL,5,20251006,164000,19.74,19.74,19.74,19.74,5,0
INTSTNF79202.PL,5,20251007,091500,21.1,21.1,21.1,21.1,29,0
INTSTNF79202.PL,5,20251007,144000,21.1,21.1,20.8,20.8,24,0
INTSTNF79202.PL,5,20251008,091500,18.12,18.12,18.12,18.12,60,0
INTSTNF79202.PL,5,20251008,094000,18.18,18.18,18.18,18.18,500,0
INTSTNF79202.PL,5,20251010,143000,16.8,16.8,16.68,16.68,120,0
INTSTNF79202.PL,5,20251010,143500,16.68,16.68,16.68,16.68,29,0
INTSTNF79202.PL,5,20251017,090500,9.51,9.51,9.51,9.51,500,0
INTSTNF79202.PL,5,20251021,150500,9.6,9.6,9.6,9.6,149,0
