<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTSTSL84343.PL,5,20250716,101500,24.5,24.5,24.5,24.5,1219,0
INTSTSL84343.PL,5,20250716,163000,20.95,20.95,20.95,20.95,30,0
INTSTSL84343.PL,5,20250717,133500,19.88,19.88,19.88,19.88,40,0
INTSTSL84343.PL,5,20250717,154500,20.1,20.1,20.1,20.1,30,0
INTSTSL84343.PL,5,20250718,145500,20.1,20.1,20.1,20.1,20,0
INTSTSL84343.PL,5,20250718,153000,18.66,18.66,18.66,18.66,40,0
INTSTSL84343.PL,5,20250721,095500,15.56,15.56,15.56,15.56,60,0
INTSTSL84343.PL,5,20250721,154500,16.66,16.66,16.66,16.66,61,0
INTSTSL84343.PL,5,20250721,155500,17.1,17.22,17.1,17.22,1159,0
INTSTSL84343.PL,5,20250722,140500,16.98,16.98,16.98,16.98,350,0
INTSTSL84343.PL,5,20250724,090500,23.6,23.6,23.6,23.6,100,0
INTSTSL84343.PL,5,20250724,145000,23.85,23.85,23.8,23.8,2589,0
INTSTSL84343.PL,5,20250725,103000,26.2,26.2,26.2,26.2,60,0
INTSTSL84343.PL,5,20250725,151500,25.1,25.1,25.1,25.1,40,0
INTSTSL84343.PL,5,20250725,153000,23.75,23.75,23.75,23.75,20,0
INTSTSL84343.PL,5,20250725,164500,22.75,22.75,22.75,22.75,20,0
INTSTSL84343.PL,5,20250728,091000,20.35,20.35,20.35,20.35,20,0
INTSTSL84343.PL,5,20250728,144500,20.3,20.3,20.3,20.3,20,0
INTSTSL84343.PL,5,20250728,153500,21.55,21.55,21.55,21.55,30,0
INTSTSL84343.PL,5,20250728,154500,20.85,20.85,20.85,20.85,70,0
INTSTSL84343.PL,5,20250728,155000,19.94,19.94,19.94,19.94,20,0
INTSTSL84343.PL,5,20250728,161500,18.94,18.94,18.94,18.94,40,0
INTSTSL84343.PL,5,20250728,163500,19,19,18.68,18.68,120,0
INTSTSL84343.PL,5,20250729,101000,18.18,18.18,18.18,18.18,60,0
INTSTSL84343.PL,5,20250729,102000,18.16,18.16,18.16,18.16,20,0
INTSTSL84343.PL,5,20250729,134000,19,19,19,19,350,0
INTSTSL84343.PL,5,20250729,153000,19.86,19.86,19.86,19.86,60,0
INTSTSL84343.PL,5,20250729,154000,20.7,20.7,20.7,20.7,160,0
INTSTSL84343.PL,5,20250729,154500,20.6,20.6,20.6,20.6,1450,0
INTSTSL84343.PL,5,20250729,161500,21.2,21.2,21.2,21.2,1450,0
INTSTSL84343.PL,5,20250729,163500,20.85,20.85,20.85,20.85,288,0
INTSTSL84343.PL,5,20250730,092000,20.4,20.4,20.4,20.4,50,0
INTSTSL84343.PL,5,20250730,162500,20.15,20.15,20.15,20.15,20,0
INTSTSL84343.PL,5,20250730,163500,20.3,20.3,20.3,20.3,100,0
INTSTSL84343.PL,5,20250731,145000,21.2,21.2,21.2,21.2,238,0
INTSTSL84343.PL,5,20250731,155500,21.95,21.95,21.95,21.95,150,0
INTSTSL84343.PL,5,20250801,091000,26.1,26.1,26.1,26.1,100,0
INTSTSL84343.PL,5,20250801,125000,27.15,27.15,27.15,27.15,30,0
INTSTSL84343.PL,5,20250801,144000,25.95,25.95,25.95,25.95,70,0
INTSTSL84343.PL,5,20250801,154500,27.2,27.2,27.2,27.2,100,0
INTSTSL84343.PL,5,20250804,123500,24.95,24.95,24.95,24.95,20,0
INTSTSL84343.PL,5,20250805,121500,24.25,24.25,24.25,24.25,20,0
INTSTSL84343.PL,5,20250805,164500,26.15,26.15,26.15,26.15,30,0
INTSTSL84343.PL,5,20250806,164000,21.75,21.75,21.75,21.75,35,0
INTSTSL84343.PL,5,20250807,113000,20.05,20.05,20.05,20.05,20,0
INTSTSL84343.PL,5,20250807,115000,20.1,20.1,20.1,20.1,247,0
INTSTSL84343.PL,5,20250807,162000,20.8,20.8,20.8,20.8,20,0
INTSTSL84343.PL,5,20250807,164500,21.1,21.1,21.1,21.1,15,0
INTSTSL84343.PL,5,20250808,110000,20.55,20.55,20.55,20.55,20,0
INTSTSL84343.PL,5,20250808,151000,20.45,20.45,20.45,20.45,100,0
