<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTSXTB84350.PL,5,20250722,092000,1.8,1.8,1.8,1.8,2766,0
INTSXTB84350.PL,5,20250722,140000,1.88,1.88,1.88,1.88,1234,0
INTSXTB84350.PL,5,20250724,110500,1.73,1.73,1.73,1.73,1000,0
INTSXTB84350.PL,5,20250724,132000,1.68,1.68,1.68,1.68,5000,0
INTSXTB84350.PL,5,20250731,134500,1.46,1.46,1.46,1.46,5000,0
INTSXTB84350.PL,5,20250801,103500,1.98,1.98,1.97,1.97,35000,0
INTSXTB84350.PL,5,20250801,104000,1.97,1.97,1.97,1.97,3465,0
INTSXTB84350.PL,5,20250801,113000,1.95,1.95,1.95,1.95,1000,0
INTSXTB84350.PL,5,20250801,114500,1.93,1.93,1.93,1.93,1150,0
INTSXTB84350.PL,5,20250801,115500,1.93,1.93,1.93,1.93,7464,0
INTSXTB84350.PL,5,20250801,123500,1.91,1.91,1.91,1.91,12500,0
INTSXTB84350.PL,5,20250801,125000,1.94,1.94,1.94,1.94,12500,0
INTSXTB84350.PL,5,20250801,132000,1.92,1.92,1.92,1.92,571,0
INTSXTB84350.PL,5,20250801,135000,1.97,1.97,1.97,1.97,18500,0
INTSXTB84350.PL,5,20250804,090500,1.96,1.96,1.96,1.96,1614,0
INTSXTB84350.PL,5,20250804,104500,1.91,1.91,1.91,1.91,602,0
INTSXTB84350.PL,5,20250804,115500,1.85,1.85,1.85,1.85,634,0
INTSXTB84350.PL,5,20250804,164000,1.73,1.73,1.73,1.73,6000,0
INTSXTB84350.PL,5,20250805,123500,1.57,1.57,1.57,1.57,12500,0
INTSXTB84350.PL,5,20250805,124000,1.58,1.58,1.58,1.58,3130,0
INTSXTB84350.PL,5,20250805,124500,1.58,1.58,1.58,1.58,12500,0
INTSXTB84350.PL,5,20250805,125000,1.57,1.57,1.57,1.57,12500,0
INTSXTB84350.PL,5,20250805,130000,1.58,1.58,1.58,1.58,12500,0
INTSXTB84350.PL,5,20250805,130500,1.58,1.58,1.58,1.58,12500,0
INTSXTB84350.PL,5,20250805,132000,1.58,1.58,1.58,1.58,12500,0
INTSXTB84350.PL,5,20250805,132500,1.57,1.57,1.57,1.57,12500,0
INTSXTB84350.PL,5,20250805,133000,1.57,1.57,1.57,1.57,2500,0
INTSXTB84350.PL,5,20250806,140500,1.43,1.43,1.43,1.43,2850,0
INTSXTB84350.PL,5,20250807,102500,1.34,1.34,1.34,1.34,1260,0
INTSXTB84350.PL,5,20250811,115000,1.31,1.31,1.31,1.31,1100,0
INTSXTB84350.PL,5,20250813,094000,1.23,1.23,1.23,1.23,1100,0
INTSXTB84350.PL,5,20250814,101000,1.42,1.42,1.42,1.42,3500,0
INTSXTB84350.PL,5,20250814,155000,1.43,1.43,1.43,1.43,3500,0
INTSXTB84350.PL,5,20250814,155500,1.41,1.41,1.41,1.41,3600,0
INTSXTB84350.PL,5,20250814,160000,1.4,1.4,1.4,1.4,3600,0
INTSXTB84350.PL,5,20250814,160500,1.37,1.37,1.37,1.37,3600,0
INTSXTB84350.PL,5,20250814,161000,1.35,1.35,1.35,1.35,3700,0
INTSXTB84350.PL,5,20250814,163000,1.33,1.33,1.33,1.33,3800,0
INTSXTB84350.PL,5,20250827,151500,1.39,1.39,1.39,1.39,70,0
INTSXTB84350.PL,5,20250827,161000,1.34,1.34,1.34,1.34,3130,0
INTSXTB84350.PL,5,20250829,163500,1.28,1.28,1.28,1.28,70,0
INTSXTB84350.PL,5,20250902,100000,1.42,1.42,1.42,1.42,25,0
INTSXTB84350.PL,5,20250912,152000,1.4,1.4,1.4,1.4,1260,0
INTSXTB84350.PL,5,20250918,094500,1.76,1.76,1.76,1.76,110,0
INTSXTB84350.PL,5,20250919,111000,1.66,1.66,1.66,1.66,800,0
INTSXTB84350.PL,5,20250922,101500,1.8,1.8,1.8,1.8,700,0
INTSXTB84350.PL,5,20251003,143000,1.91,1.91,1.91,1.91,110,0
INTSXTB84350.PL,5,20251003,144000,1.9,1.9,1.9,1.9,1500,0
INTSXTB84350.PL,5,20251006,164500,2.1,2.1,2.1,2.1,2380,0
INTSXTB84350.PL,5,20251007,092500,2.2,2.2,2.2,2.2,2272,0
INTSXTB84350.PL,5,20251007,094000,2.26,2.26,2.26,2.26,1110,0
INTSXTB84350.PL,5,20251007,101500,2.1,2.1,2.1,2.1,400,0
INTSXTB84350.PL,5,20251008,153000,2.26,2.26,2.26,2.26,400,0
INTSXTB84350.PL,5,20251008,162000,2.3,2.3,2.3,2.3,2174,0
INTSXTB84350.PL,5,20251010,144500,2.23,2.23,2.23,2.23,1150,0
INTSXTB84350.PL,5,20251017,105000,2.35,2.35,2.35,2.35,2128,0
INTSXTB84350.PL,5,20251017,110500,2.33,2.33,2.33,2.33,25,0
INTSXTB84350.PL,5,20251021,092500,2,2,2,2,1110,0
INTSXTB84350.PL,5,20251024,120500,2.23,2.23,2.23,2.23,2242,0
INTSXTB84350.PL,5,20251024,121500,2.22,2.22,2.22,2.22,2242,0
INTSXTB84350.PL,5,20251029,090500,2.51,2.51,2.4,2.41,4300,0
INTSXTB84350.PL,5,20251029,091500,2.3,2.3,2.3,2.3,500,0
INTSXTB84350.PL,5,20251029,092500,2.29,2.29,2.29,2.29,2000,0
INTSXTB84350.PL,5,20251029,095000,2.54,2.56,2.54,2.56,5900,0
INTSXTB84350.PL,5,20251029,142000,2.46,2.46,2.46,2.46,7165,0
INTSXTB84350.PL,5,20251029,144000,2.47,2.47,2.47,2.47,461,0
INTSXTB84350.PL,5,20251029,144500,2.46,2.46,2.46,2.46,2024,0
INTSXTB84350.PL,5,20251029,164000,2.44,2.44,2.44,2.44,2000,0
INTSXTB84350.PL,5,20251030,091500,2.24,2.24,2.24,2.24,12000,0
INTSXTB84350.PL,5,20251030,092500,2.22,2.22,2.22,2.22,2000,0
INTSXTB84350.PL,5,20251030,100500,2.17,2.17,2.17,2.17,8000,0
INTSXTB84350.PL,5,20251030,160000,2.19,2.19,2.19,2.19,7165,0
INTSXTB84350.PL,5,20251031,090500,2.25,2.25,2.25,2.25,20000,0
INTSXTB84350.PL,5,20251031,163500,2.07,2.07,2.07,2.07,461,0
INTSXTB84350.PL,5,20251031,164500,2.07,2.07,2.07,2.07,2000,0
INTSXTB84350.PL,5,20251104,124500,2,2,2,2,900,0
INTSXTB84350.PL,5,20251105,091000,1.85,1.85,1.85,1.85,5493,0
INTSXTB84350.PL,5,20251105,093000,1.78,1.78,1.78,1.78,40,0
