<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RBIFL10DAX.PL,5,20250926,163000,5.16,5.16,5.16,5.16,2000,0
RBIFL10DAX.PL,5,20250930,094000,4.95,4.95,4.95,4.95,2000,0
RBIFL10DAX.PL,5,20251001,112000,5.56,5.56,5.56,5.56,2000,0
RBIFL10DAX.PL,5,20251001,122000,5.77,5.77,5.77,5.77,1800,0
RBIFL10DAX.PL,5,20251002,164000,6.57,6.57,6.57,6.57,1600,0
RBIFL10DAX.PL,5,20251003,091000,6.75,6.75,6.75,6.75,800,0
RBIFL10DAX.PL,5,20251006,133000,6.8,6.8,6.8,6.8,1600,0
RBIFL10DAX.PL,5,20251006,161500,6.7,6.7,6.7,6.7,1600,0
RBIFL10DAX.PL,5,20251007,092500,6.58,6.58,6.58,6.58,1600,0
RBIFL10DAX.PL,5,20251008,094500,6.56,6.56,6.56,6.56,1600,0
RBIFL10DAX.PL,5,20251008,113500,6.92,6.92,6.92,6.92,1600,0
RBIFL10DAX.PL,5,20251008,163000,7.25,7.25,7.25,7.25,1600,0
RBIFL10DAX.PL,5,20251008,164000,7.28,7.28,7.28,7.28,1400,0
RBIFL10DAX.PL,5,20251009,143000,7.35,7.35,7.35,7.35,1400,0
RBIFL10DAX.PL,5,20251009,144500,7.34,7.34,7.34,7.34,1400,0
RBIFL10DAX.PL,5,20251009,145000,7.31,7.31,7.31,7.31,1400,0
RBIFL10DAX.PL,5,20251009,162500,7.18,7.18,7.18,7.18,1400,0
RBIFL10DAX.PL,5,20251009,163000,7.15,7.15,7.15,7.15,1300,0
RBIFL10DAX.PL,5,20251009,164500,7.09,7.09,7.09,7.09,2300,0
RBIFL10DAX.PL,5,20251016,093500,5.66,5.66,5.66,5.66,3600,0
RBIFL10DAX.PL,5,20251016,094000,5.66,5.69,5.66,5.69,5400,0
RBIFL10DAX.PL,5,20251016,115500,5.83,5.83,5.83,5.83,1800,0
RBIFL10DAX.PL,5,20251016,120000,5.81,5.81,5.8,5.8,5400,0
RBIFL10DAX.PL,5,20251016,120500,5.83,5.83,5.83,5.83,1800,0
RBIFL10DAX.PL,5,20251017,092500,4.83,4.83,4.83,4.83,400,0
RBIFL10DAX.PL,5,20251020,101000,5.38,5.38,5.38,5.38,400,0
RBIFL10DAX.PL,5,20251029,091500,5.89,5.89,5.89,5.89,1800,0
RBIFL10DAX.PL,5,20251030,143000,5.4,5.4,5.4,5.4,2000,0
RBIFL10DAX.PL,5,20251031,104000,5.2,5.2,5.2,5.2,2000,0
RBIFL10DAX.PL,5,20251031,121500,5.27,5.27,5.27,5.27,300,0
RBIFL10DAX.PL,5,20251031,141000,5.07,5.07,5.07,5.07,2000,0
RBIFL10DAX.PL,5,20251031,141500,5.03,5.03,5.03,5.03,1800,0
RBIFL10DAX.PL,5,20251031,142000,5.03,5.03,5.03,5.03,2000,0
RBIFL10DAX.PL,5,20251104,091000,4.61,4.61,4.61,4.61,400,0
RBIFL10DAX.PL,5,20251104,132000,4.68,4.68,4.68,4.68,2400,0
RBIFL10DAX.PL,5,20251104,143500,4.79,4.79,4.79,4.79,4150,0
RBIFL10DAX.PL,5,20251107,105000,4.33,4.33,4.33,4.33,400,0
RBIFL10DAX.PL,5,20251107,122500,4.05,4.05,4.05,4.05,400,0
RBIFL10DAX.PL,5,20251110,090500,4.69,4.71,4.69,4.71,2400,0
RBIFL10DAX.PL,5,20251110,091000,4.71,4.71,4.68,4.68,4150,0
RBIFL10DAX.PL,5,20251112,101000,5.48,5.48,5.48,5.48,700,0
RBIFL10DAX.PL,5,20251113,155500,5.22,5.22,5.22,5.22,300,0
RBIFL10DAX.PL,5,20251114,125500,4.18,4.18,4.18,4.18,400,0
RBIFL10DAX.PL,5,20251114,135000,4.12,4.12,4.12,4.12,500,0
RBIFL10DAX.PL,5,20251118,091500,3.48,3.48,3.48,3.48,500,0
RBIFL10DAX.PL,5,20251125,153000,3.58,3.58,3.58,3.58,30,0
RBIFL10DAX.PL,5,20251126,091500,3.8,3.8,3.8,3.8,30,0
RBIFL10DAX.PL,5,20251127,093000,4.09,4.09,4.09,4.09,400,0
RBIFL10DAX.PL,5,20251201,113500,3.79,3.79,3.79,3.79,40,0
RBIFL10DAX.PL,5,20251201,134000,3.6,3.6,3.6,3.6,400,0
RBIFL10DAX.PL,5,20251202,102500,3.92,3.92,3.92,3.92,400,0
