<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RBIFL10GOLD1.PL,5,20250707,091000,26.45,26.45,26.45,26.45,30,0
RBIFL10GOLD1.PL,5,20250707,094000,26.45,26.45,26.45,26.45,20,0
RBIFL10GOLD1.PL,5,20250707,110500,26.75,26.75,26.75,26.75,30,0
RBIFL10GOLD1.PL,5,20250707,151500,26.6,26.6,26.6,26.6,20,0
RBIFL10GOLD1.PL,5,20250707,155500,27.15,27.15,27.15,27.15,15,0
RBIFL10GOLD1.PL,5,20250709,091000,25.1,25.1,25.1,25.1,15,0
RBIFL10GOLD1.PL,5,20251021,160500,150.8,150.8,144.2,144.2,4,0
RBIFL10GOLD1.PL,5,20251021,162000,134.4,134.4,134.4,134.4,1,0
RBIFL10GOLD1.PL,5,20251021,163000,118,118,118,118,3,0
RBIFL10GOLD1.PL,5,20251022,100000,105,105,105,105,4,0
RBIFL10GOLD1.PL,5,20251022,100500,102.2,102.2,102.2,102.2,4,0
RBIFL10GOLD1.PL,5,20251027,155000,70.4,70.4,70.4,70.4,10,0
RBIFL10GOLD1.PL,5,20251027,161500,68.9,68.9,68.9,68.9,5,0
RBIFL10GOLD1.PL,5,20251027,164500,70.3,70.3,70.3,70.3,5,0
RBIFL10GOLD1.PL,5,20251028,091500,59.8,59.8,59.8,59.8,6,0
RBIFL10GOLD1.PL,5,20251028,102000,56.4,56.4,56.4,56.4,6,0
RBIFL10GOLD1.PL,5,20251028,120500,58.7,58.7,58.7,58.7,80,0
RBIFL10GOLD1.PL,5,20251029,140500,75.1,75.1,75.1,75.1,12,0
RBIFL10GOLD1.PL,5,20251030,093000,67.1,67.1,67.1,67.1,10,0
RBIFL10GOLD1.PL,5,20251030,101000,72.3,72.3,72.3,72.3,5,0
RBIFL10GOLD1.PL,5,20251031,163500,78.7,78.7,78.7,78.7,4,0
RBIFL10GOLD1.PL,5,20251103,091000,77.8,77.8,77.8,77.8,4,0
RBIFL10GOLD1.PL,5,20251103,095000,77.4,77.4,77.4,77.4,5,0
RBIFL10GOLD1.PL,5,20251103,111000,74.1,74.1,74.1,74.1,4,0
RBIFL10GOLD1.PL,5,20251103,164500,78.5,78.5,78.5,78.5,4,0
RBIFL10GOLD1.PL,5,20251104,105000,72.5,72.5,72.5,72.5,5,0
RBIFL10GOLD1.PL,5,20251104,151500,69.8,69.8,69.8,69.8,5,0
RBIFL10GOLD1.PL,5,20251104,153000,65.3,65.3,64.8,64.8,85,0
RBIFL10GOLD1.PL,5,20251104,154000,62,62,62,62,5,0
RBIFL10GOLD1.PL,5,20251107,112500,71.8,71.8,71.8,71.8,12,0
RBIFL10GOLD1.PL,5,20251107,123000,70.7,70.7,70.7,70.7,20,0
RBIFL10GOLD1.PL,5,20251110,090500,84.2,84.2,84.2,84.2,9,0
RBIFL10GOLD1.PL,5,20251112,163000,105,105,105,105,50,0
RBIFL10GOLD1.PL,5,20251114,121000,99,99,99,99,50,0
RBIFL10GOLD1.PL,5,20251114,141000,84.1,84.1,84.1,84.1,2,0
RBIFL10GOLD1.PL,5,20251114,152000,73.3,73.3,73.3,73.3,7,0
RBIFL10GOLD1.PL,5,20251114,152500,71.9,71.9,71.9,71.9,5,0
RBIFL10GOLD1.PL,5,20251114,153000,67.2,67.2,67.2,67.2,5,0
RBIFL10GOLD1.PL,5,20251119,102000,78.8,78.8,78.8,78.8,6,0
RBIFL10GOLD1.PL,5,20251119,105500,84.3,84.3,84.3,84.3,5,0
RBIFL10GOLD1.PL,5,20251119,141000,81.8,81.8,81.8,81.8,6,0
RBIFL10GOLD1.PL,5,20251119,153000,83.8,83.8,83.8,83.8,50,0
RBIFL10GOLD1.PL,5,20251201,152000,114,114,114,114,50,0
RBIFL10GOLD1.PL,5,20251202,120500,98.6,98.6,98.6,98.6,3,0
