<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RBIFL10PALL9.PL,5,20250710,110000,21.2,21.2,21.2,21.2,500,0
RBIFL10PALL9.PL,5,20250710,113500,21.9,21.9,21.9,21.9,3000,0
RBIFL10PALL9.PL,5,20250710,114000,21.9,21.95,21.8,21.8,10000,0
RBIFL10PALL9.PL,5,20250710,145000,28.05,28.05,28.05,28.05,400,0
RBIFL10PALL9.PL,5,20250710,150000,27.9,28.4,27.9,28.4,3600,0
RBIFL10PALL9.PL,5,20250710,150500,28.4,28.5,28.4,28.45,10000,0
RBIFL10PALL9.PL,5,20250714,154000,37.75,37.75,37.75,37.75,100,0
RBIFL10PALL9.PL,5,20250723,164000,67,67,67,67,100,0
RBIFL10PALL9.PL,5,20250724,113500,56.3,56.3,56.3,56.3,100,0
RBIFL10PALL9.PL,5,20250725,131000,35.3,35.3,35.3,35.3,100,0
RBIFL10PALL9.PL,5,20250728,101000,37.65,37.65,37.65,37.65,300,0
RBIFL10PALL9.PL,5,20250728,102000,38.05,38.05,38.05,38.05,300,0
RBIFL10PALL9.PL,5,20250728,141000,42.85,42.85,42.85,42.85,100,0
RBIFL10PALL9.PL,5,20250728,164000,40.95,40.95,40.95,40.95,300,0
RBIFL10PALL9.PL,5,20250729,135500,36.9,36.9,36.9,36.9,150,0
RBIFL10PALL9.PL,5,20250730,105000,42.5,42.5,42.5,42.5,100,0
RBIFL10PALL9.PL,5,20250731,154500,22.65,22.65,22.65,22.65,150,0
RBIFL10PALL9.PL,5,20250731,160000,21.1,21.1,21.1,21.1,150,0
RBIFL10PALL9.PL,5,20250731,161500,20.5,20.5,20.5,20.5,150,0
RBIFL10PALL9.PL,5,20250731,163500,18.9,18.9,18.9,18.9,10,0
RBIFL10PALL9.PL,5,20250731,164000,20.25,20.25,20.25,20.25,600,0
RBIFL10PALL9.PL,5,20250801,093500,17.64,17.64,17.64,17.64,500,0
RBIFL10PALL9.PL,5,20250801,095500,16.84,16.84,16.84,16.84,500,0
RBIFL10PALL9.PL,5,20250804,142500,16.52,16.52,16.52,16.52,200,0
RBIFL10PALL9.PL,5,20250805,102000,18.44,18.44,18.44,18.44,600,0
RBIFL10PALL9.PL,5,20250805,104500,17.4,17.4,17.4,17.4,600,0
RBIFL10PALL9.PL,5,20250805,150000,15,15,15,15,10,0
RBIFL10PALL9.PL,5,20250806,091500,14.34,14.34,14.34,14.34,700,0
