<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RBIFL3ATTP1.PL,5,20250709,133500,3.84,3.84,3.84,3.84,394,0
RBIFL3ATTP1.PL,5,20250715,091500,3.16,3.16,3.16,3.16,394,0
RBIFL3ATTP1.PL,5,20250715,103500,2.92,2.92,2.92,2.92,30,0
RBIFL3ATTP1.PL,5,20250715,112500,2.69,2.69,2.69,2.69,475,0
RBIFL3ATTP1.PL,5,20250715,115500,2.69,2.69,2.69,2.69,3000,0
RBIFL3ATTP1.PL,5,20250715,125000,2.49,2.49,2.49,2.49,30,0
RBIFL3ATTP1.PL,5,20250715,132500,2.41,2.41,2.41,2.41,3600,0
RBIFL3ATTP1.PL,5,20250715,150000,2.08,2.08,2.08,2.08,3000,0
RBIFL3ATTP1.PL,5,20250715,162000,2.04,2.04,2.04,2.04,40,0
RBIFL3ATTP1.PL,5,20250718,103500,1.99,1.99,1.99,1.99,3600,0
RBIFL3ATTP1.PL,5,20250723,103000,2.29,2.29,2.29,2.29,2200,0
RBIFL3ATTP1.PL,5,20250804,142500,1.92,1.92,1.92,1.92,2000,0
RBIFL3ATTP1.PL,5,20250807,103000,1.94,1.94,1.94,1.94,9000,0
RBIFL3ATTP1.PL,5,20250829,091500,1.78,1.78,1.78,1.78,720,0
RBIFL3ATTP1.PL,5,20250911,095000,1.84,1.84,1.84,1.84,2100,0
RBIFL3ATTP1.PL,5,20250911,095500,1.85,1.85,1.85,1.85,2100,0
RBIFL3ATTP1.PL,5,20250923,130000,1.8,1.8,1.8,1.8,50,0
RBIFL3ATTP1.PL,5,20250925,092000,1.94,1.94,1.94,1.94,5000,0
RBIFL3ATTP1.PL,5,20250929,151000,1.85,1.85,1.85,1.85,10233,0
RBIFL3ATTP1.PL,5,20251006,091000,1.86,1.86,1.86,1.86,50,0
RBIFL3ATTP1.PL,5,20251027,091500,1.91,1.91,1.91,1.91,230,0
RBIFL3ATTP1.PL,5,20251027,092000,1.91,1.91,1.91,1.91,500,0
RBIFL3ATTP1.PL,5,20251029,091500,1.81,1.81,1.81,1.81,712,0
RBIFL3ATTP1.PL,5,20251104,091000,1.73,1.73,1.73,1.73,250,0
RBIFL3ATTP1.PL,5,20251106,130000,1.79,1.79,1.79,1.79,5000,0
RBIFL3ATTP1.PL,5,20251114,132000,1.73,1.73,1.73,1.73,280,0
RBIFL3ATTP1.PL,5,20251125,114500,1.67,1.67,1.67,1.67,100,0
RBIFL3ATTP1.PL,5,20251125,143500,1.72,1.72,1.72,1.72,500,0
RBIFL3ATTP1.PL,5,20251126,104500,1.77,1.77,1.77,1.77,200,0
RBIFL3ATTP1.PL,5,20251201,101500,1.71,1.71,1.71,1.71,800,0
