<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RBIFL4COPP1.PL,5,20250731,161000,2.5,2.5,2.5,2.5,500,0
RBIFL4COPP1.PL,5,20250731,163500,2.46,2.46,2.46,2.46,500,0
RBIFL4COPP1.PL,5,20250805,133500,2.56,2.56,2.56,2.56,550,0
RBIFL4COPP1.PL,5,20250806,133000,2.56,2.56,2.56,2.56,2000,0
RBIFL4COPP1.PL,5,20250807,092000,2.56,2.56,2.56,2.56,888,0
RBIFL4COPP1.PL,5,20250808,092000,2.55,2.55,2.55,2.55,50,0
RBIFL4COPP1.PL,5,20250808,164000,2.6,2.6,2.6,2.6,550,0
RBIFL4COPP1.PL,5,20250818,141000,2.6,2.6,2.6,2.6,50,0
RBIFL4COPP1.PL,5,20250822,101500,2.6,2.6,2.6,2.6,500,0
RBIFL4COPP1.PL,5,20250827,150000,2.48,2.48,2.48,2.48,600,0
RBIFL4COPP1.PL,5,20250828,135500,2.56,2.56,2.56,2.56,600,0
RBIFL4COPP1.PL,5,20250829,105000,2.68,2.68,2.68,2.68,100,0
RBIFL4COPP1.PL,5,20250829,160000,2.68,2.68,2.68,2.68,888,0
RBIFL4COPP1.PL,5,20250902,130000,2.71,2.71,2.71,2.71,500,0
RBIFL4COPP1.PL,5,20250904,125500,2.67,2.67,2.67,2.67,100,0
RBIFL4COPP1.PL,5,20250912,101000,2.95,2.95,2.95,2.95,488,0
RBIFL4COPP1.PL,5,20251001,091000,3.34,3.34,3.34,3.34,488,0
RBIFL4COPP1.PL,5,20251010,103000,4.2,4.2,4.2,4.2,2000,0
RBIFL4COPP1.PL,5,20251027,121000,4.13,4.13,4.13,4.13,100,0
