<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RBIFL4KGH1.PL,5,20250710,132000,2.66,2.66,2.66,2.66,14349,0
RBIFL4KGH1.PL,5,20250710,141500,2.64,2.64,2.64,2.64,3694,0
RBIFL4KGH1.PL,5,20250710,142000,2.6,2.6,2.6,2.6,3665,0
RBIFL4KGH1.PL,5,20250710,142500,2.59,2.59,2.59,2.59,1466,0
RBIFL4KGH1.PL,5,20250710,151500,2.6,2.6,2.6,2.6,2128,0
RBIFL4KGH1.PL,5,20250710,154500,2.53,2.53,2.53,2.53,1000,0
RBIFL4KGH1.PL,5,20250710,163500,2.51,2.51,2.51,2.51,3000,0
RBIFL4KGH1.PL,5,20250714,101500,2.82,2.82,2.82,2.82,10,0
RBIFL4KGH1.PL,5,20250714,133000,2.7,2.7,2.7,2.7,2000,0
RBIFL4KGH1.PL,5,20250715,090500,2.66,2.66,2.66,2.66,5126,0
RBIFL4KGH1.PL,5,20250715,123500,2.72,2.72,2.72,2.72,4174,0
RBIFL4KGH1.PL,5,20250721,090500,2.68,2.68,2.68,2.68,5000,0
RBIFL4KGH1.PL,5,20250722,150500,2.68,2.68,2.68,2.68,100,0
RBIFL4KGH1.PL,5,20250722,154500,2.83,2.83,2.83,2.83,100,0
RBIFL4KGH1.PL,5,20250723,091500,2.93,2.93,2.93,2.93,100,0
RBIFL4KGH1.PL,5,20250723,103500,2.9,2.9,2.9,2.9,5000,0
RBIFL4KGH1.PL,5,20250723,145500,3.05,3.05,3.05,3.05,10,0
RBIFL4KGH1.PL,5,20250724,090500,3.14,3.14,3.14,3.14,10,0
RBIFL4KGH1.PL,5,20250724,113500,3.08,3.08,3.08,3.08,5000,0
RBIFL4KGH1.PL,5,20250724,114000,3.12,3.12,3.12,3.12,5000,0
RBIFL4KGH1.PL,5,20250801,164500,2.03,2.03,2.03,2.03,5000,0
RBIFL4KGH1.PL,5,20250807,124000,2.45,2.45,2.45,2.45,10,0
RBIFL4KGH1.PL,5,20250808,090500,2.52,2.52,2.52,2.52,100,0
RBIFL4KGH1.PL,5,20250808,160500,2.49,2.49,2.49,2.49,200,0
RBIFL4KGH1.PL,5,20250808,161500,2.63,2.63,2.63,2.63,10,0
RBIFL4KGH1.PL,5,20250812,161000,2.76,2.76,2.76,2.76,10,0
RBIFL4KGH1.PL,5,20250814,143000,2.42,2.42,2.42,2.42,100,0
RBIFL4KGH1.PL,5,20250821,120500,2.29,2.29,2.29,2.29,50,0
RBIFL4KGH1.PL,5,20250827,155500,2.13,2.13,2.13,2.13,5,0
RBIFL4KGH1.PL,5,20250827,160000,2.13,2.13,2.13,2.13,45,0
RBIFL4KGH1.PL,5,20250902,153000,2.2,2.2,2.2,2.2,100,0
RBIFL4KGH1.PL,5,20250903,101500,2.41,2.41,2.41,2.41,10,0
RBIFL4KGH1.PL,5,20250903,143500,2.56,2.56,2.56,2.56,10,0
RBIFL4KGH1.PL,5,20250905,150000,2.45,2.45,2.45,2.45,3500,0
RBIFL4KGH1.PL,5,20250912,114500,2.95,2.95,2.95,2.95,10,0
RBIFL4KGH1.PL,5,20250912,122500,2.87,2.87,2.87,2.87,3000,0
RBIFL4KGH1.PL,5,20250912,140000,2.8,2.8,2.8,2.8,1085,0
RBIFL4KGH1.PL,5,20250912,141500,2.8,2.8,2.8,2.8,460,0
RBIFL4KGH1.PL,5,20250915,163500,2.96,2.96,2.96,2.96,10,0
RBIFL4KGH1.PL,5,20250916,143500,3.09,3.09,3.09,3.09,10,0
RBIFL4KGH1.PL,5,20250922,101000,2.79,2.79,2.79,2.79,2,0
RBIFL4KGH1.PL,5,20250922,140000,2.9,2.9,2.9,2.9,10,0
RBIFL4KGH1.PL,5,20250923,092000,2.94,2.94,2.94,2.94,10,0
RBIFL4KGH1.PL,5,20250923,160000,2.95,2.95,2.95,2.95,9000,0
RBIFL4KGH1.PL,5,20250923,161000,3.05,3.05,3.05,3.05,10,0
RBIFL4KGH1.PL,5,20250924,143500,3.61,3.61,3.61,3.61,10,0
RBIFL4KGH1.PL,5,20250924,155500,3.74,3.74,3.74,3.74,344,0
RBIFL4KGH1.PL,5,20250925,101500,4.01,4.01,4.01,4.01,10,0
RBIFL4KGH1.PL,5,20250929,091000,4.34,4.34,4.34,4.34,10,0
RBIFL4KGH1.PL,5,20250929,121500,4.32,4.32,4.32,4.32,913,0
RBIFL4KGH1.PL,5,20250929,151500,4.38,4.38,4.38,4.38,100,0
