<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RBIFL4ZAB.PL,5,20250806,152500,5.13,5.13,5.13,5.13,2500,0
RBIFL4ZAB.PL,5,20250807,101000,5.24,5.24,5.24,5.24,2500,0
RBIFL4ZAB.PL,5,20250807,160000,5.51,5.51,5.51,5.51,5000,0
RBIFL4ZAB.PL,5,20250813,090500,5.22,5.22,5.22,5.22,5000,0
RBIFL4ZAB.PL,5,20250822,131000,5.67,5.67,5.67,5.67,2000,0
RBIFL4ZAB.PL,5,20250828,124500,5.31,5.31,5.31,5.31,2000,0
RBIFL4ZAB.PL,5,20250925,112500,6.11,6.11,6.11,6.11,1000,0
RBIFL4ZAB.PL,5,20250925,161500,5.8,5.8,5.8,5.8,1000,0
RBIFL4ZAB.PL,5,20250930,142500,6.74,6.74,6.74,6.74,10,0
RBIFL4ZAB.PL,5,20251001,102000,7.25,7.25,7.25,7.25,10,0
RBIFL4ZAB.PL,5,20251001,132000,6.34,6.34,6.34,6.34,1000,0
RBIFL4ZAB.PL,5,20251001,164000,6.38,6.38,6.38,6.38,1000,0
RBIFL4ZAB.PL,5,20251002,112500,6.22,6.22,6.22,6.22,1000,0
RBIFL4ZAB.PL,5,20251002,113000,6.07,6.07,6.07,6.07,1000,0
RBIFL4ZAB.PL,5,20251002,114000,5.96,5.96,5.96,5.96,1000,0
RBIFL4ZAB.PL,5,20251002,115000,5.87,5.87,5.87,5.87,1000,0
RBIFL4ZAB.PL,5,20251002,123500,5.78,5.78,5.78,5.78,1000,0
RBIFL4ZAB.PL,5,20251006,095500,4.99,4.99,4.99,4.99,1000,0
RBIFL4ZAB.PL,5,20251006,100000,5.03,5.03,5.03,5.03,1000,0
RBIFL4ZAB.PL,5,20251006,132500,5.11,5.11,5.11,5.11,100,0
RBIFL4ZAB.PL,5,20251006,162500,4.9,4.9,4.9,4.9,1000,0
RBIFL4ZAB.PL,5,20251008,152000,4.62,4.62,4.62,4.62,600,0
RBIFL4ZAB.PL,5,20251009,124500,4.8,4.8,4.8,4.8,400,0
RBIFL4ZAB.PL,5,20251010,153000,4.85,4.85,4.85,4.85,1000,0
RBIFL4ZAB.PL,5,20251016,094500,5.13,5.13,5.13,5.13,1000,0
RBIFL4ZAB.PL,5,20251027,102500,5.08,5.08,5.08,5.08,1000,0
RBIFL4ZAB.PL,5,20251027,154500,4.9,4.9,4.9,4.9,2000,0
RBIFL4ZAB.PL,5,20251029,164000,4.15,4.15,4.15,4.15,2000,0
RBIFL4ZAB.PL,5,20251030,105500,4.62,4.62,4.62,4.62,100,0
RBIFL4ZAB.PL,5,20251112,104500,5.12,5.12,5.12,5.12,10,0
RBIFL4ZAB.PL,5,20251113,092000,5.59,5.59,5.59,5.59,10,0
RBIFL4ZAB.PL,5,20251114,104500,5.99,5.99,5.99,5.99,10,0
RBIFL4ZAB.PL,5,20251114,162000,6.24,6.24,6.24,6.24,10,0
RBIFL4ZAB.PL,5,20251117,101000,6.4,6.4,6.4,6.4,10,0
RBIFL4ZAB.PL,5,20251118,101500,6.11,6.11,6.11,6.11,2500,0
RBIFL4ZAB.PL,5,20251118,111000,6,6,6,6,3270,0
RBIFL4ZAB.PL,5,20251118,112500,6,6,6,6,3000,0
