<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RBIFL5EATP2.PL,5,20250725,090500,1.09,1.09,1.09,1.09,10000,0
RBIFL5EATP2.PL,5,20250729,161000,0.94,0.94,0.94,0.94,12000,0
RBIFL5EATP2.PL,5,20250729,161500,0.97,0.97,0.97,0.97,11567,0
RBIFL5EATP2.PL,5,20250731,122000,0.84,0.84,0.84,0.84,138,0
RBIFL5EATP2.PL,5,20250801,111500,0.79,0.79,0.79,0.79,9688,0
RBIFL5EATP2.PL,5,20250804,114500,0.73,0.73,0.73,0.73,5038,0
RBIFL5EATP2.PL,5,20250811,110000,0.86,0.86,0.86,0.86,431,0
RBIFL5EATP2.PL,5,20250813,090500,0.92,0.92,0.92,0.92,4000,0
RBIFL5EATP2.PL,5,20250905,112500,0.63,0.63,0.63,0.63,20000,0
RBIFL5EATP2.PL,5,20250905,113000,0.59,0.59,0.59,0.59,20000,0
RBIFL5EATP2.PL,5,20250905,130500,0.56,0.56,0.56,0.56,3500,0
RBIFL5EATP2.PL,5,20250905,164000,0.62,0.62,0.62,0.62,3500,0
RBIFL5EATP2.PL,5,20250910,090500,0.68,0.68,0.68,0.68,15000,0
RBIFL5EATP2.PL,5,20251008,113000,0.71,0.71,0.71,0.71,10000,0
RBIFL5EATP2.PL,5,20251016,105000,0.83,0.83,0.83,0.83,12000,0
RBIFL5EATP2.PL,5,20251017,142000,0.81,0.81,0.81,0.81,3000,0
RBIFL5EATP2.PL,5,20251020,110000,0.8,0.8,0.8,0.8,7108,0
RBIFL5EATP2.PL,5,20251021,125000,0.8,0.8,0.8,0.8,7108,0
RBIFL5EATP2.PL,5,20251023,142000,0.8,0.8,0.8,0.8,15000,0
RBIFL5EATP2.PL,5,20251023,143500,0.82,0.82,0.82,0.82,4777,0
RBIFL5EATP2.PL,5,20251031,143500,0.75,0.75,0.75,0.75,4000,0
RBIFL5EATP2.PL,5,20251104,145500,0.59,0.59,0.59,0.59,23431,0
RBIFL5EATP2.PL,5,20251114,131500,0.52,0.52,0.52,0.52,39920,0
RBIFL5EATP2.PL,5,20251117,115000,0.35,0.35,0.35,0.35,35000,0
RBIFL5EATP2.PL,5,20251119,100000,0.29,0.29,0.29,0.29,5000,0
RBIFL5EATP2.PL,5,20251119,111000,0.32,0.32,0.32,0.32,5000,0
RBIFL5EATP2.PL,5,20251124,160500,0.38,0.38,0.38,0.38,1,0
RBIFL5EATP2.PL,5,20251125,095500,0.37,0.37,0.37,0.37,30000,0
RBIFL5EATP2.PL,5,20251125,135500,0.41,0.41,0.41,0.41,1,0
RBIFL5EATP2.PL,5,20251127,161000,0.48,0.48,0.48,0.48,1,0
RBIFL5EATP2.PL,5,20251128,102500,0.46,0.46,0.46,0.46,13128,0
RBIFL5EATP2.PL,5,20251202,163000,0.52,0.52,0.52,0.52,1,0
