<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RBIFL5NAG5.PL,5,20250707,091500,0.5,0.5,0.5,0.5,2000,0
RBIFL5NAG5.PL,5,20250709,094000,0.52,0.52,0.52,0.52,2000,0
RBIFL5NAG5.PL,5,20250710,120500,0.46,0.46,0.46,0.46,3000,0
RBIFL5NAG5.PL,5,20250718,091500,0.7,0.7,0.7,0.7,9000,0
RBIFL5NAG5.PL,5,20250718,121000,0.7,0.7,0.7,0.7,999,0
RBIFL5NAG5.PL,5,20250721,113000,0.56,0.56,0.56,0.56,2000,0
RBIFL5NAG5.PL,5,20250722,091500,0.46,0.46,0.46,0.46,2000,0
RBIFL5NAG5.PL,5,20250723,091000,0.43,0.43,0.43,0.43,2000,0
RBIFL5NAG5.PL,5,20250724,151000,0.36,0.36,0.36,0.36,2000,0
RBIFL5NAG5.PL,5,20250725,090500,0.34,0.34,0.34,0.34,2000,0
RBIFL5NAG5.PL,5,20250728,131500,0.34,0.34,0.34,0.34,3000,0
RBIFL5NAG5.PL,5,20250731,091500,0.28,0.28,0.28,0.28,4000,0
RBIFL5NAG5.PL,5,20250806,115500,0.25,0.25,0.25,0.25,3000,0
RBIFL5NAG5.PL,5,20250811,100000,0.22,0.22,0.22,0.22,5000,0
RBIFL5NAG5.PL,5,20250812,154500,0.24,0.24,0.24,0.24,5000,0
RBIFL5NAG5.PL,5,20250825,092000,0.14,0.14,0.14,0.14,10000,0
RBIFL5NAG5.PL,5,20250903,163000,0.24,0.24,0.24,0.24,100,0
RBIFL5NAG5.PL,5,20250925,092000,0.16,0.16,0.16,0.16,100,0
RBIFL5NAG5.PL,5,20250930,150000,0.18,0.18,0.18,0.18,100,0
RBIFL5NAG5.PL,5,20251001,092000,0.21,0.21,0.21,0.21,100,0
RBIFL5NAG5.PL,5,20251002,163000,0.21,0.21,0.21,0.21,1000,0
RBIFL5NAG5.PL,5,20251008,111000,0.26,0.26,0.26,0.26,100,0
RBIFL5NAG5.PL,5,20251021,104500,0.11,0.11,0.11,0.11,1000,0
RBIFL5NAG5.PL,5,20251023,091000,0.12,0.12,0.12,0.12,1000,0
RBIFL5NAG5.PL,5,20251031,102500,0.11,0.11,0.11,0.11,1000,0
RBIFL5NAG5.PL,5,20251031,135500,0.11,0.11,0.11,0.11,1000,0
RBIFL5NAG5.PL,5,20251103,104500,0.13,0.13,0.13,0.13,2000,0
RBIFL5NAG5.PL,5,20251107,091000,0.15,0.15,0.15,0.15,2000,0
RBIFL5NAG5.PL,5,20251110,091000,0.17,0.17,0.17,0.17,16000,0
RBIFL5NAG5.PL,5,20251110,111000,0.17,0.17,0.17,0.17,3000,0
RBIFL5NAG5.PL,5,20251113,153500,0.17,0.17,0.17,0.17,4000,0
RBIFL5NAG5.PL,5,20251119,164500,0.17,0.17,0.17,0.17,6201,0
