<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RBIFS9GOLD4.PL,5,20251015,103500,0.97,0.97,0.97,0.97,1630,0
RBIFS9GOLD4.PL,5,20251021,160500,0.88,0.88,0.88,0.88,10000,0
RBIFS9GOLD4.PL,5,20251022,164500,1.12,1.12,1.12,1.12,10000,0
RBIFS9GOLD4.PL,5,20251027,104000,1.08,1.08,1.08,1.08,1000,0
RBIFS9GOLD4.PL,5,20251028,092000,1.34,1.34,1.34,1.34,1000,0
RBIFS9GOLD4.PL,5,20251028,101500,1.36,1.36,1.36,1.36,1630,0
RBIFS9GOLD4.PL,5,20251112,095500,0.84,0.84,0.84,0.84,1000,0
RBIFS9GOLD4.PL,5,20251113,103000,0.66,0.66,0.66,0.66,1000,0
RBIFS9GOLD4.PL,5,20251114,142000,0.85,0.85,0.85,0.85,1000,0
RBIFS9GOLD4.PL,5,20251117,093500,0.9,0.9,0.9,0.9,10000,0
RBIFS9GOLD4.PL,5,20251117,094500,0.9,0.9,0.9,0.9,14000,0
RBIFS9GOLD4.PL,5,20251117,120000,0.93,0.93,0.93,0.93,5000,0
RBIFS9GOLD4.PL,5,20251118,095500,0.95,0.95,0.95,0.95,1000,0
RBIFS9GOLD4.PL,5,20251120,135500,0.87,0.87,0.87,0.87,28000,0
RBIFS9GOLD4.PL,5,20251120,140000,0.85,0.85,0.85,0.85,1000,0
