<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RBIGBSK1227.PL,5,20250708,153500,1040,1040,1040,1040,5,0
RBIGBSK1227.PL,5,20250710,122500,1040,1040,1040,1040,200,0
RBIGBSK1227.PL,5,20250710,123000,1040,1040,1040,1040,800,0
RBIGBSK1227.PL,5,20250825,164500,1054,1054,1054,1054,5,0
RBIGBSK1227.PL,5,20251013,143500,1063,1063,1063,1063,200,0
RBIGBSK1227.PL,5,20251027,090500,1071.5,1071.5,1071.5,1071.5,5,0
RBIGBSK1227.PL,5,20251028,090500,1071,1071,1071,1071,150,0
RBIGBSK1227.PL,5,20251029,103000,1072.5,1072.5,1072.5,1072.5,2,0
RBIGBSK1227.PL,5,20251124,103000,1072,1072,1072,1072,2,0
RBIGBSK1227.PL,5,20251125,090500,1074.5,1074.5,1074.5,1074.5,3,0
RBIGBSK1227.PL,5,20251128,093000,1079.5,1079.5,1079.5,1079.5,5,0
