<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCFL10GOLD3.PL,5,20250715,092500,47.4,47.4,47.4,47.4,20,0
RCFL10GOLD3.PL,5,20250721,154500,52,52,52,52,20,0
RCFL10GOLD3.PL,5,20250801,105000,36.55,36.55,36.55,36.55,3,0
RCFL10GOLD3.PL,5,20250805,103500,47.25,47.25,47.25,47.25,50,0
RCFL10GOLD3.PL,5,20250807,100500,50.9,50.9,50.9,50.9,30,0
RCFL10GOLD3.PL,5,20250811,091000,44.05,44.05,44.05,44.05,40,0
RCFL10GOLD3.PL,5,20250811,164500,41.55,41.55,41.55,41.55,30,0
RCFL10GOLD3.PL,5,20250813,131000,42.55,42.55,42.55,42.55,50,0
RCFL10GOLD3.PL,5,20250814,115000,41.65,41.65,41.65,41.65,50,0
RCFL10GOLD3.PL,5,20250826,094500,43.85,43.85,43.85,43.85,50,0
RCFL10GOLD3.PL,5,20250901,091500,58,58,58,58,520,0
RCFL10GOLD3.PL,5,20250901,145000,58.2,58.2,58.2,58.2,1,0
RCFL10GOLD3.PL,5,20250902,134000,62.2,62.2,62.2,62.2,100,0
RCFL10GOLD3.PL,5,20250903,090500,70,70,70,70,50,0
RCFL10GOLD3.PL,5,20250904,141500,69.2,69.2,69.2,69.2,150,0
RCFL10GOLD3.PL,5,20250908,152000,79.1,79.1,79.1,79.1,10,0
RCFL10GOLD3.PL,5,20250908,161000,81.7,81.7,81.7,81.7,10,0
RCFL10GOLD3.PL,5,20250909,141500,88.2,88.2,88.2,88.2,50,0
RCFL10GOLD3.PL,5,20250912,121500,86.8,86.8,86.8,86.8,3,0
RCFL10GOLD3.PL,5,20250916,092000,93.5,93.5,93.5,93.5,50,0
RCFL10GOLD3.PL,5,20250922,110500,99.4,99.4,99.4,99.4,20,0
RCFL10GOLD3.PL,5,20250922,123500,102.8,102.8,102.8,102.8,1,0
RCFL10GOLD3.PL,5,20250923,104500,114.4,114.4,114.4,114.4,20,0
RCFL10GOLD3.PL,5,20250923,112500,116.2,116.2,116.2,116.2,10,0
RCFL10GOLD3.PL,5,20250923,125000,114.6,114.6,114.6,114.6,20,0
RCFL10GOLD3.PL,5,20250925,135500,108,108,108,108,20,0
RCFL10GOLD3.PL,5,20250926,123500,107.6,107.6,107.6,107.6,10,0
RCFL10GOLD3.PL,5,20250929,103000,125.2,125.2,125.2,125.2,10,0
RCFL10GOLD3.PL,5,20250929,150000,125.2,125.2,125.2,125.2,40,0
RCFL10GOLD3.PL,5,20250930,093000,134,134,134,134,10,0
RCFL10GOLD3.PL,5,20251002,163500,134.8,134.8,134.8,134.8,22,0
RCFL10GOLD3.PL,5,20251006,100500,166.4,166.4,166.4,166.4,10,0
RCFL10GOLD3.PL,5,20251006,163500,172.8,172.8,172.8,172.8,4,0
RCFL10GOLD3.PL,5,20251008,092000,203.5,203.5,203.5,203.5,10,0
RCFL10GOLD3.PL,5,20251008,095500,203.5,203.5,203.5,203.5,72,0
RCFL10GOLD3.PL,5,20251009,094500,200.5,200.5,200.5,200.5,30,0
RCFL10GOLD3.PL,5,20251010,091000,159.2,159.2,159.2,159.2,5,0
RCFL10GOLD3.PL,5,20251013,110000,214,214,214,214,10,0
RCFL10GOLD3.PL,5,20251014,094000,232.5,232.5,232.5,232.5,10,0
RCFL10GOLD3.PL,5,20251015,090500,275.5,275.5,275.5,275.5,1,0
RCFL10GOLD3.PL,5,20251015,112000,275,275,275,275,10,0
RCFL10GOLD3.PL,5,20251016,105000,293,293,293,293,5,0
RCFL10GOLD3.PL,5,20251016,132500,305,305,305,305,5,0
RCFL10GOLD3.PL,5,20251017,103000,361,361,361,361,5,0
RCFL10GOLD3.PL,5,20251017,124000,370.5,370.5,370.5,370.5,19,0
RCFL10GOLD3.PL,5,20251020,133500,308.5,308.5,308.5,308.5,1,0
RCFL10GOLD3.PL,5,20251022,145500,127.2,127.2,127.2,127.2,5,0
RCFL10GOLD3.PL,5,20251027,113500,128.2,128.2,128.2,128.2,1,0
RCFL10GOLD3.PL,5,20251029,102500,117.8,117.8,117.8,117.8,5,0
RCFL10GOLD3.PL,5,20251029,103500,117.8,117.8,117.8,117.8,30,0
RCFL10GOLD3.PL,5,20251029,154500,116.2,116.2,116.2,116.2,5,0
RCFL10GOLD3.PL,5,20251112,102500,140.8,140.8,140.8,140.8,10,0
RCFL10GOLD3.PL,5,20251113,092500,177.6,177.6,177.6,177.6,10,0
RCFL10GOLD3.PL,5,20251113,130000,180.6,180.6,180.6,180.6,1,0
RCFL10GOLD3.PL,5,20251114,092000,156.4,156.4,156.4,156.4,1,0
RCFL10GOLD3.PL,5,20251118,112000,110.4,110.4,110.4,110.4,200,0
RCFL10GOLD3.PL,5,20251201,101000,171.2,171.2,171.2,171.2,10,0
