<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCFL2KGH2.PL,5,20250707,164000,6.3,6.3,6.3,6.3,450,0
RCFL2KGH2.PL,5,20250708,104500,6.4,6.4,6.4,6.4,450,0
RCFL2KGH2.PL,5,20250709,112000,6.18,6.18,6.18,6.18,500,0
RCFL2KGH2.PL,5,20250710,093000,6.31,6.31,6.31,6.31,500,0
RCFL2KGH2.PL,5,20250724,113000,6.99,6.99,6.99,6.99,100,0
RCFL2KGH2.PL,5,20250731,091000,6.09,6.09,6.09,6.09,300,0
RCFL2KGH2.PL,5,20250808,163500,6.5,6.5,6.5,6.5,150,0
RCFL2KGH2.PL,5,20250903,131500,6.42,6.42,6.42,6.42,400,0
RCFL2KGH2.PL,5,20250912,131000,6.94,6.94,6.94,6.94,300,0
RCFL2KGH2.PL,5,20250922,103500,6.96,6.96,6.96,6.96,500,0
RCFL2KGH2.PL,5,20250924,142500,7.72,7.72,7.72,7.72,300,0
RCFL2KGH2.PL,5,20250925,090500,8.12,8.12,8.12,8.12,234,0
RCFL2KGH2.PL,5,20250925,095500,8.13,8.13,8.13,8.13,244,0
RCFL2KGH2.PL,5,20250926,102000,8.03,8.03,8.03,8.03,200,0
RCFL2KGH2.PL,5,20250929,091000,8.52,8.52,8.52,8.52,200,0
RCFL2KGH2.PL,5,20250929,104500,8.54,8.54,8.54,8.54,200,0
RCFL2KGH2.PL,5,20250930,095000,8.71,8.71,8.71,8.71,1000,0
RCFL2KGH2.PL,5,20251002,162500,9.96,9.96,9.96,9.96,200,0
RCFL2KGH2.PL,5,20251013,122500,12.58,12.58,12.58,12.58,300,0
RCFL2KGH2.PL,5,20251014,103500,12.12,12.12,12.12,12.12,400,0
RCFL2KGH2.PL,5,20251017,164000,12.16,12.16,12.16,12.16,245,0
RCFL2KGH2.PL,5,20251020,091000,12.54,12.54,12.54,12.54,245,0
RCFL2KGH2.PL,5,20251021,144500,12.38,12.38,12.38,12.38,151,0
RCFL2KGH2.PL,5,20251023,113500,12.72,12.72,12.72,12.72,151,0
RCFL2KGH2.PL,5,20251028,145500,12.12,12.12,12.12,12.12,200,0
RCFL2KGH2.PL,5,20251028,161500,12.3,12.3,12.3,12.3,200,0
RCFL2KGH2.PL,5,20251029,160500,13.44,13.44,13.44,13.44,58,0
RCFL2KGH2.PL,5,20251030,144500,12.72,12.72,12.72,12.72,100,0
RCFL2KGH2.PL,5,20251104,110000,11.82,11.82,11.82,11.82,190,0
RCFL2KGH2.PL,5,20251104,124500,11.74,11.74,11.74,11.74,300,0
RCFL2KGH2.PL,5,20251105,164000,11.9,11.9,11.9,11.9,490,0
RCFL2KGH2.PL,5,20251113,135000,13.54,13.54,13.54,13.54,73,0
RCFL2KGH2.PL,5,20251113,153000,13.44,13.44,13.44,13.44,100,0
RCFL2KGH2.PL,5,20251114,145000,12.08,12.08,12.08,12.08,200,0
RCFL2KGH2.PL,5,20251118,092500,11.8,11.8,11.8,11.8,200,0
RCFL2KGH2.PL,5,20251126,163000,14.12,14.12,14.12,14.12,100,0
RCFL2KGH2.PL,5,20251201,093500,16.16,16.16,16.16,16.16,100,0
