<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCFL3ALR2.PL,5,20250708,092500,16.7,16.7,16.7,16.7,100,0
RCFL3ALR2.PL,5,20250718,124500,16.8,16.8,16.76,16.76,1600,0
RCFL3ALR2.PL,5,20250722,091000,16.66,16.66,16.66,16.66,100,0
RCFL3ALR2.PL,5,20250723,090500,16.88,16.88,16.88,16.88,300,0
RCFL3ALR2.PL,5,20250723,091500,16.86,16.86,16.86,16.86,500,0
RCFL3ALR2.PL,5,20250725,091500,17.54,17.54,17.54,17.54,100,0
RCFL3ALR2.PL,5,20250801,092000,16.22,16.22,16.22,16.22,1000,0
RCFL3ALR2.PL,5,20250805,090500,17.04,17.04,17.04,17.04,500,0
RCFL3ALR2.PL,5,20250805,103500,16.38,16.38,16.38,16.38,100,0
RCFL3ALR2.PL,5,20250806,091000,17.52,17.52,17.52,17.52,150,0
RCFL3ALR2.PL,5,20250806,154500,19.46,19.46,19.46,19.46,488,0
RCFL3ALR2.PL,5,20250807,092500,18.96,18.96,18.96,18.96,750,0
RCFL3ALR2.PL,5,20250807,100500,20.7,20.7,20.7,20.7,500,0
RCFL3ALR2.PL,5,20250807,101500,21.1,21.1,21.1,21.1,500,0
RCFL3ALR2.PL,5,20250807,113000,22.85,22.85,22.85,22.85,80,0
RCFL3ALR2.PL,5,20250808,094500,23.2,23.2,23.2,23.2,800,0
RCFL3ALR2.PL,5,20250808,095000,23.15,23.15,23.15,23.15,200,0
RCFL3ALR2.PL,5,20250808,122000,24.1,24.1,24.1,24.1,500,0
RCFL3ALR2.PL,5,20250808,164000,24.55,24.55,24.55,24.55,244,0
RCFL3ALR2.PL,5,20250812,143000,25.85,25.85,25.85,25.85,244,0
RCFL3ALR2.PL,5,20250812,143500,26,26,26,26,177,0
RCFL3ALR2.PL,5,20250813,090500,26.05,26.05,26.05,26.05,500,0
RCFL3ALR2.PL,5,20250813,111000,25.05,25.05,25.05,25.05,45,0
RCFL3ALR2.PL,5,20250814,090500,23.95,23.95,23.95,23.95,665,0
RCFL3ALR2.PL,5,20250814,150500,23.5,23.5,23.5,23.5,150,0
RCFL3ALR2.PL,5,20250822,102000,18.3,18.3,18.3,18.3,1000,0
RCFL3ALR2.PL,5,20250825,090500,20.25,20.25,20.25,20.25,500,0
RCFL3ALR2.PL,5,20250827,092000,20.55,20.55,20.55,20.55,100,0
RCFL3ALR2.PL,5,20250902,094500,15.3,15.3,15.3,15.3,600,0
RCFL3ALR2.PL,5,20250903,120500,17.6,17.6,17.6,17.6,100,0
RCFL3ALR2.PL,5,20250904,093500,17.08,17.08,17.08,17.08,100,0
RCFL3ALR2.PL,5,20250904,101000,17.16,17.16,17.16,17.16,100,0
RCFL3ALR2.PL,5,20250912,094500,18.48,18.48,18.48,18.48,100,0
RCFL3ALR2.PL,5,20250929,130000,16.38,16.38,16.38,16.38,300,0
RCFL3ALR2.PL,5,20250929,164000,15.98,15.98,15.98,15.98,300,0
RCFL3ALR2.PL,5,20250930,090500,15.94,15.94,15.94,15.94,27,0
RCFL3ALR2.PL,5,20251002,124000,17.42,17.42,17.42,17.42,100,0
RCFL3ALR2.PL,5,20251006,121500,16.48,16.48,16.48,16.48,250,0
RCFL3ALR2.PL,5,20251014,162000,16.3,16.3,16.3,16.3,650,0
RCFL3ALR2.PL,5,20251015,163500,17.4,17.4,17.4,17.4,650,0
RCFL3ALR2.PL,5,20251022,154000,18,18,18,18,250,0
RCFL3ALR2.PL,5,20251028,131000,19.12,19.12,19.12,19.12,300,0
RCFL3ALR2.PL,5,20251029,110500,18.16,18.16,18.16,18.16,99,0
RCFL3ALR2.PL,5,20251031,145000,15.36,15.36,15.36,15.36,300,0
RCFL3ALR2.PL,5,20251103,162000,16.74,16.74,16.74,16.74,18,0
RCFL3ALR2.PL,5,20251112,100500,15.48,15.48,15.48,15.48,74,0
RCFL3ALR2.PL,5,20251125,155000,15.16,15.16,15.16,15.16,74,0
