<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCFL3DNP1.PL,5,20250710,162500,8.8,8.8,8.8,8.8,178,0
RCFL3DNP1.PL,5,20250711,091500,8.97,8.97,8.97,8.97,1000,0
RCFL3DNP1.PL,5,20250805,115000,6.38,6.38,6.38,6.38,300,0
RCFL3DNP1.PL,5,20250818,104500,6.46,6.46,6.46,6.46,200,0
RCFL3DNP1.PL,5,20250820,154000,7,7,7,7,300,0
RCFL3DNP1.PL,5,20250822,093000,5.5,5.5,5.5,5.5,200,0
RCFL3DNP1.PL,5,20250822,094500,5.3,5.3,5.3,5.3,200,0
RCFL3DNP1.PL,5,20250822,102000,5.6,5.6,5.6,5.6,200,0
RCFL3DNP1.PL,5,20250822,130500,5.1,5.1,5.1,5.1,200,0
RCFL3DNP1.PL,5,20250822,150000,5.44,5.44,5.44,5.44,200,0
RCFL3DNP1.PL,5,20250822,155000,5.7,5.7,5.7,5.7,200,0
RCFL3DNP1.PL,5,20250903,123000,5.6,5.6,5.6,5.6,200,0
RCFL3DNP1.PL,5,20250904,093000,5.6,5.6,5.6,5.6,200,0
RCFL3DNP1.PL,5,20250904,102500,5.88,5.88,5.88,5.88,250,0
RCFL3DNP1.PL,5,20250905,145000,6.01,6.01,6.01,6.01,200,0
RCFL3DNP1.PL,5,20250925,152000,4.71,4.71,4.71,4.71,178,0
RCFL3DNP1.PL,5,20251002,091000,4.42,4.42,4.42,4.42,10,0
RCFL3DNP1.PL,5,20251013,100500,4.52,4.52,4.52,4.52,350,0
RCFL3DNP1.PL,5,20251021,111500,5.02,5.02,5.02,5.02,225,0
RCFL3DNP1.PL,5,20251028,152000,4.83,4.83,4.83,4.83,10,0
RCFL3DNP1.PL,5,20251029,091500,4.52,4.52,4.52,4.52,250,0
RCFL3DNP1.PL,5,20251029,143500,4.55,4.55,4.55,4.55,240,0
RCFL3DNP1.PL,5,20251030,130000,5.19,5.19,5.19,5.19,176,0
RCFL3DNP1.PL,5,20251103,104500,4.61,4.61,4.61,4.61,3358,0
RCFL3DNP1.PL,5,20251107,092000,3.71,3.71,3.71,3.71,217,0
RCFL3DNP1.PL,5,20251107,093000,3.69,3.69,3.69,3.69,350,0
RCFL3DNP1.PL,5,20251107,094500,3.73,3.73,3.73,3.73,500,0
RCFL3DNP1.PL,5,20251107,135000,3.6,3.6,3.6,3.6,500,0
RCFL3DNP1.PL,5,20251113,125500,3.79,3.79,3.79,3.79,400,0
RCFL3DNP1.PL,5,20251117,101500,3.51,3.51,3.45,3.45,2200,0
RCFL3DNP1.PL,5,20251121,133500,3.7,3.7,3.7,3.7,400,0
RCFL3DNP1.PL,5,20251202,133000,3.29,3.29,3.29,3.29,400,0
