<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCFL3PKN2.PL,5,20250708,114000,3.9,3.9,3.9,3.9,610,0
RCFL3PKN2.PL,5,20250708,161000,3.96,3.96,3.96,3.96,1,0
RCFL3PKN2.PL,5,20250709,105000,4.08,4.08,4.08,4.08,1,0
RCFL3PKN2.PL,5,20250709,110000,4.1,4.1,4.1,4.1,355,0
RCFL3PKN2.PL,5,20250709,110500,4.08,4.08,4.08,4.08,800,0
RCFL3PKN2.PL,5,20250709,114500,4,4,4,4,7000,0
RCFL3PKN2.PL,5,20250709,141000,4.08,4.08,4.08,4.08,218,0
RCFL3PKN2.PL,5,20250710,131500,4.11,4.11,4.11,4.11,1,0
RCFL3PKN2.PL,5,20250710,160000,3.91,3.91,3.91,3.91,4000,0
RCFL3PKN2.PL,5,20250714,160500,4.29,4.29,4.29,4.29,1,0
RCFL3PKN2.PL,5,20250721,155000,4.05,4.05,4.05,4.05,10000,0
RCFL3PKN2.PL,5,20250722,093500,3.97,3.97,3.97,3.97,2000,0
RCFL3PKN2.PL,5,20250725,095000,3.55,3.55,3.55,3.55,2000,0
RCFL3PKN2.PL,5,20250725,095500,3.54,3.54,3.54,3.54,283,0
RCFL3PKN2.PL,5,20250915,163500,3.97,3.97,3.97,3.97,10000,0
RCFL3PKN2.PL,5,20251001,164500,4.67,4.68,4.67,4.68,883,0
RCFL3PKN2.PL,5,20251008,140000,4.67,4.67,4.67,4.67,550,0
RCFL3PKN2.PL,5,20251009,163000,4.82,4.82,4.82,4.82,277,0
RCFL3PKN2.PL,5,20251010,120500,4.7,4.7,4.7,4.7,150,0
RCFL3PKN2.PL,5,20251010,121000,4.7,4.7,4.7,4.7,300,0
RCFL3PKN2.PL,5,20251016,105000,4.94,4.94,4.94,4.94,200,0
RCFL3PKN2.PL,5,20251021,093000,5.46,5.46,5.46,5.46,10,0
RCFL3PKN2.PL,5,20251022,094500,5.77,5.77,5.77,5.77,100,0
RCFL3PKN2.PL,5,20251022,155500,5.77,5.77,5.77,5.77,3000,0
RCFL3PKN2.PL,5,20251023,093000,6,6,6,6,214,0
RCFL3PKN2.PL,5,20251024,091500,6.28,6.28,6.28,6.28,500,0
RCFL3PKN2.PL,5,20251024,093000,6.19,6.19,6.19,6.19,1000,0
RCFL3PKN2.PL,5,20251024,103500,6.21,6.21,6.21,6.21,1000,0
RCFL3PKN2.PL,5,20251027,091000,6.5,6.5,6.5,6.5,197,0
RCFL3PKN2.PL,5,20251027,105000,6.61,6.61,6.61,6.61,3000,0
RCFL3PKN2.PL,5,20251030,125500,7.07,7.07,7.07,7.07,200,0
RCFL3PKN2.PL,5,20251112,090500,7.22,7.22,7.22,7.22,300,0
RCFL3PKN2.PL,5,20251112,120000,7.5,7.5,7.5,7.5,171,0
RCFL3PKN2.PL,5,20251113,094000,7.77,7.77,7.77,7.77,400,0
RCFL3PKN2.PL,5,20251120,132500,6.83,6.83,6.83,6.83,2000,0
RCFL3PKN2.PL,5,20251121,090500,6.29,6.29,6.29,6.29,2000,0
RCFL3PKN2.PL,5,20251128,105000,5.31,5.31,5.31,5.31,2000,0
