<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCLGOLDAOPEN1.PL,5,20250911,122000,1106.5,1106.5,1106.5,1106.5,3,0
RCLGOLDAOPEN1.PL,5,20251006,112000,1197,1197,1197,1197,2,0
RCLGOLDAOPEN1.PL,5,20251016,110000,1282.5,1282.5,1282.5,1282.5,3,0
RCLGOLDAOPEN1.PL,5,20251022,121500,1237,1237,1237,1237,3,0
RCLGOLDAOPEN1.PL,5,20251027,155000,1206.5,1206.5,1206.5,1206.5,4,0
RCLGOLDAOPEN1.PL,5,20251028,131000,1187.5,1187.5,1187.5,1187.5,3,0
RCLGOLDAOPEN1.PL,5,20251112,124000,1250.5,1250.5,1250.5,1250.5,17,0
RCLGOLDAOPEN1.PL,5,20251118,150500,1234.5,1234.5,1234.5,1234.5,3,0
RCLGOLDAOPEN1.PL,5,20251118,151000,1234.5,1234.5,1234.5,1234.5,2,0
RCLGOLDAOPEN1.PL,5,20251120,120000,1234.5,1234.5,1234.5,1234.5,1,0
RCLGOLDAOPEN1.PL,5,20251126,160000,1255,1255,1255,1255,2,0
RCLGOLDAOPEN1.PL,5,20251127,101500,1255,1255,1255,1255,2,0
