<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
4MB,D,20160512,000000,4,5.95,3.5,3.5,9639,0
4MB,D,20160513,000000,3.25,3.77,2.66,3.08,1465,0
4MB,D,20160516,000000,3.01,3.36,2.61,3.18,634,0
4MB,D,20160517,000000,3.25,3.25,3.18,3.18,60,0
4MB,D,20160518,000000,3.18,3.18,3.18,3.18,49,0
4MB,D,20160519,000000,3.01,3.05,3,3,1355,0
4MB,D,20160520,000000,3,3,2.88,2.88,380,0
4MB,D,20160523,000000,2.85,3.1,2.77,3.1,290,0
4MB,D,20160525,000000,3.04,3.04,2.83,2.83,896,0
4MB,D,20160527,000000,2.84,2.84,2.83,2.83,250,0
4MB,D,20160530,000000,2.83,2.83,2.78,2.78,38,0
4MB,D,20160610,000000,2.88,2.9,2.88,2.9,16,0
4MB,D,20160613,000000,2.9,3,2.9,3,514,0
4MB,D,20160614,000000,3.03,3.13,3.03,3.13,95,0
4MB,D,20160616,000000,2.92,2.92,2.92,2.92,343,0
4MB,D,20160628,000000,2.92,2.92,2.8,2.8,33,0
4MB,D,20160701,000000,2.8,4,2.8,4,3436,0
4MB,D,20160704,000000,4.69,5.16,4.2,4.5,1546,0
4MB,D,20160705,000000,5.13,5.14,4.5,5.14,64,0
4MB,D,20160706,000000,5.14,5.95,5.13,5.95,758,0
4MB,D,20160707,000000,6,7,5,5.36,607,0
4MB,D,20160708,000000,6,6.9,5.55,6,79,0
4MB,D,20160711,000000,6.49,6.49,6.2,6.2,33,0
4MB,D,20160712,000000,6.05,6.05,4.9,4.9,417,0
4MB,D,20160713,000000,5.06,5.06,4.12,4.6,253,0
4MB,D,20160714,000000,4.65,4.7,3.72,3.72,1161,0
4MB,D,20160715,000000,4.45,4.45,3.56,3.56,1623,0
4MB,D,20160718,000000,3.75,4.45,3.75,4.4,924,0
4MB,D,20160719,000000,4.45,4.89,4.45,4.89,585,0
4MB,D,20160720,000000,5,5.4,5,5,228,0
4MB,D,20160721,000000,5.37,7,5.37,7,372,0
4MB,D,20160722,000000,7,9.7,6,9.5,337,0
4MB,D,20160725,000000,10,12,10,12,508,0
4MB,D,20160726,000000,14.4,17.28,14.4,16.9,441,0
4MB,D,20160727,000000,20.2,24.24,16.5,17.7,295,0
4MB,D,20160728,000000,23,23,23,23,137,0
4MB,D,20160729,000000,24.5,24.5,19.6,19.8,407,0
4MB,D,20160801,000000,20,20,17.5,17.5,907,0
4MB,D,20160802,000000,17.8,18.8,17.8,18.8,80,0
4MB,D,20160804,000000,19.1,19.35,19.1,19.35,15,0
4MB,D,20160805,000000,18.8,18.8,17.2,18,1003,0
4MB,D,20160808,000000,18.66,20.5,18.66,20.5,500,0
4MB,D,20160809,000000,20.31,20.51,20.31,20.5,1346,0
4MB,D,20160810,000000,21.1,23.5,21.1,23.5,225,0
4MB,D,20160811,000000,23.5,23.5,22.5,22.5,33,0
4MB,D,20160817,000000,22,23.5,21.5,23.5,362,0
4MB,D,20160818,000000,23.5,23.5,23.5,23.5,15,0
4MB,D,20160819,000000,23.4,23.4,22,23.4,4859,0
4MB,D,20160822,000000,23.4,23.4,23.4,23.4,5,0
4MB,D,20160823,000000,23.4,23.4,23.4,23.4,10,0
4MB,D,20160824,000000,23.4,23.4,22.5,22.5,55,0
4MB,D,20160825,000000,22.5,23.4,22.5,23.4,297,0
4MB,D,20160826,000000,23.4,23.41,22.5,22.5,283,0
4MB,D,20160829,000000,22.5,22.51,22.5,22.51,11,0
4MB,D,20160830,000000,22.5,22.55,22.5,22.55,15,0
4MB,D,20160831,000000,22.55,22.55,22.55,22.55,5,0
4MB,D,20160901,000000,22.55,22.55,22.55,22.55,5,0
4MB,D,20160902,000000,22.56,22.56,22.55,22.55,10,0
4MB,D,20160905,000000,22.55,22.56,22.55,22.56,10,0
4MB,D,20160906,000000,22.55,23.55,22.55,23.55,15,0
4MB,D,20160907,000000,23.55,23.55,23.55,23.55,5,0
4MB,D,20160908,000000,23.74,24.3,23.74,24.3,7,0
4MB,D,20160909,000000,24.51,29,24.5,25,91,0
4MB,D,20160912,000000,25,25,25,25,5,0
4MB,D,20160913,000000,23.6,23.6,23.6,23.6,10,0
4MB,D,20160914,000000,27.9,27.9,27.9,27.9,4,0
4MB,D,20160915,000000,26,26,26,26,10,0
4MB,D,20160916,000000,26,26,26,26,5,0
4MB,D,20160919,000000,26,26,23.9,23.9,85,0
4MB,D,20160920,000000,23.9,23.9,23.5,23.5,76,0
4MB,D,20160921,000000,23.5,25,23.5,25,20,0
4MB,D,20160922,000000,24.6,24.6,24.6,24.6,5,0
4MB,D,20160923,000000,25,25,25,25,5,0
4MB,D,20160926,000000,25.15,25.15,25.15,25.15,5,0
4MB,D,20160927,000000,25.14,25.15,25.14,25.15,50,0
4MB,D,20160928,000000,25.5,25.8,25.5,25.8,50,0
4MB,D,20160929,000000,26,27.9,26,27.9,166,0
4MB,D,20160930,000000,27.9,27.9,27.9,27.9,10,0
4MB,D,20161003,000000,27.9,32,27.89,32,199,0
4MB,D,20161004,000000,31.5,31.5,31.5,31.5,5,0
4MB,D,20161005,000000,31,31,30,30,10,0
4MB,D,20161006,000000,30.6,30.6,28.06,28.06,20,0
4MB,D,20161007,000000,27.5,27.5,27.5,27.5,5,0
4MB,D,20161010,000000,27,31.4,27,27.32,50,0
4MB,D,20161011,000000,26.6,26.6,26.6,26.6,5,0
4MB,D,20161012,000000,27.7,27.7,27.7,27.7,5,0
4MB,D,20161013,000000,27.95,29.7,27.95,29.7,50,0
4MB,D,20161014,000000,29.75,29.75,29.75,29.75,12,0
4MB,D,20161017,000000,30.3,30.3,30.3,30.3,5,0
4MB,D,20161019,000000,30.5,30.5,30.5,30.5,3,0
4MB,D,20161020,000000,30.49,35,30.49,35,112,0
4MB,D,20161021,000000,38,38,34.58,34.58,65,0
4MB,D,20161024,000000,35.8,35.8,35.8,35.8,5,0
4MB,D,20161025,000000,35.8,35.8,35.8,35.8,5,0
4MB,D,20161026,000000,35.79,35.79,35.79,35.79,5,0
4MB,D,20161027,000000,35.79,35.79,35.79,35.79,10,0
4MB,D,20161028,000000,35.9,35.9,35.9,35.9,5,0
4MB,D,20161031,000000,35.9,35.9,35.9,35.9,5,0
4MB,D,20161102,000000,35.9,35.9,35.9,35.9,5,0
4MB,D,20161103,000000,35.2,35.2,35.2,35.2,5,0
4MB,D,20161104,000000,35.3,35.3,35.3,35.3,5,0
4MB,D,20161107,000000,35.8,35.9,35.8,35.9,15,0
4MB,D,20161108,000000,36.1,36.5,36.1,36.5,34,0
4MB,D,20161109,000000,36.49,36.49,36.49,36.49,3,0
4MB,D,20161110,000000,36.49,36.49,36.48,36.49,12,0
4MB,D,20161114,000000,37,37,36,36,5,0
4MB,D,20161115,000000,36,36,34.5,34.5,16,0
4MB,D,20161116,000000,35.15,35.15,31.5,31.5,93,0
4MB,D,20161117,000000,31.8,35,31.75,35,99,0
4MB,D,20161118,000000,34.99,35,34.99,35,8,0
4MB,D,20161121,000000,32.7,35.7,32.7,35,63,0
4MB,D,20161122,000000,34.99,35.05,34.99,35.05,35,0
4MB,D,20161123,000000,35.9,35.9,35.9,35.9,7,0
4MB,D,20161124,000000,35.9,36,35.9,35.99,141,0
4MB,D,20161125,000000,35.15,35.15,32,32,56,0
4MB,D,20161128,000000,32.5,32.5,32.5,32.5,2,0
4MB,D,20161129,000000,31.2,33,30,33,83,0
4MB,D,20161130,000000,33,33,30.9,32,90,0
4MB,D,20161201,000000,31.3,31.3,31.29,31.3,7,0
4MB,D,20161202,000000,32.05,32.05,32.05,32.05,2,0
4MB,D,20161205,000000,32.15,34.3,32.1,32.1,111,0
4MB,D,20161206,000000,33,33.1,33,33.1,40,0
4MB,D,20161207,000000,33.9,33.9,33.9,33.9,2,0
4MB,D,20161208,000000,34.5,34.5,34.5,34.5,2,0
4MB,D,20161209,000000,34.55,34.55,34.55,34.55,2,0
4MB,D,20161212,000000,34.7,37,34.7,37,50,0
4MB,D,20161213,000000,37,37.73,37,37.73,16,0
4MB,D,20161214,000000,38.48,39,38.48,39,10,0
4MB,D,20161215,000000,39,39.77,39,39.77,5,0
4MB,D,20161216,000000,39.5,39.5,39.1,39.1,4,0
4MB,D,20161219,000000,38.5,38.5,35.8,36,6070,0
4MB,D,20161221,000000,36.2,36.2,36.2,36.2,2,0
4MB,D,20161222,000000,36.2,36.2,34.8,34.8,4,0
4MB,D,20161223,000000,36.19,36.19,36.19,36.19,2,0
4MB,D,20161227,000000,36.19,36.2,36.19,36.2,97,0
4MB,D,20161230,000000,35.9,35.9,35.9,35.9,2,0
4MB,D,20170102,000000,35.9,35.9,35.9,35.9,2,0
4MB,D,20170103,000000,34.55,34.55,34.55,34.55,7,0
4MB,D,20170104,000000,34.3,34.3,34.3,34.3,3,0
4MB,D,20170105,000000,34.05,34.05,34.05,34.05,2,0
4MB,D,20170111,000000,33.7,33.7,33.33,33.33,3,0
4MB,D,20170113,000000,33.77,33.77,33.77,33.77,2,0
4MB,D,20170116,000000,34,34,32.32,32.32,73,0
4MB,D,20170117,000000,32.5,32.5,32.5,32.5,1,0
4MB,D,20170118,000000,32.45,32.45,32.45,32.45,2,0
4MB,D,20170119,000000,32.45,32.45,32.45,32.45,1,0
4MB,D,20170125,000000,32.45,32.45,32.45,32.45,3,0
4MB,D,20170126,000000,32.5,32.5,32.5,32.5,2,0
4MB,D,20170127,000000,32.5,32.5,32.5,32.5,2,0
4MB,D,20170130,000000,32.5,32.5,32.5,32.5,2,0
4MB,D,20170131,000000,32.5,32.5,32.5,32.5,2,0
4MB,D,20170201,000000,31.7,31.7,31.7,31.7,2,0
4MB,D,20170202,000000,31.7,32.49,31.7,32.49,9,0
4MB,D,20170203,000000,32.5,32.5,32.5,32.5,2,0
4MB,D,20170206,000000,32.5,32.5,32.5,32.5,52,0
4MB,D,20170207,000000,32.1,32.1,30,30,145,0
4MB,D,20170208,000000,30.4,31.3,30.4,31.3,5,0
4MB,D,20170209,000000,31.3,31.3,31.3,31.3,2,0
4MB,D,20170210,000000,31.31,31.31,30,30,8,0
4MB,D,20170213,000000,30,30,30,30,2,0
4MB,D,20170214,000000,29.91,29.91,29.8,29.8,50,0
4MB,D,20170221,000000,29.99,31.3,29.99,31.3,44,0
4MB,D,20170222,000000,31.8,38.16,31.8,38.16,128,0
4MB,D,20170223,000000,38.97,46.9,38.95,46.9,528,0
4MB,D,20170224,000000,46.9,46.9,41,41,30,0
4MB,D,20170302,000000,39.4,40,37.5,37.5,49,0
4MB,D,20170303,000000,41,41,41,41,3,0
4MB,D,20170306,000000,41.5,41.5,41.5,41.5,25,0
4MB,D,20170307,000000,38.8,38.8,38.8,38.8,2,0
4MB,D,20170308,000000,38.8,41.5,38.8,41.5,35,0
4MB,D,20170309,000000,42,48,42,48,39,0
4MB,D,20170310,000000,48,48,43,43.5,12,0
4MB,D,20170313,000000,45,47,45,47,6,0
4MB,D,20170314,000000,47.99,52,47,47,12,0
4MB,D,20170315,000000,47.2,48,47.2,48,3,0
4MB,D,20170316,000000,48,51,45.76,48,164,0
4MB,D,20170317,000000,48,48,47.99,47.99,4,0
4MB,D,20170320,000000,48,57,46.6,50.09,105,0
4MB,D,20170321,000000,50.5,53.5,48.5,50,188,0
4MB,D,20170322,000000,50,50,50,50,2,0
4MB,D,20170323,000000,51,55,50,50,677,0
4MB,D,20170324,000000,50,50,50,50,2,0
4MB,D,20170328,000000,49.99,49.99,49.99,49.99,2,0
4MB,D,20170329,000000,49.9,49.9,44.6,44.6,58,0
4MB,D,20170330,000000,42,42,40.6,40.6,16,0
4MB,D,20170331,000000,40.6,42,40.6,42,51,0
4MB,D,20170403,000000,43.3,47,43.3,47,6,0
4MB,D,20170404,000000,47.23,47.23,47.22,47.22,2,0
4MB,D,20170405,000000,45,45,43,43.43,103,0
4MB,D,20170406,000000,42,42,42,42,31,0
4MB,D,20170407,000000,43,44.07,43,43,17,0
4MB,D,20170410,000000,42,42,42,42,2,0
4MB,D,20170411,000000,43,43,43,43,12,0
4MB,D,20170412,000000,44.5,47.5,42,42,64,0
4MB,D,20170413,000000,43.5,47,43.5,47,32,0
4MB,D,20170418,000000,47.5,47.5,45.4,45.4,76,0
4MB,D,20170419,000000,44,44,40,40,84,0
4MB,D,20170420,000000,41,41,41,41,1,0
4MB,D,20170421,000000,40.5,40.5,40.5,40.5,2,0
4MB,D,20170426,000000,40.45,40.45,40.45,40.45,2,0
4MB,D,20170428,000000,40.5,43.32,40.5,43.32,34,0
4MB,D,20170504,000000,42.2,42.2,39.7,39.7,38,0
4MB,D,20170512,000000,40.6,40.64,38.6,38.6,35,0
4MB,D,20170515,000000,38.5,38.5,38.5,38.5,2,0
4MB,D,20170516,000000,37,37,36.3,36.81,37,0
4MB,D,20170517,000000,36,36,34.25,34.25,42,0
4MB,D,20170518,000000,34,34,33,33.8,79,0
4MB,D,20170519,000000,32.5,32.5,32.05,32.05,41,0
4MB,D,20170522,000000,31.3,31.3,29.4,31.3,1546,0
4MB,D,20170523,000000,30,30,29.98,29.98,993,0
4MB,D,20170524,000000,29.1,31.1,28.65,28.65,232,0
4MB,D,20170525,000000,28.3,28.3,26.99,28.3,166,0
4MB,D,20170526,000000,28.4,31,25,25,111,0
4MB,D,20170529,000000,28.6,28.6,26,26,197,0
4MB,D,20170530,000000,26,26,25.96,25.97,63,0
4MB,D,20170531,000000,25.8,30.9,25.5,29,2643,0
4MB,D,20170601,000000,29,34,28.5,30,384,0
4MB,D,20170602,000000,31.06,37,28.9,33,627,0
4MB,D,20170605,000000,31.5,31.5,31.3,31.3,15,0
4MB,D,20170606,000000,31.82,33,31.82,33,290,0
4MB,D,20170608,000000,32.1,32.1,32.1,32.1,5,0
4MB,D,20170609,000000,31,31,30,30,50,0
4MB,D,20170612,000000,31.17,33,30.5,30.5,133,0
4MB,D,20170613,000000,31.17,35.5,31.17,33.32,948,0
4MB,D,20170616,000000,31,31,31,31,9,0
4MB,D,20170619,000000,32.2,35.4,32.2,34.3,52,0
4MB,D,20170620,000000,33.7,33.7,33.7,33.7,5,0
4MB,D,20170626,000000,34,34,34,34,1,0
4MB,D,20170627,000000,33.1,33.1,32.4,32.4,39,0
4MB,D,20170630,000000,31.5,31.5,28.6,30.74,95,0
4MB,D,20170704,000000,30,33.25,29,33.25,180,0
4MB,D,20170705,000000,32.35,33,28,28,120,0
4MB,D,20170706,000000,28,31,25.3,30,313,0
4MB,D,20170711,000000,29.5,29.56,29.5,29.56,42,0
4MB,D,20170712,000000,29.6,30,24,30,145,0
4MB,D,20170713,000000,30,30,29.99,30,53,0
4MB,D,20170714,000000,30,30,30,30,1,0
4MB,D,20170717,000000,30,30,28.3,29.3,55,0
4MB,D,20170718,000000,29.5,34.5,29.5,34.5,1813,0
4MB,D,20170719,000000,35,41,34,34,113,0
4MB,D,20170720,000000,34,34,34,34,2,0
4MB,D,20170727,000000,33.6,33.6,30,30,76,0
4MB,D,20170731,000000,30,30,30,30,2,0
4MB,D,20170801,000000,30,30,30,30,1,0
4MB,D,20170802,000000,29.5,29.5,29.5,29.5,40,0
4MB,D,20170803,000000,29.5,29.5,28.3,28.3,67,0
4MB,D,20170804,000000,29.88,30,29.88,30,44,0
4MB,D,20170807,000000,30,30,29,29,44,0
4MB,D,20170808,000000,28.5,34,27.7,34,331,0
