<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
APS,D,20081219,000000,1.75151,1.75151,1.75151,1.75151,29.55999641121772,0
APS,D,20081222,000000,1.76961,1.76961,1.76961,1.76961,17.467270606627565,0
APS,D,20081223,000000,1.76961,1.76961,1.76961,1.76961,2.6872724010196416,0
APS,D,20090107,000000,1.76961,1.76961,1.76961,1.76961,1.343636200509925,0
APS,D,20090108,000000,1.76961,1.76961,1.76961,1.76961,2.6872724010196416,0
APS,D,20090109,000000,1.76961,1.76961,1.76961,1.76961,2.6872724010196416,0
APS,D,20090114,000000,1.76961,1.76961,1.76961,1.76961,2.6872724010196416,0
APS,D,20090115,000000,1.76961,1.76961,1.76961,1.76961,150.48725445711202,0
APS,D,20090116,000000,1.76961,1.76961,1.76961,1.76961,2.6872724010196416,0
APS,D,20090119,000000,1.78776,1.78776,1.78776,1.78776,2.6872724010196416,0
APS,D,20090121,000000,1.76961,1.76961,1.76961,1.76961,2.6872724010196416,0
APS,D,20090122,000000,1.76961,1.76961,1.75516,1.76961,135.70725625150158,0
APS,D,20090123,000000,1.76961,1.76961,1.76961,1.76961,2.6872724010196416,0
APS,D,20090126,000000,1.76961,1.76961,1.76961,1.76961,2.6872724010196416,0
APS,D,20090127,000000,1.76961,1.76961,1.76961,1.76961,2.6872724010196416,0
APS,D,20090128,000000,1.76961,1.76961,1.76961,1.76961,2.6872724010196416,0
APS,D,20090129,000000,1.76961,1.76961,1.76961,1.76961,2.6872724010196416,0
APS,D,20090130,000000,1.76961,1.76961,1.76961,1.76961,2.6872724010196416,0
APS,D,20090209,000000,1.80592,1.80592,1.80592,1.80592,85.99271683263083,0
APS,D,20090210,000000,1.82408,1.82408,1.82408,1.82408,29.55999641121772,0
APS,D,20090218,000000,1.83851,1.83851,1.83851,1.83851,288.8817831096214,0
APS,D,20090219,000000,1.83851,1.83851,1.83851,1.83851,53.74544802039491,0
APS,D,20090220,000000,1.83494,1.83851,1.83494,1.83851,61.80726522345363,0
APS,D,20090226,000000,1.75151,1.85668,1.75151,1.85668,596.5744730263805,0
APS,D,20090312,000000,1.82408,1.82408,1.76961,1.76961,1433.6598259440548,0
APS,D,20090313,000000,1.76961,1.76961,1.76961,1.76961,2.6872724010196416,0
APS,D,20090316,000000,1.76961,1.76961,1.76961,1.76961,2.6872724010196416,0
APS,D,20090317,000000,1.76961,1.76961,1.76961,1.76961,2.6872724010196416,0
APS,D,20090318,000000,1.76961,1.76961,1.76961,1.76961,2.6872724010196416,0
APS,D,20090319,000000,1.76961,1.76961,1.76961,1.76961,2.6872724010196416,0
APS,D,20090320,000000,1.76961,1.76961,1.76961,1.76961,2.6872724010196416,0
APS,D,20090323,000000,1.76961,1.76961,1.76961,1.76961,184.07815946986014,0
APS,D,20090324,000000,1.76961,1.76961,1.76961,1.76961,2.6872724010196416,0
APS,D,20090325,000000,1.76961,1.76961,1.76961,1.76961,1.343636200509925,0
APS,D,20090326,000000,1.76961,1.76961,1.76961,1.76961,2.6872724010196416,0
APS,D,20090327,000000,1.76961,1.76961,1.76961,1.76961,2.6872724010196416,0
APS,D,20090330,000000,1.76961,1.76961,1.76961,1.76961,2.6872724010196416,0
APS,D,20090331,000000,1.76961,1.76961,1.76961,1.76961,2.6872724010196416,0
APS,D,20090401,000000,1.76961,1.76961,1.76961,1.76961,2.6872724010196416,0
APS,D,20090402,000000,1.76961,1.76961,1.76961,1.76961,2.6872724010196416,0
APS,D,20090403,000000,1.76961,1.76961,1.76961,1.76961,2.6872724010196416,0
APS,D,20090406,000000,1.76961,1.76961,1.76961,1.76961,2.6872724010196416,0
APS,D,20090407,000000,1.76961,1.76961,1.76961,1.76961,1061.4725984028073,0
APS,D,20090408,000000,1.76961,1.76961,1.76961,1.76961,2.6872724010196416,0
APS,D,20090409,000000,1.76961,1.76961,1.76961,1.76961,2.6872724010196416,0
APS,D,20090414,000000,1.76961,1.76961,1.76961,1.76961,593.8872006253519,0
APS,D,20090415,000000,1.76961,1.76961,1.76961,1.76961,2.6872724010196416,0
