<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CFG,D,20180525,000000,22,32.9,18,32,130417,0
CFG,D,20180528,000000,32.3,36,28,31,58601,0
CFG,D,20180529,000000,30.8,34,26.5,32,32841,0
CFG,D,20180530,000000,32.99,35,28.3,35,31045,0
CFG,D,20180601,000000,32.02,37.99,30.6,30.9,10845,0
CFG,D,20180604,000000,32.4,32.58,28.85,31,3203,0
CFG,D,20180605,000000,31,33.79,28.9,32.35,4888,0
CFG,D,20180606,000000,33.2,33.7,30,33.7,4299,0
CFG,D,20180607,000000,33.5,35,31.4,34,8170,0
CFG,D,20180608,000000,34,34,31.5,33.45,1575,0
CFG,D,20180611,000000,33.65,33.66,31.18,31.2,3304,0
CFG,D,20180612,000000,32.9,32.9,31,31,298,0
CFG,D,20180613,000000,31.94,31.94,30.5,30.6,484,0
CFG,D,20180614,000000,31,31.92,30.5,31.8,1486,0
CFG,D,20180615,000000,31.91,32.9,31,31,2131,0
CFG,D,20180618,000000,32.37,32.37,30.7,32.34,1004,0
CFG,D,20180619,000000,32,32.79,31.5,32.79,268,0
CFG,D,20180620,000000,32.9,35.6,32.8,35.6,10694,0
CFG,D,20180621,000000,35.59,36.4,32.5,36.4,12015,0
CFG,D,20180622,000000,36.4,36.4,33.8,35.5,2283,0
CFG,D,20180625,000000,35.9,35.9,33.71,34.25,1119,0
CFG,D,20180626,000000,34.77,34.77,31.36,33.4,3806,0
CFG,D,20180627,000000,33.4,34,31.5,34,5014,0
CFG,D,20180628,000000,34.3,36,32.3,36,8107,0
CFG,D,20180629,000000,35.5,38,34.5,38,6895,0
CFG,D,20180702,000000,38,38.9,36,36,7177,0
CFG,D,20180703,000000,37.22,37.22,34.5,36.68,600,0
CFG,D,20180704,000000,36.7,37.9,36.7,37.9,775,0
CFG,D,20180705,000000,35.61,38.9,35.61,38.9,2072,0
CFG,D,20180706,000000,38.9,39,37.6,38.31,2002,0
CFG,D,20180709,000000,38.95,39.89,36.51,39.7,4437,0
CFG,D,20180710,000000,39.8,41.2,39.7,41,3952,0
CFG,D,20180711,000000,41.5,49,41.5,43.48,15815,0
CFG,D,20180712,000000,45,45,43.52,43.52,14350,0
CFG,D,20180713,000000,43.5,44.95,43.5,43.94,4819,0
CFG,D,20180716,000000,45.57,45.57,43.01,43.96,3611,0
CFG,D,20180717,000000,44.9,44.9,42.6,43.7,3770,0
CFG,D,20180718,000000,43.6,43.6,43,43.4,2722,0
CFG,D,20180719,000000,44.4,44.4,42.9,43.75,3035,0
CFG,D,20180720,000000,43.98,44.1,43,43,4623,0
CFG,D,20180723,000000,42.7,43,42,43,2627,0
CFG,D,20180724,000000,43,43,42.1,42.85,3093,0
CFG,D,20180725,000000,43,43,42.2,42.2,3058,0
CFG,D,20180726,000000,44.2,44.2,40.4,42.99,3651,0
CFG,D,20180727,000000,43.21,44.9,42.71,43.78,12048,0
CFG,D,20180730,000000,44,47.7,44,44.1,32431,0
CFG,D,20180731,000000,44.5,46.5,43.42,46.5,7769,0
CFG,D,20180801,000000,46.4,46.4,45,45.85,7641,0
CFG,D,20180802,000000,46.09,49.5,46,49.5,17882,0
CFG,D,20180803,000000,51.5,55.55,50.5,53,39897,0
CFG,D,20180806,000000,54,54.85,48.6,50.6,10553,0
CFG,D,20180807,000000,50,50,46.7,48.5,9281,0
CFG,D,20180808,000000,50.79,51.8,48,48.11,9175,0
CFG,D,20180809,000000,49.6,49.6,45.5,46.95,8968,0
CFG,D,20180810,000000,47.2,47.39,44,46.14,19301,0
CFG,D,20180813,000000,46.15,48.6,45.01,46,34826,0
CFG,D,20180814,000000,46.5,47.75,45.51,46.9,19317,0
CFG,D,20180816,000000,35,40,29,30.8,101551,0
CFG,D,20180817,000000,32.8,32.87,27.5,31.35,73518,0
CFG,D,20180820,000000,32,32.99,30,30,22624,0
CFG,D,20180821,000000,29.1,31.59,28,31.5,14179,0
CFG,D,20180822,000000,30.91,31.6,29.5,30,14075,0
CFG,D,20180823,000000,30.19,30.19,26,27.3,21253,0
CFG,D,20180824,000000,27.5,29.51,27,28.6,7353,0
CFG,D,20180827,000000,30,30,27.04,27.04,11887,0
CFG,D,20180828,000000,27.95,27.95,24.9,25.9,7945,0
CFG,D,20180829,000000,24.51,28,23.9,27.7,13473,0
CFG,D,20180830,000000,28,28.65,26.22,27.45,4643,0
CFG,D,20180831,000000,27.4,27.4,24.5,24.75,7175,0
CFG,D,20180903,000000,25.5,25.5,22.65,24.4,8149,0
CFG,D,20180904,000000,24.9,24.9,19.92,20.25,22665,0
