<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DKR,D,20110614,000000,3.86025,3.86025,2.55985,2.76069,42781.524620209646,0
DKR,D,20110615,000000,3.03674,3.13726,2.81085,2.81085,9416.155542179302,0
DKR,D,20110616,000000,2.88613,3.2627,2.88613,3.2627,7379.3587473413145,0
DKR,D,20110617,000000,3.2627,3.2627,2.87364,2.87364,3264.736157481383,0
DKR,D,20110620,000000,2.87364,3.00405,2.86368,3.00405,1674.8624003595721,0
DKR,D,20110621,000000,2.999,2.999,2.86368,2.86368,4063.3363396301656,0
DKR,D,20110622,000000,2.88114,3.21241,2.88114,3.21241,2521.818189867861,0
DKR,D,20110628,000000,3.01177,3.51097,3.01177,3.16217,3358.5167293300296,0
DKR,D,20110629,000000,3.1875,3.1875,3.1875,3.1875,795.6695392784602,0
DKR,D,20110701,000000,3.2023,3.2023,3.19978,3.19978,1154.6732908865727,0
DKR,D,20110704,000000,3.23745,3.639,3.19978,3.63423,7089.22510318449,0
DKR,D,20110705,000000,3.21241,3.53875,3.21241,3.53875,5730.872132814191,0
DKR,D,20110706,000000,3.41325,3.41325,3.41325,3.41325,400.0327517919358,0
DKR,D,20110708,000000,3.2627,3.2627,3.2627,3.2627,380.98357313517005,0
DKR,D,20110713,000000,3.33797,3.33797,3.2627,3.2627,1216.2167911622503,0
DKR,D,20110722,000000,3.31299,3.31299,3.31299,3.31299,202.21435804867886,0
DKR,D,20110727,000000,3.26032,3.61402,3.26032,3.61402,3087.4322638300014,0
DKR,D,20110728,000000,3.61402,3.61402,3.61402,3.61402,1658.7438645731397,0
DKR,D,20110729,000000,3.51623,3.51623,3.51623,3.51623,202.21435804867886,0
DKR,D,20110801,000000,3.61681,4.05815,3.61681,4.05045,6595.411779543939,0
DKR,D,20110802,000000,3.639,3.639,3.639,3.639,202.21435804867886,0
DKR,D,20110803,000000,3.61402,4.01584,3.26508,4.01584,1066.7540047784469,0
DKR,D,20110804,000000,3.64179,4.01584,3.639,4.01584,3570.988337424641,0
DKR,D,20110805,000000,3.51383,3.51383,3.51383,3.51383,2389.9392607057243,0
DKR,D,20110808,000000,3.51383,4.01584,3.51383,3.51383,1540.0528283271751,0
DKR,D,20110809,000000,3.51383,3.76443,3.51383,3.76443,2981.929120500313,0
DKR,D,20110810,000000,3.34036,3.34036,3.34036,3.34036,202.21435804867886,0
DKR,D,20110811,000000,3.50626,3.50865,3.50626,3.50865,205.1450009189393,0
DKR,D,20110817,000000,3.38826,3.38826,3.38826,3.38826,145.06682207839188,0
DKR,D,20110818,000000,3.50626,3.76443,3.31299,3.51383,3305.7651576652374,0
DKR,D,20110819,000000,3.36568,3.76443,3.36295,3.76443,1504.8851138839455,0
DKR,D,20110824,000000,3.51383,4.05815,3.51383,4.01584,10397.920903719987,0
DKR,D,20110825,000000,3.51383,3.51383,3.51383,3.51383,202.21435804867886,0
DKR,D,20110829,000000,3.51383,3.76443,3.51383,3.51383,1154.6732908865727,0
DKR,D,20110901,000000,3.48885,3.639,3.48885,3.639,240.3127153621792,0
DKR,D,20110902,000000,3.38826,3.38826,3.38826,3.38826,202.21435804867886,0
DKR,D,20110905,000000,3.38826,3.76443,3.38826,3.39312,2193.5861883975454,0
DKR,D,20110906,000000,3.46347,3.639,3.46347,3.639,879.1928610811744,0
DKR,D,20110908,000000,3.2627,3.2627,3.2627,3.2627,202.21435804867886,0
DKR,D,20110909,000000,3.2627,3.639,3.2627,3.639,474.76414498383747,0
DKR,D,20110914,000000,3.38826,3.61402,3.38826,3.38826,1033.051611770379,0
DKR,D,20110915,000000,3.38826,3.76443,3.38826,3.76443,678.4438244676362,0
DKR,D,20110919,000000,3.38826,3.38826,3.38826,3.38826,202.21435804867886,0
DKR,D,20110920,000000,3.38826,3.76443,3.38826,3.76443,240.3127153621792,0
DKR,D,20110921,000000,3.38826,3.38826,3.38826,3.38826,202.21435804867886,0
DKR,D,20110923,000000,3.2627,3.38826,3.2627,3.38826,240.3127153621792,0
DKR,D,20110926,000000,3.38826,3.76443,3.38826,3.51383,1953.2734730353557,0
DKR,D,20111003,000000,3.639,3.76443,3.639,3.76443,1317.3239701866523,0
DKR,D,20111004,000000,4.13854,4.13854,4.13854,4.13854,77.66203606217047,0
DKR,D,20111005,000000,4.01584,4.11582,3.76443,4.11582,1472.6480423109765,0
DKR,D,20111006,000000,3.73945,3.73945,3.73945,3.73945,117.22571481082394,0
DKR,D,20111007,000000,3.51861,3.51861,3.51623,3.51623,1189.8410053299062,0
DKR,D,20111010,000000,3.51383,3.51383,3.51383,3.51383,202.21435804867886,0
DKR,D,20111011,000000,3.39066,3.39066,3.39066,3.39066,709.2155746054855,0
DKR,D,20111013,000000,3.38826,3.38826,3.38826,3.38826,202.21435804867886,0
DKR,D,20111020,000000,3.26508,3.26508,3.2627,3.2627,997.8838973271286,0
DKR,D,20111024,000000,3.13726,3.13726,3.01177,3.01177,597.8511455351928,0
DKR,D,20111025,000000,3.13726,3.13726,3.01177,3.01177,2193.5861883975454,0
DKR,D,20111031,000000,3.50865,3.50865,3.50865,3.50865,117.22571481082394,0
DKR,D,20111109,000000,3.01177,3.01177,3.01177,3.01177,65.93946458108807,0
DKR,D,20111110,000000,3.01177,3.13474,3.01177,3.13474,597.8511455351928,0
DKR,D,20111114,000000,3.13474,3.13726,3.13474,3.13726,756.1058605298088,0
DKR,D,20111115,000000,3.13726,3.13726,3.13726,3.13726,400.0327517919358,0
DKR,D,20111116,000000,3.13726,3.2627,3.13726,3.2627,240.3127153621792,0
DKR,D,20111121,000000,3.2627,3.2627,3.2627,3.2627,202.21435804867886,0
DKR,D,20111122,000000,3.2627,3.2627,3.2627,3.2627,496.74396651086374,0
DKR,D,20111125,000000,3.2627,3.2627,3.2627,3.2627,597.8511455351928,0
DKR,D,20111129,000000,3.2627,3.63661,3.2627,3.63661,1504.8851138839455,0
DKR,D,20111201,000000,3.6089,3.6089,3.51383,3.51383,597.8511455351928,0
DKR,D,20111202,000000,3.58638,3.58638,3.58638,3.58638,400.0327517919358,0
DKR,D,20111205,000000,3.76443,4.2216,3.76443,4.2216,678.4438244676362,0
DKR,D,20111206,000000,3.76443,4.2216,3.639,3.639,1715.8914005434265,0
DKR,D,20111207,000000,3.76211,3.76211,3.76211,3.76211,2.930642870270651,0
DKR,D,20111214,000000,3.2627,3.2627,3.2627,3.2627,1991.3718303488456,0
DKR,D,20111219,000000,3.01667,3.06193,3.01667,3.06193,496.74396651086374,0
DKR,D,20111220,000000,3.06193,3.38826,3.06193,3.38826,467.4375378081551,0
DKR,D,20111223,000000,3.38307,3.38826,3.38307,3.38826,470.36818067842603,0
DKR,D,20111228,000000,3.01423,3.01423,3.01177,3.01177,722.4034675216991,0
DKR,D,20111229,000000,3.46347,3.46347,3.46347,3.46347,145.06682207839188,0
DKR,D,20120103,000000,3.51383,3.51383,3.51383,3.51383,104.03782189460507,0
DKR,D,20120216,000000,3.46068,3.46068,3.01177,3.01177,2908.663048743489,0
DKR,D,20120217,000000,3.13726,3.3506,3.01177,3.01177,2429.5029394542403,0
DKR,D,20120312,000000,3.2627,3.2627,3.2627,3.2627,795.6695392784602,0
DKR,D,20120329,000000,3.2627,3.38826,3.2627,3.38826,3663.303587838157,0
DKR,D,20120403,000000,3.46347,3.46347,3.41325,3.41325,1320.2546130568085,0
DKR,D,20120404,000000,3.51383,3.53875,3.51383,3.53875,3922.6654818571437,0
DKR,D,20120405,000000,3.561,3.58877,3.53875,3.58877,1466.7867565704555,0
DKR,D,20120410,000000,3.58877,4.21894,3.58877,3.89014,4835.560735946397,0
DKR,D,20120411,000000,3.76443,3.78941,3.73945,3.78941,3796.6478384355282,0
DKR,D,20120412,000000,3.61402,3.61402,3.61402,3.61402,1449.2028993487888,0
DKR,D,20120413,000000,3.80401,3.80401,3.80401,3.80401,917.2912183946852,0
DKR,D,20120417,000000,3.85404,3.85404,3.76443,3.76443,3582.7109089057867,0
DKR,D,20120418,000000,3.76709,3.76709,3.76709,3.76709,2389.9392607057243,0
DKR,D,20120420,000000,3.83984,3.94057,3.83984,3.94057,879.1928610811744,0
DKR,D,20120423,000000,3.83984,3.83984,3.76443,3.76443,722.4034675216991,0
DKR,D,20120424,000000,3.64487,3.76443,3.64487,3.76443,5823.187383227604,0
DKR,D,20120425,000000,3.8479,3.8479,3.56959,3.56959,2035.3314734028565,0
DKR,D,20120430,000000,3.56959,3.81752,3.56959,3.81752,2685.9341906030704,0
DKR,D,20120508,000000,3.81493,3.81493,3.81493,3.81493,515.7931451676191,0
DKR,D,20120510,000000,3.81493,3.81493,3.76443,3.76443,1460.9254708299347,0
DKR,D,20120511,000000,3.62528,3.62528,3.62528,3.62528,540.7036095649266,0
DKR,D,20120514,000000,3.34616,3.34616,3.34616,3.34616,52.75157166487026,0
DKR,D,20120516,000000,3.62255,3.62255,3.62255,3.62255,266.68850119462735,0
DKR,D,20120521,000000,3.62255,3.90392,3.62255,3.62528,1843.3743654001726,0
DKR,D,20120522,000000,3.48572,3.51383,3.48572,3.51383,1397.9166491190228,0
DKR,D,20120523,000000,3.43004,3.43004,3.43004,3.43004,716.5421817811573,0
DKR,D,20120524,000000,3.15119,3.15119,3.15119,3.15119,716.5421817811573,0
DKR,D,20120525,000000,3.06758,3.06758,3.06758,3.06758,716.5421817811573,0
DKR,D,20120528,000000,3.34616,3.34616,3.34616,3.34616,716.5421817811573,0
DKR,D,20120529,000000,3.34616,3.34616,3.34616,3.34616,570.0100382676247,0
DKR,D,20120530,000000,3.34343,3.34616,3.34343,3.34616,2724.0325479165604,0
