<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DTX,D,20180403,000000,0.95,1.42,0.93,1.42,122894,0
DTX,D,20180404,000000,1.7,2.05,1.66,2.05,35566,0
DTX,D,20180405,000000,2.46,2.85,1.9,1.9,49828,0
DTX,D,20180406,000000,1.85,1.85,1.3,1.72,25736,0
DTX,D,20180409,000000,1.6,1.72,1.33,1.6,30000,0
DTX,D,20180410,000000,1.66,1.68,1.33,1.4,44356,0
DTX,D,20180411,000000,1.32,1.5,1.08,1.36,29477,0
DTX,D,20180412,000000,1.37,1.64,1.22,1.64,16291,0
DTX,D,20180413,000000,1.62,1.7,1.5,1.58,6956,0
DTX,D,20180416,000000,1.61,1.63,1.29,1.36,10485,0
DTX,D,20180417,000000,1.35,1.35,1.08,1.2,13410,0
DTX,D,20180418,000000,1.22,1.35,0.98,1.02,12117,0
DTX,D,20180419,000000,1.02,1.08,0.85,1.01,13118,0
DTX,D,20180420,000000,1,1,0.8,0.87,26007,0
DTX,D,20180423,000000,0.83,0.99,0.83,0.99,6382,0
DTX,D,20180424,000000,1.02,1.02,0.82,0.89,10043,0
DTX,D,20180425,000000,0.81,0.95,0.65,0.65,28684,0
DTX,D,20180426,000000,0.63,0.63,0.51,0.62,10427,0
DTX,D,20180427,000000,0.62,0.65,0.51,0.61,13992,0
DTX,D,20180430,000000,0.61,0.61,0.51,0.6,166,0
DTX,D,20180502,000000,0.61,0.61,0.51,0.6,1100,0
DTX,D,20180504,000000,0.61,0.61,0.55,0.6,4062,0
DTX,D,20180507,000000,0.61,0.61,0.5,0.56,4306,0
DTX,D,20180508,000000,0.5,0.6,0.4,0.59,68523,0
DTX,D,20180509,000000,0.59,0.83,0.59,0.79,17269,0
DTX,D,20180510,000000,0.78,0.9,0.7,0.89,24238,0
DTX,D,20180511,000000,0.95,0.99,0.95,0.99,6108,0
DTX,D,20180514,000000,0.97,1.16,0.97,1.08,16160,0
DTX,D,20180515,000000,1.08,1.19,0.92,1.17,7315,0
DTX,D,20180516,000000,1.24,1.24,1,1.13,5138,0
DTX,D,20180517,000000,1.22,1.27,1.14,1.24,2113,0
DTX,D,20180518,000000,1.26,1.26,1.09,1.19,842,0
DTX,D,20180521,000000,1.33,1.33,1.12,1.26,1592,0
DTX,D,20180522,000000,1.23,1.23,1,1.04,7229,0
DTX,D,20180523,000000,1.04,1.1,0.85,0.9,19911,0
DTX,D,20180524,000000,0.85,0.94,0.69,0.94,13144,0
DTX,D,20180525,000000,0.94,1,0.81,0.89,3541,0
DTX,D,20180528,000000,0.94,1,0.8,0.85,7619,0
DTX,D,20180529,000000,0.85,0.85,0.75,0.85,4136,0
DTX,D,20180530,000000,0.85,0.85,0.68,0.73,11520,0
DTX,D,20180601,000000,0.7,0.72,0.58,0.65,7600,0
DTX,D,20180604,000000,0.7,0.7,0.58,0.7,5358,0
DTX,D,20180605,000000,0.7,0.7,0.68,0.68,17,0
DTX,D,20180606,000000,0.68,0.68,0.61,0.68,1094,0
DTX,D,20180607,000000,0.68,0.7,0.64,0.7,1725,0
