<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ETX,D,20100128,000000,1.57134,1.57975,1.15625,1.22196,418557.79577001,0
ETX,D,20100129,000000,1.18379,1.22404,1.16265,1.22404,37371.753406195,0
ETX,D,20100201,000000,1.22404,1.22404,1.20499,1.22404,13800.534710893,0
ETX,D,20100202,000000,1.20499,1.20499,1.19227,1.20291,10726.330325139,0
ETX,D,20100203,000000,1.20291,1.25784,1.20291,1.25784,19370.269715672,0
ETX,D,20100204,000000,1.25784,1.25784,1.20083,1.24519,11879.504730474,0
ETX,D,20100205,000000,1.2134,1.2431,1.1881,1.2431,12662.661775352,0
ETX,D,20100208,000000,1.24519,1.24519,1.1881,1.22404,15942.740481962,0
ETX,D,20100209,000000,1.21988,1.21988,1.17322,1.18379,11519.224668976,0
ETX,D,20100210,000000,1.18379,1.18379,1.14353,1.1817,11522.006754393,0
ETX,D,20100211,000000,1.18379,1.18379,1.18379,1.18379,48.686494797023,0
ETX,D,20100212,000000,1.18379,1.18379,1.15417,1.1817,2670.8020002939,0
ETX,D,20100215,000000,1.1817,1.1817,1.15417,1.1817,2861.3748513565,0
ETX,D,20100216,000000,1.21988,1.21988,1.21988,1.21988,93.199861468588,0
ETX,D,20100217,000000,1.2134,1.2134,1.15417,1.2134,7444.8605758191,0
ETX,D,20100218,000000,1.2134,1.2134,1.2134,1.2134,48.686494797023,0
ETX,D,20100219,000000,1.2134,1.2134,1.12239,1.20499,2499.70374715,0
ETX,D,20100222,000000,1.14353,1.21126,1.14353,1.21126,758.11827612508,0
ETX,D,20100223,000000,1.21126,1.21126,1.21126,1.21126,48.686494797023,0
ETX,D,20100224,000000,1.21126,1.21126,1.16265,1.20499,1276.9772063905,0
ETX,D,20100225,000000,1.20291,1.20291,1.12239,1.19428,10936.37777412,0
ETX,D,20100226,000000,1.1881,1.1881,1.12239,1.1817,3623.666255607,0
ETX,D,20100301,000000,1.17961,1.17961,1.11183,1.16265,4957.6762130455,0
ETX,D,20100302,000000,1.14353,1.39349,1.14353,1.39349,52564.721868283,0
ETX,D,20100303,000000,1.40621,1.40621,1.22404,1.37652,18694.222959349,0
ETX,D,20100304,000000,1.33403,1.37437,1.28544,1.3257,6183.184839222,0
ETX,D,20100305,000000,1.34683,1.37437,1.3257,1.3257,1275.586163682,0
ETX,D,20100308,000000,1.37437,1.37437,1.35747,1.35747,2544.2171138216,0
ETX,D,20100309,000000,1.38709,1.51002,1.3257,1.3257,10338.229409471,0
ETX,D,20100311,000000,1.28544,1.32362,1.2474,1.32362,13181.520705617,0
ETX,D,20100312,000000,1.25582,1.26646,1.21556,1.26646,2580.3842242422,0
ETX,D,20100315,000000,1.24519,1.32362,1.22404,1.32362,15261.129554804,0
ETX,D,20100316,000000,1.26646,1.26646,1.2262,1.2262,1466.1590147446,0
ETX,D,20100317,000000,1.22837,1.29392,1.22837,1.29392,150.23261251653,0
ETX,D,20100318,000000,1.30456,1.32362,1.30456,1.30664,117828.27262234,0
ETX,D,20100319,000000,1.32362,1.32362,1.32362,1.32362,48.686494797023,0
ETX,D,20100322,000000,1.32362,1.32362,1.30664,1.30664,6411.3158434137,0
