<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GRZ,D,20240917,000000,30,30,19,19,1284,0
GRZ,D,20240918,000000,19.7,19.95,19.3,19.3,361,0
GRZ,D,20240919,000000,19.3,19.3,17,17,569,0
GRZ,D,20240920,000000,17,17,17,17,92,0
GRZ,D,20240923,000000,17.2,17.2,16,16,230,0
GRZ,D,20240924,000000,16,16,16,16,28,0
GRZ,D,20240925,000000,16,16,13.4,13.9,401,0
GRZ,D,20240926,000000,13.9,13.9,13.6,13.9,222,0
GRZ,D,20240927,000000,13.8,13.8,13.7,13.8,64,0
GRZ,D,20240930,000000,14,15.2,14,15.2,351,0
GRZ,D,20241001,000000,15,15.05,15,15.05,30,0
GRZ,D,20241002,000000,15.098,15.098,15.098,15.098,1,0
GRZ,D,20241003,000000,15.08,15.08,15.01,15.01,11,0
GRZ,D,20241004,000000,15,15,14.2,14.8,121,0
GRZ,D,20241007,000000,14.7,14.7,14.7,14.7,10,0
GRZ,D,20241008,000000,14.8,14.9,14.8,14.9,20,0
GRZ,D,20241009,000000,14.8,15.3,14.8,15.3,140,0
GRZ,D,20241010,000000,13,13,13,13,1295,0
GRZ,D,20241011,000000,13.4,14,13.4,14,163,0
GRZ,D,20241015,000000,14.09,14.09,14.09,14.09,1,0
GRZ,D,20241016,000000,14.08,14.18,14.08,14.18,30,0
GRZ,D,20241017,000000,14.18,14.18,14.18,14.18,34,0
GRZ,D,20241018,000000,14.27,14.27,14.01,14.01,11,0
GRZ,D,20241021,000000,14.01,14.01,14,14,110,0
GRZ,D,20241022,000000,14,14,14,14,100,0
GRZ,D,20241023,000000,14.22,14.22,14.22,14.22,1,0
GRZ,D,20241024,000000,14.16,14.18,14.16,14.18,153,0
GRZ,D,20241025,000000,14.18,14.18,14,14,21,0
GRZ,D,20241030,000000,14.17,14.17,14.17,14.17,22,0
GRZ,D,20241031,000000,14.17,14.17,14.02,14.02,11,0
GRZ,D,20241104,000000,14.16,14.17,14.16,14.17,16,0
GRZ,D,20241105,000000,14.17,14.17,14.17,14.17,1,0
GRZ,D,20241106,000000,14.28,14.4,14.1,14.1,198,0
GRZ,D,20241107,000000,14.6,14.6,14.1,14.1,20,0
GRZ,D,20241108,000000,14,14,14,14,20,0
GRZ,D,20241113,000000,13.9,13.9,13.9,13.9,10,0
GRZ,D,20241114,000000,13.99,13.99,13.82,13.82,11,0
GRZ,D,20241121,000000,13.98,14,13.98,14,161,0
GRZ,D,20241122,000000,13.94,13.94,13.65,13.65,11,0
GRZ,D,20241125,000000,13.9,13.9,13.9,13.9,130,0
GRZ,D,20241126,000000,14,14,14,14,1,0
GRZ,D,20241128,000000,13.9,13.9,13.9,13.9,1,0
GRZ,D,20241129,000000,13.9,13.9,13.9,13.9,2,0
GRZ,D,20241204,000000,14,14,14,14,1,0
GRZ,D,20241205,000000,13.9,13.9,13.34,13.34,135,0
GRZ,D,20241209,000000,13.6,14,13.6,14,100,0
GRZ,D,20241210,000000,14,14,13.5,13.5,11,0
GRZ,D,20241217,000000,13.5,13.5,13.5,13.5,40,0
GRZ,D,20241218,000000,13.4,13.4,13.36,13.36,40,0
GRZ,D,20241219,000000,13.488,14,13.488,14,287,0
GRZ,D,20241220,000000,14,14,14,14,1,0
GRZ,D,20241223,000000,13.7,13.7,13,13.3,210,0
GRZ,D,20241227,000000,13.3,13.3,13.3,13.3,255,0
GRZ,D,20241230,000000,13.3,13.3,13.3,13.3,45,0
GRZ,D,20250103,000000,13.4,13.4,13.4,13.4,20,0
GRZ,D,20250107,000000,13.4,13.4,13.4,13.4,10,0
GRZ,D,20250116,000000,13.4,13.4,13.38,13.4,22,0
GRZ,D,20250117,000000,13.5,13.7,13.22,13.7,22,0
GRZ,D,20250120,000000,13.8,13.8,13.8,13.8,20,0
GRZ,D,20250123,000000,13.9,13.9,13.9,13.9,1,0
GRZ,D,20250124,000000,13.86,13.86,13.86,13.86,1,0
GRZ,D,20250127,000000,13.25,13.25,13.25,13.25,10,0
GRZ,D,20250129,000000,13.25,13.25,13.1,13.1,10,0
GRZ,D,20250130,000000,13.24,13.25,13.24,13.25,50,0
GRZ,D,20250131,000000,13.25,13.25,13.25,13.25,1,0
GRZ,D,20250203,000000,13.3,13.3,13.3,13.3,40,0
GRZ,D,20250204,000000,13.4,13.4,13.4,13.4,10,0
GRZ,D,20250207,000000,13.262,13.3,12.8,13.3,401,0
GRZ,D,20250212,000000,12.7,12.7,12,12,460,0
GRZ,D,20250213,000000,12.4,12.4,12.4,12.4,10,0
GRZ,D,20250218,000000,12.4,12.4,12.4,12.4,1,0
GRZ,D,20250221,000000,12.2,12.2,12.2,12.2,20,0
GRZ,D,20250224,000000,12.3,12.4,12.3,12.4,161,0
GRZ,D,20250225,000000,12.4,12.4,12.4,12.4,5,0
GRZ,D,20250226,000000,12.4,12.4,11.8,12.3,113,0
GRZ,D,20250227,000000,12.4,12.4,12.4,12.4,5,0
GRZ,D,20250228,000000,12.4,12.4,12.4,12.4,2,0
GRZ,D,20250303,000000,12.4,12.4,12.4,12.4,10,0
GRZ,D,20250304,000000,12.4,12.4,12.1,12.1,11,0
GRZ,D,20250306,000000,12.32,12.32,12.32,12.32,10,0
GRZ,D,20250307,000000,12.32,12.32,12.32,12.32,1,0
GRZ,D,20250310,000000,12.32,12.32,12.32,12.32,1,0
GRZ,D,20250311,000000,12.32,12.32,12.32,12.32,1,0
GRZ,D,20250312,000000,12.32,12.32,12.32,12.32,1,0
GRZ,D,20250313,000000,12.3,12.3,12.3,12.3,1,0
GRZ,D,20250314,000000,12.3,12.3,12.3,12.3,1,0
GRZ,D,20250317,000000,12,12,11.08,11.1,126,0
GRZ,D,20250318,000000,11.1,11.1,11.1,11.1,1,0
GRZ,D,20250319,000000,11.1,11.1,10.5,10.7,111,0
GRZ,D,20250320,000000,10.002,10.002,9.5,9.5,437,0
GRZ,D,20250321,000000,9.7,9.95,9.7,9.95,200,0
GRZ,D,20250324,000000,9.8,9.8,9.75,9.8,120,0
GRZ,D,20250325,000000,9.8,9.8,9.8,9.8,2,0
GRZ,D,20250326,000000,9.8,10,9.75,9.95,257,0
GRZ,D,20250327,000000,10,10,9.999,10,301,0
GRZ,D,20250328,000000,9.85,9.85,9.85,9.85,108,0
GRZ,D,20250331,000000,9.9,9.9,9.85,9.85,72,0
GRZ,D,20250401,000000,10,10,10,10,1,0
GRZ,D,20250402,000000,9.9,9.9,9.85,9.85,11,0
GRZ,D,20250403,000000,9.9,9.9,9.9,9.9,1,0
GRZ,D,20250404,000000,9.8,9.8,9.8,9.8,2,0
GRZ,D,20250407,000000,9.8,9.8,9.8,9.8,2,0
GRZ,D,20250408,000000,9.1,9.1,9.1,9.1,141,0
GRZ,D,20250409,000000,9.4,9.4,9.4,9.4,50,0
GRZ,D,20250410,000000,9.4,9.5,9.4,9.4,720,0
GRZ,D,20250411,000000,9.5,9.5,9.5,9.5,2,0
GRZ,D,20250414,000000,9.5,9.5,9.5,9.5,2,0
GRZ,D,20250416,000000,9.5,9.5,9.45,9.45,60,0
