<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INT,D,20081216,000000,2.12898,2.23435,2.12898,2.23435,114188.13070943784,0
INT,D,20081218,000000,2.14974,2.18778,2.14974,2.18778,59129.134652023444,0
INT,D,20081219,000000,2.19198,2.19198,2.19198,2.19198,116.32971878538615,0
INT,D,20081222,000000,2.19198,2.19198,2.19198,2.19198,116.32971878538615,0
INT,D,20081223,000000,2.19198,2.19198,2.19198,2.19198,67.27501809275454,0
INT,D,20081229,000000,2.19198,2.19198,2.19198,2.19198,46.25157493876856,0
INT,D,20081230,000000,2.19198,2.19198,2.19198,2.19198,23.82656890785105,0
INT,D,20081231,000000,2.19198,2.19198,2.19198,2.19198,23.82656890785105,0
INT,D,20090105,000000,2.19198,2.19198,2.19198,2.19198,23.82656890785105,0
INT,D,20090106,000000,2.19198,2.19198,2.19198,2.19198,23.82656890785105,0
INT,D,20090107,000000,2.19198,2.19198,2.19198,2.19198,23.82656890785105,0
INT,D,20090108,000000,2.19198,2.19198,2.19198,2.19198,23.82656890785105,0
INT,D,20090109,000000,2.19198,2.19198,2.19198,2.19198,23.82656890785105,0
INT,D,20090112,000000,2.19198,2.19198,2.19198,2.19198,23.82656890785105,0
INT,D,20090113,000000,2.19198,2.19198,1.75355,1.75355,1512.2863442100604,0
INT,D,20090114,000000,1.68626,1.68626,1.68626,1.68626,23.82656890785105,0
INT,D,20090115,000000,1.85472,2.02346,1.85472,2.02346,873.1736723288836,0
INT,D,20090116,000000,2.06548,2.1078,2.06548,2.1078,592.8610969423971,0
INT,D,20090119,000000,2.1078,2.1078,2.1078,2.1078,23.82656890785105,0
INT,D,20090120,000000,2.1078,2.1078,2.1078,2.1078,23.82656890785105,0
INT,D,20090121,000000,2.1078,2.1078,2.1078,2.1078,23.82656890785105,0
INT,D,20090122,000000,2.1078,2.1078,2.1078,2.1078,23.82656890785105,0
INT,D,20090123,000000,2.1078,2.1078,2.1078,2.1078,23.82656890785105,0
INT,D,20090126,000000,2.1078,2.1078,2.1078,2.1078,23.82656890785105,0
INT,D,20090127,000000,2.1078,2.1078,2.1078,2.1078,23.82656890785105,0
INT,D,20090128,000000,2.1078,2.1078,2.1078,2.1078,23.82656890785105,0
INT,D,20090129,000000,2.1078,2.1078,2.1078,2.1078,23.82656890785105,0
INT,D,20090130,000000,2.1078,2.1078,2.1078,2.1078,23.82656890785105,0
INT,D,20090202,000000,2.1078,2.1078,2.1078,2.1078,23.82656890785105,0
INT,D,20090203,000000,2.1078,2.1078,2.1078,2.1078,23.82656890785105,0
INT,D,20090204,000000,2.1078,2.1078,2.1078,2.1078,23.82656890785105,0
INT,D,20090205,000000,2.1078,2.1078,2.1078,2.1078,23.82656890785105,0
INT,D,20090206,000000,2.1078,2.1078,2.1078,2.1078,23.82656890785105,0
INT,D,20090209,000000,2.1078,2.1078,2.1078,2.1078,23.82656890785105,0
INT,D,20090210,000000,2.1078,2.1078,2.1078,2.1078,23.82656890785105,0
INT,D,20090211,000000,2.1078,2.1078,2.1078,2.1078,23.82656890785105,0
INT,D,20090212,000000,2.1078,2.1078,2.1078,2.1078,23.82656890785105,0
INT,D,20090213,000000,2.1078,2.1078,2.1078,2.1078,23.82656890785105,0
INT,D,20090216,000000,2.1078,2.1078,2.1078,2.1078,23.82656890785105,0
INT,D,20090217,000000,2.1078,2.1078,2.1078,2.1078,23.82656890785105,0
INT,D,20090218,000000,2.1078,2.1078,2.1078,2.1078,23.82656890785105,0
INT,D,20090219,000000,2.1078,2.1078,2.1078,2.1078,23.82656890785105,0
INT,D,20090220,000000,2.1078,2.1078,2.1078,2.1078,23.82656890785105,0
INT,D,20090223,000000,2.1078,2.1078,2.1078,2.1078,23.82656890785105,0
INT,D,20090224,000000,2.1078,2.1078,2.1078,2.1078,23.82656890785105,0
