<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LUG,D,20071120,000000,11.5008,11.5008,10.038,11.0839,26654.2363645716,0
LUG,D,20071121,000000,10.8736,10.8736,9.61825,10.8736,7087.6909093396,0
LUG,D,20071122,000000,10.6642,10.6642,10.2464,10.4568,1797.0545455176,0
LUG,D,20071123,000000,10.4568,10.6642,10.4568,10.4568,2220.9272728052,0
LUG,D,20071126,000000,10.4568,10.4568,9.82956,10.4568,1409.454545504,0
LUG,D,20071127,000000,10.4568,10.4568,10.4568,10.4568,419.72727274199997,0
LUG,D,20071128,000000,10.038,10.4568,10.038,10.4568,438.3818181972,0
LUG,D,20071129,000000,10.4568,10.4568,10.2464,10.4568,1541.0727273267998,0
LUG,D,20071130,000000,10.4568,10.4568,10.038,10.4568,1080.9272727651999,0
LUG,D,20071203,000000,10.4568,10.4568,10.4568,10.4568,419.72727274199997,0
LUG,D,20071204,000000,10.4568,10.4568,10.038,10.038,457.0363636524,0
LUG,D,20071205,000000,10.4568,10.4568,10.2464,10.2464,491.2363636536,0
LUG,D,20071206,000000,10.4568,10.8736,10.4568,10.8736,2642.72727282,0
LUG,D,20071207,000000,10.8736,11.0839,10.6642,11.0839,5176.636363818,0
LUG,D,20071210,000000,11.0839,12.9665,11.0839,12.3383,15352.690909629599,0
LUG,D,20071211,000000,12.5468,12.5468,11.5008,11.9196,2615.7818182736,0
LUG,D,20071212,000000,11.5008,11.7111,11.0839,11.7111,2300.7272728079997,0
LUG,D,20071213,000000,11.7111,11.7111,11.5008,11.5008,881.9454545763999,0
LUG,D,20071214,000000,11.2924,11.2924,11.2924,11.2924,841.5272727568,0
LUG,D,20071217,000000,10.6642,10.6642,10.6642,10.6642,303.6545454652,0
LUG,D,20071218,000000,10.4568,11.5008,10.4568,11.5008,4858.4727274432,0
LUG,D,20071219,000000,11.2924,11.2924,11.0839,11.2924,1284.0545454996,0
LUG,D,20071220,000000,11.0839,13.173,11.0839,13.173,44946.0545470316,0
LUG,D,20071221,000000,12.5468,13.173,12.3383,13.173,11500.5272731308,0
LUG,D,20071227,000000,13.173,13.3833,12.9665,13.3833,19079.454546123998,0
LUG,D,20071228,000000,13.3833,13.5937,13.3833,13.3833,8280.545454836,0
LUG,D,20080102,000000,13.5937,13.8011,13.5937,13.8011,8461.909091206,0
