<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MLM,D,20140313,000000,0.0527616,0.0721681,0.0424519,0.0545809,4513054.532305612,0
MLM,D,20140314,000000,0.052155,0.0582197,0.04791,0.0576131,1637139.816584688,0
MLM,D,20140317,000000,0.0576131,0.0588259,0.0491228,0.0539744,576614.2140922592,0
MLM,D,20140318,000000,0.0551872,0.0551872,0.0503356,0.0527616,301704.6605635296,0
MLM,D,20140319,000000,0.0503356,0.052155,0.0485162,0.0509422,403872.3425251424,0
MLM,D,20140320,000000,0.0491228,0.0491228,0.0430581,0.0485162,530691.5229587712,0
MLM,D,20140321,000000,0.04791,0.04791,0.0430581,0.0466969,329555.0825830848,0
MLM,D,20140324,000000,0.0466969,0.0485162,0.0430581,0.0485162,304557.308881696,0
MLM,D,20140325,000000,0.0485162,0.0485162,0.0454841,0.0460906,218450.20184432642,0
MLM,D,20140326,000000,0.0485162,0.0485162,0.0454841,0.0460906,103206.5076497312,0
MLM,D,20140327,000000,0.0460906,0.0466969,0.0442712,0.0466969,89800.7094840128,0
MLM,D,20140328,000000,0.0466969,0.0466969,0.0454841,0.0454841,42872.171255680005,0
MLM,D,20140331,000000,0.0454841,0.0466969,0.0406325,0.0418453,121872.39144258879,0
MLM,D,20140401,000000,0.0442712,0.0527616,0.0412388,0.0527616,476375.779837152,0
MLM,D,20140402,000000,0.0557938,0.0557938,0.0466969,0.0557938,480184.8073602528,0
MLM,D,20140403,000000,0.0557938,0.0576131,0.0473034,0.0509422,451064.70949966396,0
MLM,D,20140404,000000,0.0509422,0.0509422,0.0466969,0.0491228,13471.755352265602,0
MLM,D,20140407,000000,0.0491228,0.0491228,0.0436647,0.0485162,193106.15291356482,0
MLM,D,20140408,000000,0.0430581,0.04791,0.0424519,0.04791,137570.2018408224,0
MLM,D,20140409,000000,0.0442712,0.04791,0.0436647,0.0466969,190302.9724853088,0
MLM,D,20140410,000000,0.0460906,0.0466969,0.0460906,0.0466969,27570.103976729602,0
MLM,D,20140411,000000,0.0466969,0.0466969,0.0436647,0.0442712,106817.6636131904,0
MLM,D,20140414,000000,0.0448775,0.0466969,0.0448775,0.0448775,61719.437311542395,0
MLM,D,20140415,000000,0.0460906,0.0460906,0.0436647,0.0436647,9893.57798208,0
MLM,D,20140416,000000,0.0460906,0.0466969,0.0460906,0.0460906,91614.5321140608,0
MLM,D,20140417,000000,0.0460906,0.0466969,0.0436647,0.0466969,92471.9755391744,0
MLM,D,20140422,000000,0.0466969,0.0485162,0.0466969,0.0485162,84672.53822996799,0
MLM,D,20140423,000000,0.0485162,0.0485162,0.0448775,0.0448775,70903.97553824,0
MLM,D,20140424,000000,0.0448775,0.0497294,0.0448775,0.04791,55420.52599628479,0
MLM,D,20140425,000000,0.0491228,0.0491228,0.0454841,0.0454841,32.9785932736,0
MLM,D,20140428,000000,0.0491228,0.0491228,0.0491228,0.0491228,13191.43730944,0
MLM,D,20140429,000000,0.0485162,0.0485162,0.0436647,0.0448775,947804.770683264,0
MLM,D,20140430,000000,0.0442712,0.0442712,0.0436647,0.0436647,18154.7155971168,0
MLM,D,20140502,000000,0.0430581,0.0460906,0.0430581,0.0460906,105366.605509152,0
MLM,D,20140505,000000,0.04791,0.04791,0.0394194,0.0424519,417096.758427856,0
