<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MNS,D,20120511,000000,9.50389,9.59166,8.71119,9.19906,2693.1988794432,0
MNS,D,20120514,000000,9.06819,9.06819,7.76061,7.76061,856.834733859,0
MNS,D,20120515,000000,8.1966,8.1966,6.20855,6.49622,1808.9859943248,0
MNS,D,20120516,000000,6.32176,6.32176,5.40628,5.40628,850.7507002458,0
MNS,D,20120521,000000,5.05747,5.05747,5.05747,5.05747,34.4761904748,0
MNS,D,20120523,000000,4.80461,4.80461,4.63883,4.63883,1174.2184873476,0
MNS,D,20120525,000000,5.40628,6.48744,4.88301,6.48744,993.725490156,0
MNS,D,20120528,000000,5.49346,5.49346,5.49346,5.49346,160.2128851476,0
MNS,D,20120601,000000,5.40628,5.40628,5.40628,5.40628,114.5826330486,0
MNS,D,20120605,000000,5.3975,5.3975,5.3975,5.3975,5.070028011,0
MNS,D,20120606,000000,5.38883,5.38883,5.38883,5.38883,5.070028011,0
MNS,D,20120611,000000,5.319,5.319,5.09238,5.23183,423.8543417196,0
MNS,D,20120613,000000,5.22305,5.22305,4.97897,4.97897,514.1008403154,0
MNS,D,20120614,000000,4.62137,4.88301,4.57788,4.88301,147.030812319,0
MNS,D,20120615,000000,5.05747,5.05747,5.05747,5.05747,114.5826330486,0
MNS,D,20120622,000000,5.04879,5.04879,4.80461,4.80461,344.761904748,0
MNS,D,20120725,000000,4.80461,4.80461,4.80461,4.80461,11.1540616242,0
MNS,D,20120727,000000,4.57788,4.57788,4.57788,4.57788,56.7843137232,0
MNS,D,20120801,000000,4.79583,4.79583,4.79583,4.79583,5.070028011,0
MNS,D,20120802,000000,4.79583,4.79583,4.79583,4.79583,2.0280112044,0
MNS,D,20120803,000000,4.79583,4.79583,4.79583,4.79583,1.0140056022,0
MNS,D,20120821,000000,4.78715,4.78715,4.78715,4.78715,11.1540616242,0
MNS,D,20120906,000000,4.78715,5.23183,4.78715,5.23183,1535.2044817308,0
MNS,D,20120907,000000,4.93538,6.10381,4.93538,6.10381,1361.8095237546,0
MNS,D,20120910,000000,6.53981,6.53981,6.10381,6.10381,252.4873949478,0
MNS,D,20120912,000000,6.88852,6.88852,6.88852,6.88852,5.070028011,0
MNS,D,20120913,000000,6.88852,6.88852,5.80736,6.27817,763.5462184566,0
MNS,D,20120914,000000,6.25204,6.27817,5.79859,6.27817,786.8683473072,0
MNS,D,20120917,000000,6.53981,6.53981,6.05154,6.05154,510.0448179066,0
MNS,D,20120918,000000,6.05154,6.05154,5.60687,5.60687,273.781512594,0
MNS,D,20120919,000000,5.60687,5.60687,5.27541,5.27541,432.9803921394,0
MNS,D,20121011,000000,6.27817,6.27817,6.27817,6.27817,11.1540616242,0
MNS,D,20121016,000000,6.26949,6.26949,5.80736,5.80736,142.9747899102,0
MNS,D,20121026,000000,5.40628,5.40628,5.40628,5.40628,11.1540616242,0
MNS,D,20121029,000000,5.49346,5.49346,5.49346,5.49346,171.3669467718,0
MNS,D,20121105,000000,5.755,5.755,5.755,5.755,2.0280112044,0
MNS,D,20121106,000000,5.755,5.755,5.755,5.755,5.070028011,0
MNS,D,20121107,000000,5.755,5.755,5.05747,5.05747,235.2492997104,0
MNS,D,20121108,000000,5.23183,5.23183,4.79583,4.79583,131.820728286,0
MNS,D,20121109,000000,4.88301,4.88301,4.35984,4.35984,116.610644253,0
MNS,D,20130128,000000,3.92394,3.92394,3.92394,3.92394,229.1652660972,0
MNS,D,20130308,000000,4.14189,4.14189,3.13913,3.13913,149.0588235234,0
MNS,D,20130311,000000,2.51123,2.51123,2.01419,2.14506,74.0224089606,0
MNS,D,20130312,000000,1.74397,2.09269,1.48234,1.48234,512.072829111,0
MNS,D,20130313,000000,1.42997,1.42997,1.39516,1.39516,12.1680672264,0
MNS,D,20130314,000000,1.67415,1.67415,1.56952,1.56952,31.4341736682,0
MNS,D,20130315,000000,1.56952,1.74397,1.32544,1.39516,2049.3053220462,0
MNS,D,20130318,000000,1.39516,1.39516,1.39516,1.39516,11.1540616242,0
MNS,D,20130319,000000,1.6568,1.70039,1.56952,1.70039,105.4565826288,0
MNS,D,20130320,000000,2.00551,2.00551,1.70039,1.70039,35.490196077,0
MNS,D,20130321,000000,2.17997,2.4416,2.17997,2.4416,80.1064425738,0
MNS,D,20130322,000000,2.92119,2.92119,2.35433,2.35433,58.8123249276,0
MNS,D,20130325,000000,2.62464,2.62464,2.62464,2.62464,43.6022408946,0
MNS,D,20130326,000000,3.14781,3.77562,3.14781,3.77562,783.8263305006,0
MNS,D,20130327,000000,4.52562,4.97029,3.66231,3.92394,865.9607842788,0
MNS,D,20130328,000000,3.90649,3.90649,3.13913,3.13913,513.0868347132,0
