<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PLI,D,20111214,000000,19.7099,20.554,19.2403,19.7099,6946.8684213285,0
PLI,D,20111215,000000,19.7099,22.9941,19.7099,22.2432,10545.785714704,0
PLI,D,20111216,000000,21.5863,23.8392,20.554,23.8392,7090.5751882515,0
PLI,D,20111219,000000,23.4637,25.0587,23.4637,25.0587,8657.812030419,0
PLI,D,20111220,000000,25.0587,26.9361,25.0587,26.9361,1590.1466166045,0
PLI,D,20111221,000000,26.8708,29.0948,26.2793,28.7194,26324.372181496,0
PLI,D,20111222,000000,28.7194,29.0948,28.1566,29.0478,36578.578948821,0
PLI,D,20111223,000000,28.8135,28.8135,27.5929,28.5792,7410.270676986,0
PLI,D,20111227,000000,29.0007,29.0007,27.1522,28.3343,5.2067669175,0
PLI,D,20111228,000000,27.2175,29.4703,27.2175,29.0948,11520.49248166,0
PLI,D,20111229,000000,29.0948,29.0948,27.7341,29.0948,760.187969955,0
PLI,D,20111230,000000,27.7341,30.8781,27.7341,30.8781,14446.695489296,0
PLI,D,20120102,000000,30.9722,30.9722,30.9722,30.9722,14.578947369,0
PLI,D,20120103,000000,29.4232,30.9722,28.1566,30.9626,901.812030111,0
PLI,D,20120104,000000,29.5174,30.9626,28.147,29.9399,540.4624060365,0
PLI,D,20120105,000000,29.4703,29.4703,29.4703,29.4703,26636.778196547,0
PLI,D,20120109,000000,29.4703,29.4703,26.2793,29.0948,832.0413534165,0
PLI,D,20120111,000000,27.2175,30.3154,27.2175,30.3154,599.819548896,0
PLI,D,20120112,000000,30.9722,30.9722,29.0948,30.033,26697.17669279,0
PLI,D,20120113,000000,30.033,30.033,30.033,30.033,20.82706767,0
PLI,D,20120116,000000,30.033,30.033,28.1566,28.1566,110.383458651,0
PLI,D,20120117,000000,27.2175,29.5644,27.2175,29.5644,426.954887235,0
PLI,D,20120118,000000,29.527,29.5644,28.6252,29.5644,382.1766917445,0
PLI,D,20120119,000000,29.405,29.405,28.6252,29.0948,21973.597745233,0
PLI,D,20120120,000000,29.4799,29.5644,29.0948,29.0948,408.210526332,0
PLI,D,20120123,000000,29.0948,29.283,29.0948,29.283,439.451127837,0
PLI,D,20120124,000000,29.0948,29.2917,29.0948,29.2734,159.3270676755,0
PLI,D,20120125,000000,29.3762,29.3762,29.3762,29.3762,3.1240601505,0
PLI,D,20120126,000000,29.0948,29.0948,29.0948,29.0948,3.1240601505,0
PLI,D,20120127,000000,29.0948,29.5548,28.9076,29.5548,660.218045139,0
PLI,D,20120130,000000,29.3013,29.5548,28.1566,29.5548,220.766917302,0
PLI,D,20120131,000000,29.5548,29.5548,29.0948,29.5548,22066.278196365,0
PLI,D,20120201,000000,29.0948,30.0244,29.0948,29.5644,135.375939855,0
PLI,D,20120202,000000,30.0244,30.0244,29.5827,29.5827,15.6203007525,0
PLI,D,20120203,000000,30.0244,30.0244,30.0148,30.0148,101.0112781995,0
PLI,D,20120206,000000,30.0148,30.0148,30.0148,30.0148,10.413533835,0
