<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PLM,D,20080110,000000,0.318,0.318,0.283,0.297,2778760,0
PLM,D,20080111,000000,0.289,0.299,0.238,0.273,226840,0
PLM,D,20080114,000000,0.258,0.258,0.231,0.231,67000,0
PLM,D,20080115,000000,0.231,0.297,0.231,0.294,876160,0
PLM,D,20080116,000000,0.231,0.285,0.231,0.28,194170,0
PLM,D,20080117,000000,0.28,0.284,0.259,0.259,239980,0
PLM,D,20080118,000000,0.255,0.274,0.255,0.274,15480,0
PLM,D,20080121,000000,0.283,0.284,0.279,0.284,117320,0
PLM,D,20080122,000000,0.279,0.279,0.279,0.279,1100,0
PLM,D,20080123,000000,0.27,0.289,0.24,0.246,532540,0
PLM,D,20080124,000000,0.249,0.279,0.242,0.26,56790,0
PLM,D,20080125,000000,0.243,0.25,0.241,0.245,147000,0
PLM,D,20080128,000000,0.24,0.249,0.232,0.249,51910,0
PLM,D,20080130,000000,0.249,0.249,0.212,0.249,15920,0
PLM,D,20080204,000000,0.22,0.248,0.22,0.248,1010,0
PLM,D,20080205,000000,0.248,0.297,0.248,0.278,451650,0
PLM,D,20080206,000000,0.25,0.259,0.246,0.259,450950,0
PLM,D,20080207,000000,0.235,0.268,0.232,0.259,157470,0
PLM,D,20080208,000000,0.26,0.26,0.25,0.25,15500,0
PLM,D,20080211,000000,0.232,0.278,0.232,0.26,23500,0
PLM,D,20080212,000000,0.25,0.26,0.25,0.26,2500,0
PLM,D,20080213,000000,0.231,0.255,0.231,0.255,5600,0
PLM,D,20080214,000000,0.254,0.275,0.254,0.275,95890,0
PLM,D,20080215,000000,0.272,0.272,0.271,0.271,2150,0
PLM,D,20080218,000000,0.271,0.275,0.26,0.273,33150,0
PLM,D,20080220,000000,0.27,0.27,0.27,0.27,5000,0
PLM,D,20080221,000000,0.252,0.269,0.251,0.269,16000,0
PLM,D,20080222,000000,0.265,0.265,0.255,0.265,11000,0
PLM,D,20080225,000000,0.26,0.272,0.26,0.272,750,0
PLM,D,20080226,000000,0.251,0.261,0.241,0.261,65060,0
PLM,D,20080227,000000,0.261,0.261,0.24,0.255,54970,0
PLM,D,20080229,000000,0.267,0.267,0.267,0.267,500,0
PLM,D,20080304,000000,0.233,0.26,0.232,0.26,16000,0
PLM,D,20080305,000000,0.258,0.258,0.258,0.258,200,0
PLM,D,20080307,000000,0.24,0.26,0.24,0.26,18500,0
PLM,D,20080311,000000,0.236,0.251,0.236,0.251,12190,0
PLM,D,20080312,000000,0.25,0.251,0.25,0.251,11000,0
PLM,D,20080313,000000,0.251,0.251,0.251,0.251,200,0
PLM,D,20080314,000000,0.237,0.25,0.235,0.25,8210,0
PLM,D,20080317,000000,0.234,0.244,0.233,0.233,108060,0
PLM,D,20080318,000000,0.24,0.24,0.24,0.24,100,0
PLM,D,20080319,000000,0.24,0.24,0.239,0.239,1110,0
PLM,D,20080320,000000,0.202,0.202,0.202,0.202,120,0
PLM,D,20080325,000000,0.24,0.24,0.205,0.205,11150,0
PLM,D,20080326,000000,0.24,0.24,0.21,0.21,17160,0
