<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCM,D,20221004,000000,51,75.8,51,60,1382,0
RCM,D,20221005,000000,49.9,49.9,47.3,47.5,689,0
RCM,D,20221006,000000,47,48.99,46.6,48.99,80,0
RCM,D,20221007,000000,48.99,48.99,45.4,48.99,93,0
RCM,D,20221010,000000,48.3,48.9,45.025,48.89,107,0
RCM,D,20221011,000000,48.88,48.9,47.4,48.7,103,0
RCM,D,20221012,000000,48.6,48.6,45.57,47.5,104,0
RCM,D,20221013,000000,47.105,48.9,47.105,48.9,107,0
RCM,D,20221014,000000,49,49,49,49,13,0
RCM,D,20221017,000000,49,49,48.7,49,25,0
RCM,D,20221018,000000,49,50,48,50,768,0
RCM,D,20221019,000000,51,55,51,55,40,0
RCM,D,20221020,000000,55,55,55,55,14,0
RCM,D,20221021,000000,55,55,55,55,98,0
RCM,D,20221024,000000,55,55,54,54,72,0
RCM,D,20221025,000000,54,54,54,54,1,0
RCM,D,20221026,000000,54,54,53.4,53.4,37,0
RCM,D,20221027,000000,53.3,65,53.3,59.12,100,0
RCM,D,20221028,000000,59,59.1,59,59.1,2,0
RCM,D,20221031,000000,59.1,59.1,58,58,4,0
RCM,D,20221102,000000,57,57,57,57,1,0
RCM,D,20221103,000000,58.8,60,58,60,105,0
RCM,D,20221104,000000,59.99,59.99,58.2,59,29,0
RCM,D,20221107,000000,58.2,58.2,58.2,58.2,21,0
RCM,D,20221108,000000,58.99,59.8,58.99,59.8,31,0
RCM,D,20221109,000000,59.8,59.8,59.8,59.8,2,0
RCM,D,20221114,000000,59.99,59.99,58.6,58.6,14,0
RCM,D,20221115,000000,59.79,61.8,59.79,61.8,75,0
RCM,D,20221116,000000,61.8,64.35,61.8,64.35,113,0
RCM,D,20221117,000000,64.5,64.5,64.5,64.5,6,0
RCM,D,20221118,000000,64.49,64.5,59,61,352,0
RCM,D,20221121,000000,59,61.9,55,61.9,53,0
RCM,D,20221122,000000,58.6,58.6,58.6,58.6,3,0
RCM,D,20221123,000000,59.6,60.2,58.6,58.6,22,0
RCM,D,20221124,000000,60.2,60.2,60.2,60.2,4,0
RCM,D,20221125,000000,59.6,64.2,59.6,64.2,114,0
RCM,D,20221128,000000,64.97,64.97,64.8,64.97,53,0
RCM,D,20221129,000000,63,64.97,61.71,64.97,22,0
RCM,D,20221130,000000,64.9,73.9,64.77,73.9,151,0
RCM,D,20221201,000000,73.9,73.9,73.9,73.9,1,0
RCM,D,20221202,000000,71,72,71,72,6,0
RCM,D,20221205,000000,72.4,73.9,72.4,73.9,102,0
RCM,D,20221206,000000,73.9,75.3,73.8,75.3,101,0
RCM,D,20221207,000000,75.3,88,75.3,76.9,314,0
RCM,D,20221208,000000,80,89,80,89,35,0
RCM,D,20221209,000000,89,89,89,89,11,0
RCM,D,20221212,000000,89,89,88.5,88.5,2,0
RCM,D,20221213,000000,89,89,88.9,88.9,3,0
RCM,D,20221214,000000,89,89,89,89,1,0
RCM,D,20221215,000000,89,89,73.2,84.92,84,0
RCM,D,20221216,000000,81,81.9,73.7,78,53,0
RCM,D,20221219,000000,75,76,61,76,71,0
RCM,D,20221220,000000,76,76,76,76,1,0
RCM,D,20221221,000000,76,76,76,76,7,0
RCM,D,20221222,000000,75.99,76,75.99,76,6,0
RCM,D,20221223,000000,76,76,76,76,1,0
RCM,D,20221227,000000,76,76,76,76,1,0
RCM,D,20221228,000000,76,76,76,76,1,0
RCM,D,20221229,000000,76,76,76,76,1,0
RCM,D,20221230,000000,76,76,76,76,1,0
RCM,D,20230102,000000,76,76,76,76,1,0
RCM,D,20230103,000000,76,76,76,76,1,0
RCM,D,20230104,000000,76,76,76,76,1,0
RCM,D,20230105,000000,76,76,76,76,1,0
RCM,D,20230109,000000,75.8,87,75.8,87,67,0
RCM,D,20230110,000000,82,82,82,82,1,0
RCM,D,20230111,000000,82,82,82,82,1,0
RCM,D,20230112,000000,81.5,81.5,81.5,81.5,1,0
RCM,D,20230113,000000,81.5,81.5,81.5,81.5,1,0
RCM,D,20230116,000000,81.5,81.5,81.5,81.5,1,0
RCM,D,20230117,000000,81.5,81.5,81.5,81.5,1,0
RCM,D,20230119,000000,81.5,81.5,77,77,7,0
RCM,D,20230120,000000,79.5,80.5,79.5,80.5,3,0
RCM,D,20230127,000000,81,81,81,81,1,0
RCM,D,20230130,000000,80,80,80,80,1,0
RCM,D,20230131,000000,79,79,79,79,1,0
RCM,D,20230202,000000,79,79,79,79,1,0
RCM,D,20230210,000000,76,76,76,76,2,0
RCM,D,20230214,000000,76,76,76,76,1,0
RCM,D,20230216,000000,72,72,72,72,17,0
RCM,D,20230221,000000,71,75.5,71,75.5,34,0
RCM,D,20230222,000000,72,74.5,72,74.5,4,0
RCM,D,20230223,000000,74.5,75,74.5,75,10,0
RCM,D,20230224,000000,75,75,74.5,75,5,0
RCM,D,20230227,000000,75,75,72,75,8,0
RCM,D,20230228,000000,75,78,75,78,40,0
RCM,D,20230302,000000,76,76,76,76,20,0
RCM,D,20230303,000000,77.5,77.5,77.5,77.5,2,0
RCM,D,20230306,000000,77,77,77,77,1,0
RCM,D,20230307,000000,75,75,75,75,3,0
RCM,D,20230308,000000,75,75,75,75,1,0
RCM,D,20230309,000000,76,76,76,76,1,0
RCM,D,20230313,000000,75,75,75,75,1,0
RCM,D,20230314,000000,75,75,75,75,1,0
RCM,D,20230315,000000,74,74,74,74,1,0
RCM,D,20230316,000000,74,74,74,74,1,0
RCM,D,20230322,000000,74,74,74,74,1,0
RCM,D,20230323,000000,74,74,74,74,1,0
RCM,D,20230324,000000,74,74,74,74,1,0
RCM,D,20230327,000000,73,73,73,73,1,0
RCM,D,20230329,000000,74,74,74,74,1,0
RCM,D,20230330,000000,73,73,73,73,1,0
RCM,D,20230331,000000,73,73,73,73,1,0
RCM,D,20230403,000000,72,72,72,72,2,0
RCM,D,20230404,000000,72,72,72,72,1,0
RCM,D,20230405,000000,71.5,81.5,71.5,81.5,56,0
RCM,D,20230411,000000,81,81,81,81,1,0
RCM,D,20230412,000000,78,78,78,78,2,0
RCM,D,20230413,000000,78,78,78,78,1,0
RCM,D,20230414,000000,78,78,78,78,1,0
RCM,D,20230417,000000,78,78,78,78,1,0
RCM,D,20230419,000000,76,76,76,76,2,0
RCM,D,20230420,000000,76,76,76,76,1,0
RCM,D,20230421,000000,76,76,76,76,1,0
RCM,D,20230424,000000,76,76,76,76,1,0
RCM,D,20230425,000000,76,76,76,76,1,0
RCM,D,20230426,000000,76,76,76,76,1,0
RCM,D,20230427,000000,74,74,73,73,25,0
RCM,D,20230505,000000,71,71,70,70,4,0
RCM,D,20230510,000000,69,69,69,69,20,0
RCM,D,20230511,000000,67.5,67.5,67.5,67.5,2,0
RCM,D,20230512,000000,67.5,67.5,67.5,67.5,18,0
RCM,D,20230516,000000,66.5,66.5,66.5,66.5,172,0
RCM,D,20230524,000000,66.5,66.5,66.5,66.5,10,0
RCM,D,20230531,000000,65.5,65.5,65.5,65.5,3,0
RCM,D,20230601,000000,63.5,63.5,62.5,62.5,21,0
RCM,D,20230612,000000,60,60,60,60,10,0
RCM,D,20230613,000000,59,59,59,59,40,0
RCM,D,20230614,000000,58.5,65,58,65,47,0
RCM,D,20230615,000000,58,58,49.2,49.2,102,0
RCM,D,20230616,000000,51,55.5,51,55.5,25,0
RCM,D,20230619,000000,54.5,65,54.5,65,80,0
RCM,D,20230620,000000,68,70.5,65,70,30,0
RCM,D,20230621,000000,70,70,70,70,2,0
RCM,D,20230627,000000,65,65,59,59,34,0
RCM,D,20230628,000000,63,75.5,63,75,444,0
RCM,D,20230705,000000,74.5,74.5,74.5,74.5,1,0
RCM,D,20230714,000000,71,71,69,69,8,0
RCM,D,20230718,000000,67,67,66.5,66.5,5,0
RCM,D,20230726,000000,64,64,64,64,5,0
RCM,D,20230731,000000,59,59,59,59,14,0
RCM,D,20230801,000000,64.5,66,64.5,66,22,0
RCM,D,20230807,000000,66,66,66,66,2,0
RCM,D,20230808,000000,66.5,73,66.5,73,37,0
RCM,D,20230809,000000,67,67,63.5,63.5,39,0
RCM,D,20230824,000000,66,66,65.5,65.5,10,0
RCM,D,20230830,000000,66,67,66,67,10,0
RCM,D,20230901,000000,66,66,66,66,1,0
RCM,D,20230904,000000,66,66,63,63,64,0
RCM,D,20230905,000000,62,66,61.5,65,46,0
RCM,D,20230906,000000,67.5,67.5,67.5,67.5,2,0
RCM,D,20230907,000000,67,67,67,67,4,0
RCM,D,20230912,000000,65.5,65.5,61,61,31,0
RCM,D,20230915,000000,65,65,65,65,1,0
RCM,D,20230921,000000,62.5,62.5,61,61,46,0
RCM,D,20230928,000000,59.5,61.5,59,61.5,35,0
RCM,D,20230929,000000,61.5,67.5,61.5,67.5,31,0
RCM,D,20231025,000000,67,67,67,67,1,0
RCM,D,20231027,000000,65,65,62.5,62.5,8,0
RCM,D,20231103,000000,62.5,62.5,62,62,25,0
RCM,D,20231114,000000,62,70,62,70,38,0
RCM,D,20231123,000000,65,65,59,59,61,0
RCM,D,20231201,000000,61,62,61,62,6,0
RCM,D,20231211,000000,65,65,65,65,35,0
RCM,D,20231212,000000,65,72,65,72,218,0
RCM,D,20231213,000000,81,81,81,81,250,0
RCM,D,20231214,000000,72.5,78,72.5,78,16,0
RCM,D,20231218,000000,74,74,68,68,40,0
RCM,D,20231219,000000,70,74,70,70,94,0
RCM,D,20231220,000000,69.5,74,69.5,74,17,0
RCM,D,20231221,000000,72,78,72,78,41,0
RCM,D,20231222,000000,73,77,73,77,5,0
RCM,D,20231228,000000,74,77,74,77,4,0
RCM,D,20231229,000000,74,74,74,74,25,0
RCM,D,20240102,000000,71,71,71,71,15,0
RCM,D,20240103,000000,70,70,70,70,18,0
RCM,D,20240110,000000,70,70,70,70,2,0
RCM,D,20240111,000000,68,68,61,61,151,0
RCM,D,20240112,000000,64.5,64.5,64.5,64.5,20,0
RCM,D,20240125,000000,63,63,63,63,10,0
RCM,D,20240129,000000,62,62,61.5,61.5,22,0
RCM,D,20240130,000000,61,61,61,61,10,0
RCM,D,20240131,000000,60,60,60,60,3,0
RCM,D,20240205,000000,59,66,59,61,277,0
RCM,D,20240208,000000,60,60,60,60,3,0
RCM,D,20240212,000000,62,62,62,62,20,0
RCM,D,20240213,000000,62,62,60,60,70,0
RCM,D,20240214,000000,61,61.5,61,61.5,23,0
RCM,D,20240219,000000,63,75,63,75,139,0
RCM,D,20240220,000000,75,75,75,75,8,0
RCM,D,20240221,000000,69,70,61,61,156,0
RCM,D,20240222,000000,62.5,63,61,63,202,0
RCM,D,20240223,000000,63,66,63,66,44,0
RCM,D,20240226,000000,63.5,67.5,63,67.5,27,0
RCM,D,20240227,000000,63,63,61.5,61.5,93,0
RCM,D,20240228,000000,61.5,61.5,61.5,61.5,2,0
RCM,D,20240229,000000,61.5,63,61.5,63,6,0
RCM,D,20240305,000000,63,67,63,64,71,0
RCM,D,20240306,000000,64,64,64,64,23,0
RCM,D,20240312,000000,63.5,63.5,63,63,25,0
RCM,D,20240315,000000,63.5,67,63,63,135,0
RCM,D,20240318,000000,64,67.5,63.5,65,153,0
RCM,D,20240319,000000,63,63,63,63,30,0
RCM,D,20240320,000000,60,60,59.5,60,520,0
RCM,D,20240322,000000,60,60,60,60,2,0
RCM,D,20240409,000000,58.5,61,53.5,61,72,0
RCM,D,20240412,000000,57,57,57,57,3,0
RCM,D,20240415,000000,55,55,55,55,25,0
RCM,D,20240416,000000,54,54,54,54,19,0
RCM,D,20240417,000000,52.5,52.5,51,51,66,0
RCM,D,20240418,000000,52.5,53,52.5,53,22,0
RCM,D,20240423,000000,52,52,52,52,2,0
RCM,D,20240426,000000,54.5,54.5,54,54,50,0
RCM,D,20240429,000000,53,53,52.5,52.5,269,0
RCM,D,20240507,000000,53,53,53,53,292,0
RCM,D,20240508,000000,52,52,50.5,50.5,27,0
RCM,D,20240514,000000,51,52,51,51.5,73,0
RCM,D,20240516,000000,50,50,49,49,9,0
RCM,D,20240517,000000,51,51,50,50,111,0
RCM,D,20240521,000000,52.5,52.5,52.5,52.5,9,0
RCM,D,20240527,000000,53,53.5,53,53.5,17,0
RCM,D,20240528,000000,54.5,54.5,54.5,54.5,20,0
RCM,D,20240529,000000,53,53,53,53,20,0
RCM,D,20240531,000000,53.5,53.5,52,52,34,0
RCM,D,20241217,000000,47.4,47.4,47.4,47.4,202,0
RCM,D,20241218,000000,45,48,45,48,22,0
RCM,D,20241219,000000,42,42,42,42,38,0
RCM,D,20241220,000000,42,42,42,42,1,0
RCM,D,20241223,000000,40,40,40,40,3,0
RCM,D,20241227,000000,42,42,42,42,10,0
RCM,D,20250103,000000,43,51,43,51,71,0
RCM,D,20250107,000000,49,58,49,58,36,0
RCM,D,20250108,000000,56,56,56,56,2,0
RCM,D,20250109,000000,56,56,56,56,1,0
RCM,D,20250114,000000,53.5,53.5,52,52,17,0
RCM,D,20250115,000000,50,50,49.8,50,74,0
RCM,D,20250122,000000,49.4,49.4,48,48,35,0
RCM,D,20250127,000000,48,48,48,48,1,0
RCM,D,20250128,000000,48,48,48,48,1,0
RCM,D,20250129,000000,48,48,48,48,57,0
RCM,D,20250130,000000,48,48,48,48,1,0
RCM,D,20250203,000000,48,48,47,47,17,0
RCM,D,20250204,000000,46.4,46.4,45,46.4,148,0
RCM,D,20250205,000000,45.2,45.2,45,45,10,0
RCM,D,20250213,000000,46.2,47,46.2,47,10,0
RCM,D,20250214,000000,45.6,49,45,49,184,0
RCM,D,20250217,000000,48.4,55,48.4,55,178,0
RCM,D,20250218,000000,48,51.5,48,51.5,91,0
RCM,D,20250219,000000,50,50,49.8,49.8,67,0
RCM,D,20250220,000000,48,48,47.6,47.6,8,0
RCM,D,20250224,000000,46.2,49.6,40,46,184,0
RCM,D,20250225,000000,46,47,45.6,47,105,0
RCM,D,20250226,000000,47,47,45,45,4,0
RCM,D,20250303,000000,45,45,45,45,2,0
RCM,D,20250304,000000,44.8,44.8,40,40,83,0
RCM,D,20250305,000000,40.2,40.2,40,40,35,0
RCM,D,20250306,000000,40,40,32,38.8,282,0
RCM,D,20250307,000000,38,38,38,38,30,0
RCM,D,20250310,000000,35.2,37,35,37,46,0
RCM,D,20250311,000000,37.4,37.4,37.4,37.4,1,0
RCM,D,20250312,000000,37.4,37.4,37.4,37.4,3,0
RCM,D,20250320,000000,36.8,36.8,34,34.6,124,0
RCM,D,20250321,000000,34.6,36,22.4,27.8,212,0
RCM,D,20250324,000000,22.8,22.8,18.3,20.4,495,0
RCM,D,20250325,000000,18.5,22.2,18.5,22.2,316,0
RCM,D,20250326,000000,23,23.4,23,23.4,35,0
RCM,D,20250327,000000,23.6,23.6,23.6,23.6,8,0
RCM,D,20250328,000000,22.4,23,22.4,23,23,0
RCM,D,20250331,000000,22.4,23,22.4,23,3,0
RCM,D,20250401,000000,23,24,23,24,50,0
RCM,D,20250407,000000,24.2,24.2,24.2,24.2,16,0
RCM,D,20250410,000000,23.8,25.8,23.8,25.8,101,0
RCM,D,20250411,000000,25.8,29,25.8,29,21,0
RCM,D,20250414,000000,29,29,29,29,4,0
RCM,D,20250415,000000,29.2,29.2,29.2,29.2,2,0
RCM,D,20250423,000000,29.2,29.2,29.2,29.2,1,0
RCM,D,20250424,000000,29.2,29.2,29.2,29.2,9,0
RCM,D,20250425,000000,29.6,29.8,29.6,29.8,5,0
RCM,D,20250430,000000,29.2,29.2,29.2,29.2,2,0
RCM,D,20250507,000000,29.2,29.2,29.2,29.2,1,0
