<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WLI,D,20220624,000000,8.5,8.5,4.3,4.45,42871,0
WLI,D,20220627,000000,4.82,5.65,4.36,5.44,4982,0
WLI,D,20220628,000000,5.78,6.48,5.55,6.1,3864,0
WLI,D,20220629,000000,6.76,7,6,6.29,2682,0
WLI,D,20220630,000000,6.78,6.78,5.701,6.65,1245,0
WLI,D,20220701,000000,6.729,6.92,6.35,6.87,1310,0
WLI,D,20220704,000000,6.85,6.85,5.9,6.799,2466,0
WLI,D,20220705,000000,6.1,6.8,6.1,6.8,1606,0
WLI,D,20220706,000000,6.52,6.8,6.1,6.8,445,0
WLI,D,20220707,000000,6.15,6.8,6.15,6.8,311,0
WLI,D,20220708,000000,6.8,6.8,6.3,6.3,392,0
WLI,D,20220711,000000,6.6,6.65,6.6,6.65,30,0
WLI,D,20220712,000000,6.65,6.75,6.65,6.75,72,0
WLI,D,20220713,000000,6.77,6.77,6.1,6.5,562,0
WLI,D,20220714,000000,6.05,6.4,5.4,6.3,2453,0
WLI,D,20220715,000000,6,6.18,5.251,6.1,622,0
WLI,D,20220719,000000,5.6,6,5.22,6,520,0
WLI,D,20220720,000000,5.48,6.1,5.2,6,815,0
WLI,D,20220721,000000,5.85,6.1,5.5,6,765,0
WLI,D,20220726,000000,5.7,5.95,4.601,5.35,739,0
WLI,D,20220727,000000,5.35,5.35,5.35,5.35,60,0
WLI,D,20220728,000000,5.3,5.3,5.3,5.3,2,0
WLI,D,20220729,000000,5.3,5.3,4.7,5.28,1084,0
WLI,D,20220801,000000,4.8,5.28,4.65,5.02,2618,0
WLI,D,20220802,000000,5,5.2,4.3,4.9,26853,0
WLI,D,20220803,000000,4.88,4.88,4.4,4.72,2180,0
WLI,D,20220804,000000,4.45,4.85,4.3,4.5,5556,0
WLI,D,20220805,000000,4.55,4.6,4.55,4.6,100,0
WLI,D,20220808,000000,4.5,4.8,4.5,4.8,337,0
WLI,D,20220809,000000,4.78,4.78,4.5,4.75,389,0
WLI,D,20220810,000000,4.53,4.75,4.2,4.75,620,0
WLI,D,20220811,000000,4.75,4.79,4.75,4.79,34,0
WLI,D,20220812,000000,4.79,4.79,4.79,4.79,10,0
WLI,D,20220817,000000,4.79,4.79,4.6,4.6,525,0
WLI,D,20220818,000000,4.32,4.56,4.32,4.56,1105,0
WLI,D,20220822,000000,4.8,4.8,4.02,4.33,1004,0
WLI,D,20220823,000000,4.1,4.79,4.1,4.4,970,0
WLI,D,20220824,000000,4.3,4.55,4.3,4.55,390,0
WLI,D,20220825,000000,4.55,4.55,4.2,4.5,530,0
WLI,D,20220829,000000,4.08,4.45,4.08,4.45,353,0
WLI,D,20220830,000000,4.3,4.35,4.1,4.35,215,0
WLI,D,20220902,000000,4.35,4.45,4.35,4.45,330,0
WLI,D,20220905,000000,4.45,4.45,4.45,4.45,50,0
WLI,D,20220907,000000,4.45,4.45,4.45,4.45,3,0
WLI,D,20220909,000000,4.45,4.45,4.45,4.45,3,0
WLI,D,20220912,000000,4.44,4.44,4.22,4.44,498,0
WLI,D,20220913,000000,4.4,4.4,4.4,4.4,3,0
WLI,D,20220914,000000,4.4,4.4,4.4,4.4,3,0
WLI,D,20220915,000000,4.38,4.38,4.38,4.38,3,0
WLI,D,20220916,000000,4.36,4.36,4.36,4.36,3,0
WLI,D,20220919,000000,4.24,4.45,4.24,4.44,288,0
WLI,D,20220920,000000,4.45,4.45,4.45,4.45,10,0
WLI,D,20220921,000000,4.43,4.43,4.43,4.43,3,0
WLI,D,20220922,000000,4.43,4.43,4.43,4.43,3,0
WLI,D,20220923,000000,4.24,4.42,4.16,4.38,450,0
WLI,D,20220927,000000,4.42,4.45,4.42,4.45,90,0
WLI,D,20220928,000000,4.44,4.44,4.44,4.44,50,0
WLI,D,20220929,000000,4.4,4.4,4.4,4.4,3,0
