<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ACP,D,19980602,000000,9.08012,9.08012,9.08012,9.08012,674531.3053438222,0
ACP,D,19980603,000000,9.97603,9.97603,9.97603,9.97603,258581.60106535567,0
ACP,D,19980604,000000,10.8718,10.8718,10.8718,10.8718,765819.026588335,0
ACP,D,19980605,000000,11.0029,11.0029,11.0029,11.0029,294337.04831378075,0
ACP,D,19980608,000000,10.9574,10.9574,10.9574,10.9574,165570.50065686635,0
ACP,D,19980609,000000,10.5097,10.5097,10.5097,10.5097,114365.35618769552,0
ACP,D,19980610,000000,9.65997,9.65997,9.65997,9.65997,228485.51615285967,0
ACP,D,19980615,000000,9.08012,9.08012,9.08012,9.08012,377771.4848313593,0
ACP,D,19980616,000000,9.39534,9.39534,9.39534,9.39534,312501.41799812607,0
ACP,D,19980617,000000,10.2869,10.2869,10.2869,10.2869,192296.88891132685,0
ACP,D,19980618,000000,10.4642,10.4642,10.4642,10.4642,166313.09493077858,0
ACP,D,19980619,000000,10.3768,10.3768,10.3768,10.3768,227477.87643842294,0
ACP,D,19980622,000000,10.6474,10.6474,10.6474,10.6474,325573.8794615124,0
ACP,D,19980623,000000,10.9574,10.9574,10.9574,10.9574,312817.83788527915,0
ACP,D,19980624,000000,10.9574,10.9574,10.9574,10.9574,111214.00092780872,0
ACP,D,19980625,000000,10.9574,10.9574,10.9574,10.9574,126985.95604101356,0
ACP,D,19980626,000000,11.3138,11.3138,11.3138,11.3138,461987.0464578139,0
ACP,D,19980629,000000,11.5391,11.5391,11.5391,11.5391,210209.05676679208,0
ACP,D,19980630,000000,11.6298,11.6298,11.6298,11.6298,188353.90013302563,0
ACP,D,19980701,000000,12.2105,12.2105,12.2105,12.2105,244506.17029176513,0
ACP,D,19980702,000000,12.4341,12.4341,12.4341,12.4341,207518.90392545896,0
ACP,D,19980703,000000,12.7492,12.7492,12.7492,12.7492,218187.27480711343,0
ACP,D,19980706,000000,13.1937,13.1937,13.1937,13.1937,249668.13457630307,0
ACP,D,19980707,000000,13.5543,13.5543,13.5543,13.5543,482952.49108416156,0
ACP,D,19980708,000000,13.4163,13.4163,13.4163,13.4163,150291.2731908201,0
ACP,D,19980709,000000,12.7492,12.7492,12.7492,12.7492,335570.87973388657,0
ACP,D,19980710,000000,12.7492,12.7492,12.7492,12.7492,145636.04776614837,0
ACP,D,19980713,000000,13.6408,13.6408,13.6408,13.6408,59741.47581597982,0
ACP,D,19980714,000000,14.6693,14.6693,14.6693,14.6693,297554.95683406695,0
ACP,D,19980715,000000,14.6693,14.6693,14.6693,14.6693,179205.7458309902,0
ACP,D,19980716,000000,14.5349,14.5349,14.5349,14.5349,114556.84276147182,0
ACP,D,19980717,000000,14.893,14.893,14.893,14.893,198648.63867560265,0
ACP,D,19980720,000000,14.5349,15.5645,14.5349,15.4316,175558.1601207654,0
ACP,D,19980721,000000,15.5645,15.5645,15.1165,15.208,256506.7739824315,0
ACP,D,19980722,000000,14.893,14.893,14.5349,14.6693,216930.9360669659,0
ACP,D,19980723,000000,14.7611,15.5645,14.7611,15.3409,199302.49526898563,0
ACP,D,19980724,000000,14.9837,15.4316,14.9837,15.208,185859.90426970128,0
ACP,D,19980727,000000,15.1165,15.1165,14.3122,14.4493,167220.32095409464,0
ACP,D,19980728,000000,14.5349,14.5349,14.0887,14.2265,238394.94634576782,0
ACP,D,19980729,000000,13.8651,14.2265,13.5543,14.2265,263206.46886247554,0
ACP,D,19980730,000000,14.3122,14.6693,14.0887,14.2265,129441.42106937409,0
ACP,D,19980731,000000,14.6693,14.6693,14.3122,14.4493,139041.43698147783,0
ACP,D,19980803,000000,14.0887,14.3122,14.0006,14.2265,434159.6104041346,0
ACP,D,19980804,000000,14.3122,14.9837,14.3122,14.9837,155328.304161971,0
ACP,D,19980805,000000,14.5349,14.9837,14.5349,14.7611,226612.68405325015,0
ACP,D,19980806,000000,15.208,15.5645,14.893,14.9837,220520.14172421338,0
ACP,D,19980807,000000,15.4316,16.104,15.208,16.104,279453.63760694163,0
ACP,D,19980810,000000,15.6552,16.104,15.6552,15.8788,204058.13438477798,0
ACP,D,19980811,000000,15.3409,15.3409,14.2265,14.4493,337064.24148913316,0
ACP,D,19980812,000000,15.208,15.3409,14.6693,14.9837,310308.66320818395,0
ACP,D,19980813,000000,14.3122,14.3122,13.7778,14.0887,362502.76577484125,0
ACP,D,19980814,000000,14.5349,14.9837,14.5349,14.893,137455.83474253278,0
ACP,D,19980817,000000,14.0887,14.3122,14.0006,14.2265,132381.44053746085,0
ACP,D,19980818,000000,14.7611,14.9837,14.7611,14.7611,163215.44931963665,0
ACP,D,19980819,000000,15.3409,15.3409,14.7611,15.208,230779.85223499578,0
ACP,D,19980820,000000,15.1165,15.208,14.9837,15.1165,321823.5448580507,0
ACP,D,19980821,000000,14.2265,14.4493,14.0887,14.4493,231160.49018043216,0
ACP,D,19980824,000000,14.7611,14.7611,14.4493,14.4493,120030.55652892019,0
ACP,D,19980825,000000,14.9837,15.1165,14.893,14.893,204639.59971245556,0
ACP,D,19980826,000000,14.4493,14.4493,14.0887,14.0887,104739.65305227235,0
ACP,D,19980827,000000,13.5543,13.5543,12.5257,12.5257,159111.331595111,0
ACP,D,19980828,000000,12.2105,12.8827,11.7627,12.5257,213792.4244187337,0
ACP,D,19980831,000000,12.7492,12.7492,12.5257,12.6567,275251.4413934014,0
ACP,D,19980901,000000,11.6298,12.3012,11.6298,12.0778,180300.95562490312,0
ACP,D,19980902,000000,12.7492,13.3299,12.7492,13.1055,267767.1186013019,0
ACP,D,19980903,000000,12.5257,12.5257,11.9853,11.9853,127312.88433770505,0
ACP,D,19980904,000000,12.5257,12.9727,12.5257,12.8827,276129.4773902289,0
