<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AGO,D,19990420,000000,33.6015,33.6015,31.0434,31.7149,318285.1764551808,0
AGO,D,19990421,000000,31.6505,31.786,31.3114,31.4469,238490.1829949912,0
AGO,D,19990422,000000,31.6505,33.6015,31.6505,33.0646,231119.3921456748,0
AGO,D,19990423,000000,33.2682,34.3422,33.0646,33.467,244179.12417118638,0
AGO,D,19990426,000000,33.3326,33.5382,33.0002,33.0002,134126.2287516772,0
AGO,D,19990427,000000,32.6611,32.6611,31.9916,32.1885,125959.15032069999,0
AGO,D,19990428,000000,31.9916,31.9916,30.9791,31.1145,75819.7124146304,0
AGO,D,19990429,000000,30.9089,31.517,30.6409,30.9791,93285.7058778372,0
AGO,D,19990430,000000,30.9089,31.4469,30.9089,31.2471,76170.653591084,0
AGO,D,19990504,000000,31.786,31.9916,31.2471,31.5794,25984.0130706376,0
AGO,D,19990505,000000,31.3825,31.3825,30.7744,30.9791,75092.1764669532,0
AGO,D,19990506,000000,30.9791,30.9791,30.6409,30.6409,96765.35947244,0
AGO,D,19990507,000000,30.6409,30.9791,30.3008,30.5708,103999.67319757999,0
AGO,D,19990510,000000,30.372,30.372,29.6294,29.9695,32090.5947696884,0
AGO,D,19990511,000000,29.4959,29.4959,28.8878,29.2269,140002.9542415888,0
AGO,D,19990512,000000,29.2912,29.3614,28.7533,28.9589,89880.9607799628,0
AGO,D,19990513,000000,29.0232,29.6294,29.0232,29.6294,44420.7385599412,0
AGO,D,19990514,000000,30.3008,30.3008,29.2269,29.3614,39923.1503248648,0
AGO,D,19990517,000000,29.1558,29.2269,28.8878,29.0934,100429.71894938679,0
AGO,D,19990518,000000,29.4959,29.6294,29.0934,29.4257,25161.045750416,0
AGO,D,19990519,000000,29.4257,29.4257,29.1558,29.3614,53136.8039189964,0
AGO,D,19990520,000000,29.3614,29.567,29.2912,29.2912,100626.7385572204,0
AGO,D,19990521,000000,29.7005,30.372,29.7005,30.1673,84562.4575122464,0
AGO,D,19990524,000000,30.372,30.372,29.8983,30.103,40852.836599329596,0
AGO,D,19990525,000000,29.567,29.7639,29.2912,29.6294,52108.6078406148,0
AGO,D,19990526,000000,29.6294,29.835,29.4959,29.6294,33202.9346389156,0
AGO,D,19990527,000000,29.567,29.567,29.2912,29.2912,27796.1830051904,0
AGO,D,19990528,000000,29.0232,29.2912,29.0232,29.2269,27446.2679725276,0
AGO,D,19990531,000000,29.0232,29.0934,28.8878,29.0232,16631.738561286398,0
AGO,D,19990601,000000,29.2912,29.8983,29.2912,29.4257,32010.555554005998,0
AGO,D,19990602,000000,29.6294,30.103,29.6294,29.7639,20984.640521859998,0
AGO,D,19990607,000000,30.1673,30.6409,30.1673,30.6409,34551.2875800268,0
AGO,D,19990608,000000,30.7111,30.7111,30.4353,30.5064,55002.3333306708,0
AGO,D,19990609,000000,30.5064,31.786,30.5064,31.5794,80676.4509764868,0
AGO,D,19990610,000000,31.3825,31.8562,31.1769,31.1769,44289.3921547188,0
AGO,D,19990611,000000,31.6505,31.8562,31.3114,31.786,50111.732023717996,0
AGO,D,19990614,000000,31.6505,31.6505,31.1145,31.3114,19110.9019598592,0
AGO,D,19990615,000000,31.1145,31.3825,31.1145,31.2471,21321.215685242398,0
AGO,D,19990616,000000,31.1145,31.1145,30.9791,30.9791,17520.3790841192,0
AGO,D,19990617,000000,31.4469,31.9205,31.1769,31.1769,23757.281044601597,0
AGO,D,19990618,000000,31.6505,31.6505,31.1145,31.1145,24577.169933450798,0
AGO,D,19990621,000000,31.5794,31.5794,31.1769,31.3114,26459.117645778,0
AGO,D,19990622,000000,31.5794,32.6611,31.5794,32.322,155266.8431297388,0
AGO,D,19990623,000000,31.9916,32.322,31.9205,32.1242,51875.6732001032,0
AGO,D,19990624,000000,32.322,32.322,31.9916,32.1885,44803.4901939096,0
AGO,D,19990625,000000,31.9916,31.9916,31.2471,31.517,23332.4575152104,0
AGO,D,19990628,000000,31.517,31.517,30.5708,31.4469,28080.424835242,0
AGO,D,19990629,000000,31.3114,31.3114,30.3008,30.7744,7873.601306808399,0
AGO,D,19990630,000000,31.0434,31.0434,30.372,30.5064,11479.4705876796,0
AGO,D,19990701,000000,30.9089,31.6505,30.7111,31.2471,9657.0392152188,0
AGO,D,19990702,000000,32.5266,32.6611,31.7149,31.786,75202.99999635959,0
AGO,D,19990705,000000,31.6505,31.6505,31.4469,31.517,12174.169934051199,0
AGO,D,19990706,000000,31.6505,31.7149,31.517,31.5794,22913.790848564,0
AGO,D,19990707,000000,31.3114,31.6505,31.3114,31.6505,4184.6143788824,0
AGO,D,19990708,000000,31.3825,31.6505,31.3114,31.3114,7250.7320257927995,0
AGO,D,19990709,000000,31.6505,31.6505,31.1769,31.3114,19083.1960775076,0
AGO,D,19990712,000000,31.5794,31.5794,31.1145,31.517,19140.6601297924,0
AGO,D,19990713,000000,30.6409,31.0434,30.6409,30.6409,16981.6535939492,0
AGO,D,19990714,000000,30.9791,31.1769,30.9791,31.1769,20223.2418290864,0
AGO,D,19990715,000000,31.517,32.054,31.517,32.054,62111.4575133332,0
AGO,D,19990716,000000,31.9916,32.322,31.6505,31.9916,127371.12417684079,0
AGO,D,19990719,000000,32.054,32.054,30.5064,31.9916,14183.3594764376,0
AGO,D,19990720,000000,31.9916,31.9916,30.9791,31.0434,8484.1568623344,0
AGO,D,19990721,000000,31.5794,31.5794,30.7744,31.5794,13534.836600652,0
AGO,D,19990722,000000,31.5794,31.5794,31.0434,31.0434,4072.7647056851997,0
AGO,D,19990723,000000,30.9791,31.1769,30.7111,31.1769,3957.8366011156,0
AGO,D,19990726,000000,30.6409,30.6409,29.9695,30.1673,9772.9934635792,0
AGO,D,19990727,000000,30.3008,30.3008,29.9695,30.2375,9421.026143334799,0
AGO,D,19990728,000000,30.1673,30.1673,29.9695,30.1673,21119.065358454798,0
AGO,D,19990729,000000,29.9695,29.9695,29.7005,29.7005,7088.6013068464,0
AGO,D,19990730,000000,29.7005,30.4353,29.7005,30.4353,20414.1045741752,0
AGO,D,19990802,000000,29.9695,30.4353,29.9695,30.1673,3185.1503266432,0
AGO,D,19990803,000000,30.3008,30.3008,30.1673,30.3008,8711.960783892,0
AGO,D,19990804,000000,30.3008,30.3008,30.103,30.3008,4804.405228525599,0
AGO,D,19990805,000000,30.3008,30.3008,30.0319,30.3008,8973.627450545999,0
AGO,D,19990806,000000,30.3008,30.372,30.1673,30.372,6863.8758166612,0
AGO,D,19990809,000000,30.3008,30.6409,30.3008,30.3008,15320.326796644,0
AGO,D,19990810,000000,30.3008,30.3008,29.7639,29.7639,38440.3725471588,0
AGO,D,19990811,000000,30.0319,30.2375,30.0319,30.2375,2885.5163397296,0
AGO,D,19990812,000000,30.3008,30.3008,30.1673,30.3008,5851.0718951416,0
AGO,D,19990813,000000,30.1673,30.3008,30.1673,30.3008,3296.9999998404,0
AGO,D,19990816,000000,30.3008,30.3008,29.9695,30.0319,2453.5098038028,0
AGO,D,19990817,000000,30.3008,30.3008,30.3008,30.3008,1793.6993463183999,0
AGO,D,19990818,000000,30.1673,30.1673,30.1673,30.1673,1785.4901959919998,0
AGO,D,19990819,000000,30.2375,30.5708,29.8983,30.5708,3909.607842948,0
AGO,D,19990820,000000,29.835,29.9695,29.7639,29.8983,6840.2745094728,0
AGO,D,19990823,000000,29.9695,30.0319,29.835,29.835,5221.0196075904,0
AGO,D,19990824,000000,29.9695,30.3008,29.9695,30.3008,10427.6732021096,0
