<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ATR,D,20081218,000000,5.65242,5.65242,4.95699,4.95699,15815.27393661061,0
ATR,D,20081219,000000,4.94958,5.39345,4.94214,5.39345,16827.809888359836,0
ATR,D,20081222,000000,5.39345,5.39345,5.14198,5.20112,15226.441398298923,0
ATR,D,20081223,000000,5.17159,5.17159,5.17159,5.17159,277.7753495948606,0
ATR,D,20081229,000000,5.17893,5.29728,5.17893,5.28993,5058.839546538658,0
ATR,D,20081230,000000,5.29728,5.37877,5.17893,5.28993,10052.39548556885,0
ATR,D,20081231,000000,5.36385,5.39345,5.31955,5.31955,6285.147311109517,0
ATR,D,20090105,000000,5.84484,5.84484,5.20112,5.3269,3175.8554946767235,0
ATR,D,20090106,000000,5.20854,5.65984,5.17893,5.65984,17931.230862325854,0
ATR,D,20090107,000000,5.54883,5.91874,5.40096,5.40096,58876.8534774913,0
ATR,D,20090108,000000,5.21588,5.29728,5.20112,5.29728,5519.665011304326,0
ATR,D,20090112,000000,5.26034,5.63765,5.26034,5.31955,2485.8973682636833,0
ATR,D,20090113,000000,5.19371,5.61548,5.19371,5.61548,4431.604886163168,0
ATR,D,20090114,000000,5.61548,5.76344,5.36385,5.68946,22581.727844253375,0
ATR,D,20090115,000000,5.47485,5.47485,5.47485,5.47485,875.5683830547678,0
ATR,D,20090116,000000,5.34174,5.60804,5.34174,5.40096,1619.2894803571364,0
ATR,D,20090119,000000,5.7264,5.7264,5.7264,5.7264,1.2800707354601868,0
ATR,D,20090120,000000,5.3269,5.50446,5.2233,5.50446,1187.9056425070535,0
ATR,D,20090121,000000,5.51181,5.51181,5.28993,5.28993,405.78242314087925,0
ATR,D,20090122,000000,5.25283,5.40096,5.25283,5.40096,490.26709168125166,0
ATR,D,20090123,000000,5.49705,5.49705,5.18627,5.47485,476.18631359118956,0
ATR,D,20090126,000000,5.49705,5.49705,5.09019,5.16409,4303.5978126171485,0
ATR,D,20090127,000000,5.16409,5.16409,5.05316,5.13449,1545.0453777004457,0
ATR,D,20090128,000000,5.16409,5.16409,5.16409,5.16409,12.800707354601869,0
ATR,D,20090129,000000,5.10487,5.10487,5.10487,5.10487,1428.5589407735683,0
ATR,D,20090130,000000,5.04574,5.04574,4.9866,5.03097,2610.064229603321,0
ATR,D,20090202,000000,5.10487,5.10487,4.37249,4.65365,9533.966837707474,0
ATR,D,20090203,000000,4.661,4.661,4.43905,4.43905,1395.2771016516037,0
ATR,D,20090204,000000,4.43905,4.43905,4.21711,4.30593,3641.8012423842315,0
ATR,D,20090205,000000,3.99516,4.36507,3.77316,4.24673,19073.053958356784,0
ATR,D,20090206,000000,4.24673,5.09754,4.24673,4.53531,5134.36371993081,0
ATR,D,20090209,000000,4.29109,4.5649,4.29109,4.5649,5149.724568756332,0
ATR,D,20090210,000000,4.67592,4.83121,4.43905,4.83121,14179.34353669293,0
ATR,D,20090211,000000,4.94214,5.09754,4.80895,4.83856,9943.589473054733,0
ATR,D,20090212,000000,4.95699,4.95699,4.95699,4.95699,435.2240500564635,0
ATR,D,20090213,000000,4.95699,5.00879,4.95699,5.00879,591.3926797826063,0
ATR,D,20090216,000000,4.88301,4.95699,4.43905,4.43905,4461.046513078752,0
ATR,D,20090217,000000,4.29109,4.29109,4.01001,4.01001,7042.949186501948,0
ATR,D,20090218,000000,3.91378,3.91378,3.83237,3.90635,6388.833040681792,0
ATR,D,20090219,000000,4.00251,4.00251,3.98782,3.98782,1260.8696744282838,0
ATR,D,20090220,000000,3.98782,3.98782,3.98782,3.98782,12.800707354601869,0
