<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DCR,D,20050621,000000,8.77701,8.81433,8.52032,8.66893,375497.1650414173,0
DCR,D,20050622,000000,8.59586,8.63238,8.52032,8.59586,32669.21736829753,0
DCR,D,20050623,000000,8.59586,8.63238,8.5585,8.59586,39129.19036740983,0
DCR,D,20050624,000000,8.30182,8.5585,8.30182,8.44803,14930.4540804736,0
DCR,D,20050627,000000,8.40986,8.59586,8.40986,8.59586,18568.57495189878,0
DCR,D,20050628,000000,8.52032,8.63238,8.52032,8.63238,45415.56775133771,0
DCR,D,20050629,000000,8.52032,8.63238,8.52032,8.5585,6855.180037937603,0
DCR,D,20050630,000000,8.63238,8.66893,8.63238,8.63238,9816.154892686234,0
DCR,D,20050701,000000,8.48376,8.63238,8.48376,8.63238,1681.7844705142168,0
DCR,D,20050704,000000,8.52032,8.66893,8.52032,8.66893,13192.035579472713,0
DCR,D,20050705,000000,8.63238,8.7071,8.63238,8.7071,17767.080303068004,0
DCR,D,20050706,000000,8.7071,8.7071,8.63238,8.63238,4653.839896444795,0
DCR,D,20050707,000000,8.63238,8.63238,7.97207,8.63238,12315.439281518098,0
DCR,D,20050708,000000,8.44803,8.63238,8.44803,8.63238,764.5594115587802,0
DCR,D,20050711,000000,8.44803,8.66893,8.44803,8.66893,10577.020780517212,0
DCR,D,20050712,000000,8.44803,8.63238,8.44803,8.63238,5603.0754943704205,0
DCR,D,20050713,000000,8.7071,8.7071,8.7071,8.7071,18100.728613103198,0
DCR,D,20050714,000000,8.66893,8.7071,8.63238,8.63238,17822.483158977204,0
DCR,D,20050715,000000,8.63238,8.63238,8.63238,8.63238,148.97212366926394,0
DCR,D,20050718,000000,8.44803,8.44803,8.44803,8.44803,1994.50281276204,0
DCR,D,20050719,000000,8.44803,8.52032,8.44803,8.52032,136426.45474208382,0
DCR,D,20050720,000000,8.59586,8.59586,8.44803,8.59586,138845.71278347712,0
DCR,D,20050721,000000,8.44803,8.63238,8.44803,8.44803,5588.301399461021,0
DCR,D,20050725,000000,8.37575,8.40986,8.37575,8.40986,2677.804702319401,0
DCR,D,20050726,000000,8.52032,8.52032,8.48376,8.52032,70238.50954819401,0
DCR,D,20050727,000000,8.63238,8.63238,8.37575,8.37575,2848.9379683526604,0
DCR,D,20050728,000000,8.37575,8.44803,8.37575,8.44803,2932.6578395056154,0
DCR,D,20050729,000000,8.44803,8.44803,8.44803,8.44803,544.1791624943323,0
DCR,D,20050801,000000,8.37575,8.37575,8.37575,8.37575,232.69199482223976,0
DCR,D,20050802,000000,8.37575,8.48376,7.85998,8.48376,6254.366844957518,0
DCR,D,20050803,000000,8.48376,8.48376,8.48376,8.48376,2669.186480288917,0
DCR,D,20050804,000000,8.52032,8.59586,8.52032,8.59586,2898.1849513837856,0
DCR,D,20050805,000000,8.30182,8.77701,8.30182,8.77701,32975.779837666545,0
