<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MAK,D,20070418,000000,7.28186,7.28186,5.74559,5.8567,1998916.443031841,0
MAK,D,20070419,000000,5.86904,6.35648,5.8011,6.18987,466195.08357209794,0
MAK,D,20070420,000000,6.2948,6.38091,6.1036,6.35648,182496.9236183501,0
MAK,D,20070423,000000,6.54178,6.54178,6.10994,6.17737,74672.73392678541,0
MAK,D,20070424,000000,6.14052,6.14052,6.01724,6.04775,33697.05646120796,0
MAK,D,20070425,000000,6.04775,6.23322,5.92464,6.22687,47281.44863814441,0
MAK,D,20070426,000000,6.23322,6.23322,6.06675,6.12835,29901.521898440915,0
MAK,D,20070427,000000,6.10994,6.20837,6.03567,6.17161,71873.71950803099,0
MAK,D,20070430,000000,6.3259,6.41775,6.23955,6.35648,63739.41671729396,0
MAK,D,20070502,000000,6.35648,6.41242,6.30131,6.30697,21189.663489795956,0
MAK,D,20070504,000000,6.30131,6.48018,6.23322,6.48018,73615.85448663839,0
MAK,D,20070507,000000,6.48018,6.48018,6.2948,6.43042,40768.562233745986,0
MAK,D,20070508,000000,6.36291,6.36291,6.17161,6.17161,43174.64946982508,0
MAK,D,20070509,000000,6.17161,6.25805,6.12835,6.17161,14718.200131763619,0
MAK,D,20070510,000000,6.23322,6.23322,6.04775,6.15894,27650.475207333413,0
MAK,D,20070511,000000,6.15894,6.15894,5.77643,6.15894,93548.62439811805,0
MAK,D,20070514,000000,6.16536,6.17161,6.04775,6.10994,8916.606609256054,0
MAK,D,20070515,000000,6.1341,6.17161,6.04775,6.15894,28667.115116724537,0
MAK,D,20070516,000000,6.16536,6.16536,6.04775,6.14677,4248.821041575453,0
MAK,D,20070517,000000,6.08517,6.08517,5.93698,5.9864,26713.130843843894,0
MAK,D,20070518,000000,6.07892,6.07892,5.88137,5.92464,8477.522317772851,0
MAK,D,20070521,000000,5.94315,6.01724,5.93698,5.93698,10909.646897282413,0
MAK,D,20070522,000000,5.9924,5.9924,5.90605,5.94922,37046.40563882856,0
MAK,D,20070523,000000,5.94315,5.94315,5.89989,5.92464,12960.67945022063,0
MAK,D,20070524,000000,5.86278,5.95539,5.85053,5.92464,17428.450879732813,0
MAK,D,20070525,000000,5.89989,6.09725,5.89989,6.09725,4210.948542040463,0
