<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PKO,D,20041110,000000,11.7996,12.5114,11.7996,12.4614,114992709.35277346,0
PKO,D,20041112,000000,12.4614,13.1226,12.4614,12.5627,41084394.79389859,0
PKO,D,20041115,000000,12.4614,12.5627,12.2603,12.5114,17090452.259077992,0
PKO,D,20041116,000000,12.4614,12.5114,12.4107,12.4614,7756547.468305319,0
PKO,D,20041117,000000,12.4614,12.5114,12.36,12.4614,6402893.668147959,0
PKO,D,20041118,000000,12.4614,12.5114,12.4107,12.4614,3561298.5538766966,0
PKO,D,20041119,000000,12.5114,12.5114,12.36,12.36,5942417.699606843,0
PKO,D,20041122,000000,12.3102,12.36,12.1026,12.2603,7282341.109995125,0
PKO,D,20041123,000000,12.2097,12.2603,12.1026,12.2097,7035033.70111656,0
PKO,D,20041124,000000,12.2097,12.2097,12.1026,12.2097,6292534.556899506,0
PKO,D,20041125,000000,12.2097,12.5627,12.2097,12.5627,5565746.469924463,0
PKO,D,20041126,000000,12.5114,12.5627,12.4107,12.5627,2112941.99201114,0
PKO,D,20041129,000000,12.5114,12.6135,12.4614,12.6135,4506323.123062583,0
PKO,D,20041130,000000,12.6135,12.7639,12.5627,12.7141,9881988.926797356,0
PKO,D,20041201,000000,12.5627,12.8201,12.5114,12.8201,4886026.900118568,0
PKO,D,20041202,000000,12.7639,13.022,12.7639,12.9713,5315442.571021242,0
PKO,D,20041203,000000,12.9713,13.022,12.8691,13.022,5345357.736994639,0
PKO,D,20041206,000000,12.9199,12.9713,12.7639,12.9199,2266311.303648279,0
PKO,D,20041207,000000,12.8691,13.1724,12.8691,13.1724,5466102.6080675125,0
PKO,D,20041208,000000,13.022,13.1226,12.9713,13.0719,2469557.8755940376,0
PKO,D,20041209,000000,12.9713,13.022,12.8691,12.9199,1664381.1122282122,0
PKO,D,20041210,000000,12.8691,13.0719,12.8691,12.9713,4685678.593005867,0
PKO,D,20041213,000000,12.9199,12.9713,12.7141,12.8201,1934929.3474731047,0
PKO,D,20041214,000000,12.7639,12.9199,12.7141,12.8201,3009954.3361734864,0
PKO,D,20041215,000000,12.7639,12.8691,12.7141,12.7639,1697204.4898895726,0
PKO,D,20041216,000000,12.7639,12.9713,12.7141,12.9199,2621752.215001642,0
PKO,D,20041217,000000,12.8691,13.223,12.8201,13.223,4902437.967270801,0
PKO,D,20041220,000000,13.223,13.733,13.223,13.6824,5984683.129238344,0
PKO,D,20041221,000000,13.5817,14.0354,13.4804,13.9348,4495555.65268311,0
PKO,D,20041222,000000,13.9847,14.4955,13.5817,13.9348,4978286.465603207,0
PKO,D,20041223,000000,13.7836,14.0354,13.4804,13.4804,2305386.2795853685,0
PKO,D,20041224,000000,13.4804,13.6824,13.4297,13.6824,468373.77129524434,0
PKO,D,20041227,000000,13.6824,13.6824,13.5311,13.6317,876853.7994439028,0
PKO,D,20041228,000000,13.6317,13.6317,13.4297,13.4804,1158112.3106528665,0
PKO,D,20041229,000000,13.4804,13.9348,13.4804,13.8334,2452796.181808246,0
PKO,D,20041230,000000,13.8841,14.242,13.8841,14.0917,2029860.8868428865,0
PKO,D,20041231,000000,14.0917,14.242,14.0917,14.1424,721393.1615736559,0
PKO,D,20050103,000000,14.242,14.5952,14.1921,14.4448,2778969.716110463,0
PKO,D,20050104,000000,14.3434,14.4448,14.1921,14.3434,1947755.8168072996,0
PKO,D,20050105,000000,14.242,14.3434,13.9348,13.9348,2709213.666376088,0
PKO,D,20050106,000000,13.8841,14.242,13.6317,14.1424,2584169.267292592,0
PKO,D,20050107,000000,14.0917,14.3933,14.0354,14.3933,2679746.108871069,0
PKO,D,20050110,000000,14.242,14.2928,14.0354,14.0917,1999516.7627539176,0
PKO,D,20050111,000000,14.1424,14.1921,13.8334,14.1424,1919816.3448792691,0
PKO,D,20050112,000000,13.9847,14.1424,13.8841,14.1424,1063746.4986528289,0
PKO,D,20050113,000000,14.1424,14.242,14.0354,14.1921,2983459.6449129777,0
PKO,D,20050114,000000,14.0917,14.1424,13.8841,13.8841,1482063.9662521023,0
PKO,D,20050117,000000,13.9348,14.0354,13.733,13.9348,2166856.4320335174,0
PKO,D,20050118,000000,13.4804,13.8334,13.3244,13.4297,2845910.8059211336,0
PKO,D,20050119,000000,13.273,13.733,13.1226,13.733,4986756.212511469,0
PKO,D,20050120,000000,13.5817,13.8841,13.4297,13.5311,5738227.4198068045,0
PKO,D,20050121,000000,13.4297,13.5311,13.223,13.3244,1979190.3648597838,0
PKO,D,20050124,000000,13.223,13.4804,13.223,13.4804,1633087.063500619,0
PKO,D,20050125,000000,13.4804,13.7836,13.4297,13.733,2443433.7046768977,0
PKO,D,20050126,000000,13.733,13.9348,13.6317,13.9348,1560690.123802485,0
PKO,D,20050127,000000,13.8334,13.9348,13.6824,13.6824,2191799.4139368907,0
PKO,D,20050128,000000,13.6824,13.6824,13.5311,13.5311,2115470.9798577204,0
PKO,D,20050131,000000,13.5817,13.5817,13.4297,13.4804,1369853.4966439246,0
PKO,D,20050201,000000,13.4804,13.733,13.4297,13.6317,1549103.281254486,0
PKO,D,20050202,000000,13.6317,13.6317,13.3244,13.3751,1464669.4038261916,0
PKO,D,20050203,000000,13.3751,13.4804,13.273,13.3244,1753826.96114604,0
PKO,D,20050204,000000,13.3751,13.733,13.3751,13.6824,2642680.3976145117,0
PKO,D,20050207,000000,13.7836,13.8334,13.6317,13.8334,1757852.9506482265,0
PKO,D,20050208,000000,13.8334,13.8334,13.733,13.7836,1374621.770189627,0
PKO,D,20050209,000000,13.733,13.733,13.5311,13.5817,1101980.9653548033,0
PKO,D,20050210,000000,13.5311,13.5817,13.3244,13.4297,3772584.6712582535,0
PKO,D,20050211,000000,13.4804,13.6824,13.4804,13.5311,1740835.1253498027,0
PKO,D,20050214,000000,13.5817,13.6824,13.5311,13.5817,1240083.0981479066,0
PKO,D,20050215,000000,13.5817,13.6317,13.4297,13.4297,2450570.573034591,0
PKO,D,20050216,000000,13.5311,13.733,13.4297,13.5817,3660416.475783255,0
PKO,D,20050217,000000,13.6824,13.8334,13.6317,13.8334,3695527.6300610346,0
PKO,D,20050218,000000,13.733,14.1424,13.6824,14.0354,7188139.421100171,0
PKO,D,20050221,000000,13.8841,14.3434,13.8841,14.242,5483682.430665163,0
PKO,D,20050222,000000,14.2928,14.3434,14.0354,14.242,4213707.790324007,0
PKO,D,20050223,000000,13.9847,14.242,13.9847,14.242,2325202.901168359,0
PKO,D,20050224,000000,14.1921,14.3933,14.1424,14.242,2918854.8226361363,0
PKO,D,20050225,000000,14.3434,14.5952,14.3434,14.3933,7536784.143874491,0
PKO,D,20050228,000000,14.4955,14.5952,14.0354,14.242,2130664.80064724,0
PKO,D,20050301,000000,14.0917,14.4448,13.9348,14.2928,3030173.805378006,0
PKO,D,20050302,000000,14.0917,14.1921,13.733,13.7836,1772594.189541915,0
PKO,D,20050303,000000,13.7836,14.0917,13.733,13.9847,5913610.364592764,0
PKO,D,20050304,000000,13.9348,14.242,13.9348,14.242,3305103.630186096,0
PKO,D,20050307,000000,14.1921,14.5445,14.1921,14.3933,3666921.71885772,0
PKO,D,20050308,000000,14.242,14.4448,14.1424,14.2928,2189234.368741362,0
PKO,D,20050309,000000,14.242,14.5445,14.242,14.3933,5290596.570952689,0
PKO,D,20050310,000000,14.242,14.3434,14.1921,14.242,2436543.0209767055,0
PKO,D,20050311,000000,14.242,14.2928,14.1424,14.1921,2221218.480524499,0
PKO,D,20050314,000000,14.0917,14.242,13.9847,13.9847,1075064.776119846,0
PKO,D,20050315,000000,14.0354,14.1921,13.9847,13.9847,2208495.209809357,0
PKO,D,20050316,000000,13.9348,13.9847,13.5311,13.5311,2659760.3907557,0
PKO,D,20050317,000000,13.5817,13.7836,13.5311,13.733,4253102.308973384,0
PKO,D,20050318,000000,13.733,13.8334,13.6317,13.6824,3716694.5371903963,0
PKO,D,20050321,000000,13.7836,13.8841,13.4804,13.4804,2015258.9039171978,0
PKO,D,20050322,000000,13.5311,13.733,13.5311,13.733,956228.457822077,0
PKO,D,20050323,000000,13.6317,13.733,13.5311,13.6824,1499872.5665113395,0
PKO,D,20050324,000000,13.6824,13.733,13.5311,13.5311,1930294.1131111712,0
PKO,D,20050329,000000,13.5817,13.6317,13.3244,13.3751,1606727.8981374365,0
PKO,D,20050330,000000,13.5817,13.8334,13.5817,13.8334,2723621.685632134,0
PKO,D,20050331,000000,13.7836,14.1424,13.7836,14.1424,2614478.5773896184,0
PKO,D,20050401,000000,13.9847,14.0917,13.733,13.733,1001076.3396451122,0
PKO,D,20050404,000000,13.8841,13.8841,13.6317,13.7836,1492760.5652907975,0
PKO,D,20050405,000000,13.6824,13.8334,13.5311,13.8334,1400006.1437770347,0
