<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TEN,D,20180511,000000,35.3598,42.6748,34.6214,41.9982,296400.21146884165,0
TEN,D,20180514,000000,46.0622,50.6686,44.2333,45.1818,354641.6662843661,0
TEN,D,20180515,000000,45.1136,45.1136,39.4776,41.9982,138712.47253772334,0
TEN,D,20180516,000000,43.0142,43.284,40.65,43.129,50203.96959402435,0
TEN,D,20180517,000000,43.2646,43.284,39.9648,39.9648,35531.06437260721,0
TEN,D,20180518,000000,39.9648,41.9982,39.4912,39.9648,19284.66846017753,0
TEN,D,20180521,000000,40.65,42.6748,40.65,41.1845,30021.756399558006,0
TEN,D,20180522,000000,42.3361,42.4043,41.3202,41.9027,11197.009930553319,0
TEN,D,20180523,000000,41.9982,41.9982,39.8299,41.3202,17978.768745847374,0
TEN,D,20180524,000000,41.3202,41.3202,40.5144,41.313,8220.060314961846,0
TEN,D,20180525,000000,41.3202,41.3202,40.3049,40.9886,8702.28155419155,0
TEN,D,20180528,000000,41.1845,43.3522,40.6564,43.3522,53784.39261015473,0
TEN,D,20180529,000000,47.4169,49.2457,44.7742,45.6417,133732.77170603623,0
TEN,D,20180530,000000,44.0158,45.2493,41.5239,42.3361,47663.2490185453,0
TEN,D,20180601,000000,42.3361,44.0302,41.7952,43.3522,9435.369334060988,0
TEN,D,20180604,000000,44.0302,47.3493,43.6916,47.2138,29361.14117587338,0
TEN,D,20180605,000000,48.4393,52.8291,48.1006,52.8291,108448.21181555206,0
TEN,D,20180606,000000,54.0209,59.4058,52.3612,53.7166,145223.85297033307,0
TEN,D,20180607,000000,55.1388,56.9002,52.1661,56.2229,32495.579230866464,0
TEN,D,20180608,000000,55.877,56.893,54.5289,56.121,23401.667132676223,0
TEN,D,20180611,000000,57.2389,57.4419,51.1759,53.7776,42505.15420239171,0
TEN,D,20180612,000000,53.7503,55.5455,53.7503,54.4542,11776.790380031807,0
TEN,D,20180613,000000,54.7663,54.8683,53.1813,53.6958,8316.225822207076,0
TEN,D,20180614,000000,52.8354,56.2229,51.549,55.8842,31050.309216180904,0
TEN,D,20180615,000000,56.0191,56.0873,54.6644,55.5455,18842.86460805089,0
TEN,D,20180618,000000,55.4781,55.4781,54.1902,54.7799,8979.628451898809,0
TEN,D,20180619,000000,54.2583,54.2583,51.752,53.1741,16441.514332927247,0
TEN,D,20180620,000000,52.8354,53.4461,50.2618,52.1517,17998.28058789713,0
TEN,D,20180621,000000,52.1517,52.9574,48.4328,49.4488,23231.635366242626,0
TEN,D,20180622,000000,49.1109,50.1269,49.1109,49.4424,9620.731833533675,0
TEN,D,20180625,000000,49.6182,54.1837,48.501,52.6123,15957.899390693987,0
TEN,D,20180626,000000,52.6999,53.4461,50.8179,52.1517,10348.244801388893,0
TEN,D,20180627,000000,51.6164,52.2263,50.5531,50.9054,8928.06144076731,0
TEN,D,20180628,000000,50.5667,52.1589,50.472,52.1453,10427.685872591477,0
TEN,D,20180629,000000,50.919,52.1381,50.9126,51.4808,18526.49402624412,0
TEN,D,20180702,000000,51.4808,52.9037,51.4808,52.8354,27680.335353587183,0
TEN,D,20180703,000000,52.8354,52.8354,51.8603,52.4294,5059.141902901239,0
TEN,D,20180704,000000,52.7343,54.089,52.1589,52.4976,14115.42401999552,0
TEN,D,20180705,000000,52.565,55.2069,52.301,54.5289,47983.80070936273,0
TEN,D,20180706,000000,54.8683,55.5455,54.2045,54.2174,10622.804293089044,0
TEN,D,20180709,000000,54.7935,54.8618,53.2086,54.0553,6330.199042142541,0
TEN,D,20180710,000000,54.2174,60.0846,53.9197,57.9837,94598.98506923538,0
TEN,D,20180711,000000,58.9322,58.9322,57.5768,57.9162,11845.081827205957,0
TEN,D,20180712,000000,58.3904,58.9257,55.5455,58.0985,8865.344805607376,0
TEN,D,20180713,000000,58.1874,58.7966,57.5711,57.9162,8252.115484043588,0
TEN,D,20180716,000000,58.5261,58.9257,57.7806,57.9227,5400.599138771983,0
TEN,D,20180717,000000,57.9363,57.9363,56.2566,57.3745,10410.961436548829,0
TEN,D,20180718,000000,57.5575,57.5711,55.9588,56.5616,11102.238126311642,0
TEN,D,20180719,000000,56.5616,57.2317,55.3489,56.2229,7939.9260112474785,0
TEN,D,20180720,000000,56.9002,58.7966,56.2229,57.1643,19793.37005647476,0
TEN,D,20180723,000000,57.8416,58.6144,57.2389,58.6144,10698.064255280964,0
TEN,D,20180724,000000,58.9322,59.5759,56.2293,59.1016,24462.27511838086,0
TEN,D,20180725,000000,59.6095,65.5707,58.9322,64.3515,42704.45373189995,0
TEN,D,20180726,000000,64.6895,67.7317,64.6895,67.0609,42463.3431122851,0
TEN,D,20180727,000000,67.3995,72.4759,65.2327,71.7369,61859.50781274695,0
TEN,D,20180730,000000,74.5209,78.8473,70.5811,71.4642,108276.78634611494,0
TEN,D,20180731,000000,71.122,75.1954,68.3482,69.0929,43231.27346724339,0
TEN,D,20180801,000000,69.4301,70.9821,68.4571,69.4868,25564.69419419212,0
TEN,D,20180802,000000,69.9769,70.5811,69.5005,69.6332,15263.835294924063,0
TEN,D,20180803,000000,69.7731,70.4476,68.7542,68.7542,9934.315009333339,0
TEN,D,20180806,000000,69.7731,70.096,66.0585,67.3995,24878.992316443524,0
TEN,D,20180807,000000,67.7382,69.6748,65.9093,67.6027,23062.997302812582,0
TEN,D,20180808,000000,68.3482,72.3325,67.3995,72.3325,91543.98808544487,0
TEN,D,20180809,000000,73.9684,77.2188,71.8876,77.2188,46924.58642666165,0
TEN,D,20180810,000000,77.3551,77.3551,74.5209,76.8887,18125.10756122055,0
TEN,D,20180813,000000,76.4726,80.2535,74.5711,79.2561,32483.035903834476,0
TEN,D,20180814,000000,79.2561,83.3031,78.5818,82.9801,32735.296147477766,0
TEN,D,20180816,000000,84.5878,86.4318,79.6657,85.0038,29625.944746548656,0
TEN,D,20180817,000000,85.3488,86.2948,81.6386,83.3179,30044.05564761487,0
TEN,D,20180820,000000,83.9992,86.8402,81.2874,81.6245,25581.41863023477,0
TEN,D,20180821,000000,83.181,83.3179,79.9452,81.9617,15969.049014722419,0
TEN,D,20180822,000000,82.6359,83.9992,80.2683,80.6918,14402.526838727656,0
TEN,D,20180823,000000,81.9617,81.9617,78.5966,79.1845,19348.778798341016,0
TEN,D,20180824,000000,81.897,81.897,79.4141,79.9311,13442.26546927891,0
TEN,D,20180827,000000,80.6124,84.3294,80.4761,81.2874,40420.17450907485,0
