<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ADX,60,20240411,100000,2.2,2.32,2.14,2.14,21812.6,0
ADX,60,20240411,110000,2.14,2.39,2.14,2.32,12757.2,0
ADX,60,20240411,120000,2.39,2.39,2.25,2.25,6793,0
ADX,60,20240411,130000,2.21,2.25,2.05,2.05,12459.8,0
ADX,60,20240411,140000,2.19,2.19,2.19,2.19,284.2,0
ADX,60,20240411,150000,2.07,2.19,2,2,11537.2,0
ADX,60,20240411,160000,2,2.17,2,2.17,1838.4,0
ADX,60,20240411,170000,2.02,2.17,2.01,2.12,4142,0
ADX,60,20240412,100000,2.02,2.12,2,2.12,9983.4,0
ADX,60,20240412,110000,2.02,2.02,1.9,2,10612.8,0
ADX,60,20240412,120000,2,2,2,2,60,0
ADX,60,20240412,130000,2,2,2,2,600,0
ADX,60,20240412,140000,1.95,2.09,1.95,1.95,2691.4,0
ADX,60,20240412,150000,1.92,1.92,1.9,1.9,3400,0
ADX,60,20240412,160000,1.9,1.94,1.87,1.94,3032,0
ADX,60,20240412,170000,1.94,1.95,1.88,1.95,3372,0
ADX,60,20240415,100000,1.99,2.24,1.95,2.24,13274.2,0
ADX,60,20240415,110000,2.11,2.11,2.08,2.08,2380,0
ADX,60,20240415,130000,2.01,2.01,2.01,2.01,1000,0
ADX,60,20240415,150000,2.01,2.08,1.98,1.98,1494.2,0
ADX,60,20240415,160000,2,2,2,2,920,0
ADX,60,20240415,170000,1.98,2.07,1.98,2.07,3169.4,0
ADX,60,20240416,100000,1.96,2.2,1.76,2.2,14967.6,0
ADX,60,20240416,110000,2.17,2.2,2.16,2.2,8200,0
ADX,60,20240416,120000,2,2,2,2,78,0
ADX,60,20240416,130000,2.1,2.1,2.1,2.1,1180,0
ADX,60,20240416,140000,2.1,2.1,2.1,2.1,83,0
ADX,60,20240416,150000,2,2,2,2,800,0
ADX,60,20240416,160000,2,2,1.95,1.95,738,0
ADX,60,20240416,170000,2.08,2.08,2.08,2.08,0.2,0
ADX,60,20240417,100000,1.95,1.95,1.89,1.89,285.6,0
ADX,60,20240417,110000,2.06,2.06,2.06,2.06,400.2,0
ADX,60,20240417,120000,2.04,2.05,2.04,2.05,200,0
ADX,60,20240417,130000,1.98,1.98,1.98,1.98,960,0
ADX,60,20240417,150000,1.98,1.98,1.98,1.98,40,0
ADX,60,20240417,160000,1.9,1.9,1.85,1.85,1044.4,0
ADX,60,20240417,170000,2.03,2.03,2.03,2.03,243.20000000000002,0
ADX,60,20240418,110000,1.96,2.03,1.86,2.01,1500.2,0
ADX,60,20240418,120000,2,2,2,2,261.8,0
ADX,60,20240418,130000,1.89,1.89,1.88,1.88,1655,0
ADX,60,20240418,140000,1.88,1.88,1.88,1.88,1200,0
ADX,60,20240418,150000,1.86,1.86,1.86,1.86,105.60000000000001,0
ADX,60,20240418,160000,1.97,1.97,1.87,1.97,4108.6,0
ADX,60,20240418,170000,1.96,1.96,1.96,1.96,256.2,0
ADX,60,20240419,100000,1.96,1.98,1.81,1.81,1404,0
ADX,60,20240419,110000,1.94,1.94,1.8,1.8,400.2,0
ADX,60,20240419,130000,1.81,1.81,1.8,1.8,2223.6,0
ADX,60,20240419,140000,1.8,1.8,1.73,1.73,2643.6,0
ADX,60,20240419,170000,1.79,1.79,1.79,1.79,32,0
ADX,60,20240422,100000,1.79,1.79,1.79,1.79,556,0
ADX,60,20240422,110000,1.79,1.9,1.79,1.9,200,0
ADX,60,20240422,140000,1.73,1.73,1.72,1.72,3300,0
ADX,60,20240422,150000,1.75,1.75,1.73,1.73,743,0
ADX,60,20240422,170000,1.86,1.86,1.86,1.86,20,0
ADX,60,20240423,110000,1.85,1.86,1.85,1.86,1080,0
ADX,60,20240424,160000,1.7,1.7,1.7,1.7,100,0
ADX,60,20240424,170000,1.8,1.8,1.8,1.8,20,0
ADX,60,20240425,130000,1.78,1.78,1.78,1.78,20,0
ADX,60,20240425,170000,1.78,1.82,1.78,1.82,66,0
ADX,60,20240426,100000,1.8,1.8,1.63,1.76,1460,0
ADX,60,20240426,110000,1.65,1.75,1.62,1.75,1453.8,0
ADX,60,20240426,120000,1.62,1.62,1.6,1.6,2000,0
ADX,60,20240426,130000,1.6,1.6,1.6,1.6,1000,0
ADX,60,20240426,140000,1.7,1.71,1.69,1.71,2260,0
ADX,60,20240426,160000,1.71,1.9,1.71,1.9,2672.4,0
ADX,60,20240429,100000,1.83,1.83,1.66,1.82,2300.4,0
ADX,60,20240429,110000,1.8,1.81,1.8,1.81,244.4,0
ADX,60,20240429,120000,1.73,1.73,1.73,1.73,1322,0
ADX,60,20240429,130000,1.72,1.72,1.72,1.72,488.20000000000005,0
ADX,60,20240429,160000,1.73,1.81,1.73,1.81,200,0
ADX,60,20240429,170000,1.8,1.81,1.74,1.74,2020,0
ADX,60,20240430,100000,1.74,1.74,1.6,1.65,6547.8,0
ADX,60,20240430,110000,1.64,1.74,1.64,1.74,705.6,0
ADX,60,20240430,120000,1.74,1.74,1.74,1.74,55,0
ADX,60,20240430,160000,1.73,1.73,1.64,1.72,268.2,0
ADX,60,20240502,100000,1.61,1.63,1.51,1.62,4107.6,0
ADX,60,20240502,130000,1.59,1.64,1.58,1.63,1251,0
ADX,60,20240502,170000,1.64,1.75,1.64,1.75,383.8,0
ADX,60,20240506,100000,1.75,1.75,1.65,1.65,2688.2,0
ADX,60,20240506,110000,1.77,2.1,1.77,2.1,7168.8,0
ADX,60,20240506,130000,2.09,2.09,1.95,1.95,600,0
ADX,60,20240506,140000,1.95,1.95,1.95,1.95,1660,0
ADX,60,20240506,150000,1.95,1.95,1.95,1.95,235,0
ADX,60,20240506,160000,2,2.04,2,2,3496,0
ADX,60,20240506,170000,2,2.06,2,2.06,2594.2000000000003,0
ADX,60,20240507,100000,2.07,2.07,2.07,2.07,240,0
ADX,60,20240507,120000,2.04,2.04,2.04,2.04,300,0
ADX,60,20240507,140000,1.97,1.97,1.96,1.96,840,0
ADX,60,20240507,160000,1.95,1.96,1.95,1.96,460,0
ADX,60,20240507,170000,2.01,2.01,2.01,2.01,20,0
ADX,60,20240508,110000,2,2,1.99,1.99,320,0
ADX,60,20240508,120000,1.99,1.99,1.99,1.99,72.60000000000001,0
ADX,60,20240508,170000,1.96,1.96,1.96,1.96,48,0
ADX,60,20240509,110000,1.93,1.93,1.78,1.78,1800,0
ADX,60,20240509,120000,1.93,1.94,1.8,1.91,1547.2,0
ADX,60,20240509,130000,1.92,1.93,1.92,1.93,280,0
ADX,60,20240509,140000,1.95,1.99,1.95,1.99,180.2,0
ADX,60,20240509,150000,1.98,1.99,1.98,1.99,360,0
ADX,60,20240509,170000,1.99,2,1.99,2,564,0
ADX,60,20240510,100000,2.03,2.05,2.03,2.05,574,0
ADX,60,20240510,110000,2.03,2.03,2.03,2.03,400,0
ADX,60,20240510,130000,1.9,1.9,1.83,1.9,2497.6,0
ADX,60,20240510,160000,1.9,1.9,1.9,1.9,176,0
ADX,60,20240510,170000,1.95,1.95,1.95,1.95,5,0
ADX,60,20240513,120000,1.95,1.95,1.95,1.95,800,0
ADX,60,20240513,130000,1.95,1.95,1.81,1.94,715.2,0
ADX,60,20240514,160000,1.94,1.96,1.94,1.96,180,0
ADX,60,20240514,170000,1.99,2.04,1.99,2.04,104.2,0
ADX,60,20240515,100000,2.05,2.06,2,2,10504.800000000001,0
ADX,60,20240515,110000,2,2,1.85,1.85,1640,0
ADX,60,20240515,120000,2,2,2,2,112.60000000000001,0
ADX,60,20240515,160000,2,2.04,2,2.04,227.4,0
ADX,60,20240515,170000,2.05,2.05,2.05,2.05,800,0
ADX,60,20240516,100000,2,2,2,2,1187.6,0
ADX,60,20240516,120000,2,2,1.88,1.89,2104.4,0
ADX,60,20240516,140000,1.99,1.99,1.99,1.99,30.8,0
ADX,60,20240516,160000,1.99,2.04,1.99,2.04,1989.2,0
ADX,60,20240517,100000,2.05,2.05,2.04,2.04,1010,0
ADX,60,20240517,120000,2,2,2,2,930,0
ADX,60,20240517,130000,1.96,1.96,1.92,1.92,4000,0
ADX,60,20240517,140000,1.92,1.99,1.66,1.69,11011.8,0
ADX,60,20240517,150000,1.71,1.71,1.71,1.71,988.8000000000001,0
ADX,60,20240517,160000,1.84,1.9,1.84,1.84,2947.2,0
ADX,60,20240517,170000,1.89,1.98,1.8,1.8,2800,0
ADX,60,20240520,100000,1.94,1.96,1.79,1.79,4936.2,0
ADX,60,20240520,110000,1.8,1.91,1.74,1.91,4432,0
ADX,60,20240520,120000,1.91,1.91,1.91,1.91,14,0
ADX,60,20240521,170000,1.91,1.91,1.89,1.89,575,0
ADX,60,20240522,120000,1.87,1.87,1.87,1.87,40,0
ADX,60,20240522,130000,1.88,1.99,1.88,1.95,5630.6,0
ADX,60,20240522,170000,2.02,2.04,2.02,2.04,70,0
ADX,60,20240524,100000,2.04,2.04,1.82,1.82,109,0
ADX,60,20240524,140000,1.84,1.99,1.84,1.99,888.2,0
ADX,60,20240524,150000,1.99,2,1.99,2,800,0
ADX,60,20240524,160000,1.87,1.87,1.86,1.86,375.6,0
ADX,60,20240524,170000,2,2.02,2,2.02,60,0
ADX,60,20240527,100000,1.95,1.95,1.95,1.95,1000,0
ADX,60,20240527,110000,1.95,2.02,1.95,2.02,538.8,0
ADX,60,20240527,120000,2.02,2.03,2.02,2.03,80,0
ADX,60,20240527,140000,1.99,1.99,1.99,1.99,978.2,0
ADX,60,20240527,170000,2.03,2.03,2.03,2.03,20,0
ADX,60,20240528,100000,2.03,2.04,1.95,2.03,2434.4,0
ADX,60,20240528,140000,1.98,1.98,1.98,1.98,1626.6000000000001,0
ADX,60,20240528,170000,1.9,1.9,1.88,1.89,1969.6,0
ADX,60,20240529,100000,1.89,1.9,1.89,1.9,274.6,0
ADX,60,20240529,110000,1.89,1.89,1.89,1.89,129.4,0
ADX,60,20240529,120000,1.85,1.88,1.85,1.88,4000,0
ADX,60,20240529,130000,1.86,1.86,1.86,1.86,1845.6000000000001,0
ADX,60,20240529,140000,1.87,2.03,1.87,2.03,2800,0
ADX,60,20240529,170000,1.86,1.99,1.86,1.86,2618.8,0
ADX,60,20240531,100000,1.96,1.96,1.96,1.96,2,0
ADX,60,20240531,110000,1.84,1.96,1.84,1.96,1138,0
ADX,60,20240531,170000,1.85,1.97,1.84,1.97,1526.2,0
ADX,60,20240603,100000,1.96,1.98,1.96,1.98,2058.2,0
ADX,60,20240603,120000,1.99,1.99,1.99,1.99,800,0
ADX,60,20240603,140000,1.99,2,1.99,2,400,0
ADX,60,20240603,150000,2,2,2,2,606,0
ADX,60,20240603,160000,2.03,2.03,2.03,2.03,401.40000000000003,0
ADX,60,20240603,170000,2.03,2.03,2.03,2.03,100,0
ADX,60,20240604,100000,2.04,2.11,2.04,2.1,2752,0
ADX,60,20240604,120000,2.05,2.05,2.05,2.05,200,0
ADX,60,20240604,150000,2.05,2.05,2.05,2.05,200,0
ADX,60,20240604,170000,1.91,2.02,1.87,2.02,600.2,0
ADX,60,20240605,100000,2.02,2.02,2.02,2.02,460.20000000000005,0
ADX,60,20240605,110000,2.03,2.05,2.03,2.05,140,0
ADX,60,20240605,120000,2.05,2.05,2,2,1350.8000000000002,0
ADX,60,20240605,150000,1.93,1.93,1.92,1.93,1605.2,0
ADX,60,20240605,170000,1.99,2.05,1.99,2.05,1325.8,0
ADX,60,20240606,100000,2.09,2.09,2.09,2.09,20,0
ADX,60,20240606,120000,2,2,2,2,400,0
ADX,60,20240606,150000,2.04,2.05,2.04,2.05,470,0
ADX,60,20240606,170000,2.06,2.06,2.06,2.06,20,0
ADX,60,20240607,100000,2.06,2.06,2.06,2.06,10,0
ADX,60,20240607,110000,2,2,2,2,1000,0
ADX,60,20240607,120000,1.95,1.95,1.95,1.95,100,0
ADX,60,20240607,170000,1.99,2,1.81,1.97,3640.4,0
ADX,60,20240610,100000,1.85,1.85,1.83,1.83,940,0
ADX,60,20240610,120000,1.94,1.94,1.94,1.94,100,0
ADX,60,20240610,130000,1.94,1.94,1.94,1.94,29.400000000000002,0
ADX,60,20240610,140000,1.86,1.86,1.86,1.86,39.800000000000004,0
ADX,60,20240610,170000,1.87,1.96,1.87,1.96,270.4,0
ADX,60,20240611,100000,1.96,1.96,1.96,1.96,8,0
ADX,60,20240611,120000,1.9,1.9,1.89,1.89,177.60000000000002,0
ADX,60,20240611,130000,1.9,1.9,1.89,1.89,25,0
ADX,60,20240611,140000,1.95,1.95,1.95,1.95,20,0
ADX,60,20240611,170000,1.95,1.95,1.95,1.95,20,0
ADX,60,20240612,100000,1.96,1.96,1.96,1.96,6,0
ADX,60,20240612,120000,1.96,1.98,1.96,1.98,875,0
ADX,60,20240612,160000,1.98,1.98,1.95,1.95,2596.8,0
ADX,60,20240613,100000,1.98,1.98,1.98,1.98,20,0
ADX,60,20240613,170000,1.95,1.98,1.92,1.98,110,0
ADX,60,20240614,100000,1.9,1.97,1.71,1.96,2493.6000000000004,0
ADX,60,20240614,120000,1.91,1.94,1.91,1.94,1559.8000000000002,0
ADX,60,20240614,170000,1.94,1.94,1.94,1.94,19.8,0
